,Grafton,Rockingham,Hillsborough,Carroll,Belknap,Merrimack,Cheshire,Strafford,Sullivan,Coos,Unknown
2021-06-05,4055,24279,36220,2469,4126,9628,3873,9932,1827,2048,420
2021-06-06,4055,24279,36220,2469,4126,9628,3873,9932,1827,2048,420
2021-06-07,4060,24290,36237,2471,4128,9632,3878,9952,1836,2052,405
2021-06-08,4062,24297,36245,2471,4129,9633,3880,9953,1838,2053,383
2021-06-09,4064,24297,36256,2472,4136,9638,3882,9966,1853,2054,378
2021-06-10,4069,24300,36271,2472,4140,9645,3886,9973,1857,2055,372
2021-06-11,4071,24305,36287,2472,4144,9650,3887,9976,1863,2055,358
2021-06-12,4071,24305,36287,2472,4144,9650,3887,9976,1863,2055,358
2021-06-13,4071,24305,36287,2472,4144,9650,3887,9976,1863,2055,358
2021-06-14,4066,24310,36315,2476,4152,9660,3888,9990,1865,2056,365
2021-06-15,4066,24315,36325,2478,4154,9661,3888,10003,1865,2056,367
2021-06-16,4066,24320,36337,2479,4157,9662,3888,10011,1865,2056,355
2021-06-17,4067,24328,36345,2479,4157,9666,3889,10015,1866,2056,357
2021-06-18,4068,24337,36358,2481,4158,9667,3891,10020,1867,2057,350
2021-06-19,4068,24337,36358,2481,4158,9667,3891,10020,1867,2057,350
2021-06-20,4068,24337,36358,2481,4158,9667,3891,10020,1867,2057,350
2021-06-21,4071,24350,36365,2483,4161,9673,3892,10068,1870,2057,339
2021-06-22,4071,24352,36371,2483,4163,9674,3893,10069,1871,2057,344
2021-06-23,4071,24356,36375,2483,4163,9676,3893,10075,1874,2057,343
2021-06-24,4073,24367,36377,2483,4163,9677,3897,10078,1880,2057,340
2021-06-25,4073,24376,36377,2483,4163,9678,3898,10078,1882,2058,337
2021-06-26,4073,24376,36377,2483,4163,9678,3898,10078,1882,2058,337
2021-06-27,4073,24376,36377,2483,4163,9678,3898,10078,1882,2058,337
2021-06-28,4080,24386,36388,2492,4167,9681,3898,10085,1885,2058,335
2021-06-29,4080,24395,36400,2492,4170,9687,3898,10090,1886,2058,325
2021-06-30,4080,24400,36407,2493,4173,9689,3899,10094,1885,2059,325
2021-07-01,4080,24407,36414,2494,4176,9690,3900,10097,1886,2060,323
2021-07-02,4084,24412,36418,2496,4183,9690,3900,10099,1886,2060,327
2021-07-03,4084,24412,36418,2496,4183,9690,3900,10099,1886,2060,327
2021-07-04,4084,24412,36418,2496,4183,9690,3900,10099,1886,2060,327
2021-07-05,4084,24412,36418,2496,4183,9690,3900,10099,1886,2060,327
2021-07-06,4087,24430,36440,2498,4190,9696,3904,10102,1889,2061,329
2021-07-07,4088,24432,36443,2500,4192,9698,3911,10102,1891,2066,329
2021-07-08,4093,24437,36450,2502,4197,9701,3914,10103,1891,2073,324
2021-07-09,4095,24443,36457,2502,4198,9705,3915,10103,1890,2077,323
2021-07-10,4095,24443,36457,2502,4198,9705,3915,10103,1890,2077,323
2021-07-11,4095,24443,36457,2502,4198,9705,3915,10103,1890,2077,323
2021-07-12,4096,24465,36483,2503,4198,9709,3915,10107,1891,2091,312
2021-07-13,4096,24474,36487,2503,4199,9715,3916,10110,1891,2094,315
2021-07-14,4095,24481,36496,2504,4201,9723,3920,10113,1893,2098,316
2021-07-15,4100,24485,36512,2505,4203,9730,3926,10116,1893,2098,307
2021-07-16,4103,24495,36521,2506,4203,9735,3927,10116,1894,2100,307
2021-07-17,4103,24495,36521,2506,4203,9735,3927,10116,1894,2100,307
2021-07-18,4103,24495,36521,2506,4203,9735,3927,10116,1894,2100,307
2021-07-19,4107,24505,36534,2512,4212,9741,3928,10127,1896,2100,304
2021-07-20,4110,24515,36548,2514,4218,9748,3930,10136,1897,2102,307
2021-07-21,4112,24527,36560,2517,4226,9754,3933,10144,1897,2103,299
2021-07-22,4113,24525,36575,2519,4229,9759,3931,10145,1900,2103,307
2021-07-23,4113,24542,36590,2520,4237,9765,3934,10146,1901,2103,301
2021-07-24,4113,24542,36590,2520,4237,9765,3934,10146,1901,2103,301
2021-07-25,4113,24542,36590,2520,4237,9765,3934,10146,1901,2103,301
2021-07-26,4125,24582,36620,2524,4244,9785,3941,10158,1902,2102,303
2021-07-27,4129,24610,36655,2527,4252,9796,3944,10167,1904,2104,310
2021-07-28,4135,24635,36679,2527,4257,9802,3946,10173,1904,2103,304
2021-07-29,4136,24660,36710,2527,4261,9812,3948,10181,1906,2104,309
2021-07-30,4141,24674,36754,2528,4267,9826,3956,10193,1907,2103,308
2021-07-31,4141,24674,36754,2528,4267,9826,3956,10193,1907,2103,308
2021-08-01,4141,24674,36754,2528,4267,9826,3956,10193,1907,2103,308
2021-08-02,4165,24754,36854,2539,4273,9843,3975,10229,1913,2113,328
2021-08-03,4177,24799,36882,2547,4289,9855,3986,10245,1914,2118,343
2021-08-04,4189,24829,36917,2551,4295,9868,3995,10255,1920,2120,338
2021-08-05,4201,24873,36991,2557,4304,9892,4003,10282,1923,2121,358
2021-08-06,4206,24917,37051,2562,4309,9906,4011,10291,1926,2124,359
2021-08-07,4206,24917,37051,2562,4309,9906,4011,10291,1926,2124,359
2021-08-08,4206,24917,37051,2562,4309,9906,4011,10291,1926,2124,359
2021-08-09,4228,25030,37188,2571,4328,9931,4031,10337,1937,2161,375
