,New Castle,Sussex,Kent,Unknown
2020-10-12,326,211,119,0
2020-10-13,328,212,119,0
2020-10-14,329,212,119,0
2020-10-15,330,212,119,0
2020-10-16,330,213,119,0
2020-10-17,332,213,119,0
2020-10-18,332,214,119,0
2020-10-19,333,214,119,0
2020-10-20,334,215,119,0
2020-10-21,335,216,119,0
2020-10-22,335,216,119,0
2020-10-23,339,219,120,0
2020-10-24,339,221,120,0
2020-10-25,339,222,120,0
2020-10-26,339,226,120,0
2020-10-27,340,226,120,0
2020-10-28,340,228,120,0
2020-10-29,341,228,120,0
2020-10-30,351,233,120,0
2020-10-31,353,235,120,0
2020-11-01,353,236,121,0
2020-11-02,353,236,121,0
2020-11-03,354,236,122,0
2020-11-04,354,236,122,0
2020-11-05,354,240,122,0
2020-11-06,354,240,122,0
2020-11-07,354,240,122,0
2020-11-08,355,241,122,0
2020-11-09,356,241,122,0
2020-11-10,359,241,122,0
2020-11-11,359,243,122,0
2020-11-12,365,245,122,0
2020-11-13,365,247,122,0
2020-11-14,366,248,122,0
2020-11-15,366,248,122,0
2020-11-16,366,248,122,0
2020-11-17,367,250,122,0
2020-11-18,369,251,122,0
2020-11-19,369,251,122,0
2020-11-20,370,253,123,0
2020-11-21,370,253,123,0
2020-11-22,370,255,123,0
2020-11-23,372,257,123,0
2020-11-24,375,257,125,0
2020-11-25,375,258,127,0
2020-11-26,376,258,127,0
2020-11-27,376,259,128,0
2020-11-28,376,259,128,0
2020-11-29,379,263,128,0
2020-11-30,381,262,129,0
2020-12-01,382,263,132,0
2020-12-02,383,264,132,0
2020-12-03,383,264,132,0
2020-12-04,385,264,133,0
2020-12-05,385,264,133,0
2020-12-06,392,268,133,0
2020-12-07,392,268,133,0
2020-12-08,395,269,139,0
2020-12-09,395,269,139,0
2020-12-10,398,269,139,0
2020-12-11,398,270,139,0
2020-12-12,402,271,142,0
2020-12-13,403,271,142,0
2020-12-14,403,271,142,0
2020-12-15,409,273,144,0
2020-12-16,411,276,146,0
2020-12-17,418,280,147,0
2020-12-18,421,282,151,0
2020-12-19,422,284,152,0
2020-12-20,422,284,156,0
2020-12-21,428,286,157,0
2020-12-22,429,286,157,0
2020-12-23,429,286,157,0
2020-12-24,441,289,158,0
2020-12-25,444,289,158,0
2020-12-26,447,290,158,0
2020-12-27,448,291,158,0
2020-12-28,449,291,158,0
2020-12-29,449,291,158,0
2020-12-30,460,296,165,0
2020-12-31,462,297,167,0
2021-01-01,464,298,168,0
2021-01-02,464,298,168,0
2021-01-03,464,298,168,0
2021-01-04,468,301,168,0
2021-01-05,472,304,171,0
2021-01-06,472,304,171,0
2021-01-07,474,304,171,0
2021-01-08,476,310,171,0
2021-01-09,480,312,177,0
2021-01-10,480,312,180,0
2021-01-11,488,316,182,0
2021-01-12,493,316,182,0
2021-01-13,495,316,183,0
2021-01-14,496,316,183,0
2021-01-15,499,317,186,0
2021-01-16,509,320,187,0
2021-01-17,509,320,187,0
2021-01-18,509,320,187,0
2021-01-19,514,320,187,0
2021-01-20,518,321,187,0
2021-01-21,519,321,187,0
2021-01-22,519,321,187,0
2021-01-23,521,325,190,0
2021-01-24,522,328,191,0
2021-01-25,522,336,191,0
2021-01-26,532,340,193,0
2021-01-27,535,340,197,0
2021-01-28,536,342,197,0
2021-01-29,538,343,197,0
2021-01-30,538,344,199,0
2021-01-31,540,348,202,0
2021-02-01,549,349,203,0
2021-02-02,553,349,206,0
2021-02-03,561,356,213,0
2021-02-04,563,357,215,0
2021-02-05,566,376,249,0
2021-02-06,569,381,252,0
2021-02-07,570,383,255,0
2021-02-08,570,383,255,0
2021-02-09,575,387,259,0
2021-02-10,591,391,263,0
2021-02-11,605,391,266,0
2021-02-12,610,392,267,0
2021-02-13,614,397,271,0
2021-02-14,614,397,272,0
2021-02-15,614,397,272,0
2021-02-16,617,402,272,0
2021-02-17,629,409,278,0
2021-02-18,634,412,280,0
2021-02-19,644,418,281,0
2021-02-20,659,420,287,0
2021-02-21,660,420,287,0
2021-02-22,661,420,287,0
2021-02-23,666,424,289,0
2021-02-24,682,430,290,0
2021-02-25,683,431,292,0
2021-02-26,692,431,295,0
2021-02-27,692,431,295,0
2021-02-28,695,432,295,0
2021-03-01,695,432,295,0
2021-03-02,697,433,296,0
2021-03-03,707,436,297,0
2021-03-04,709,436,299,0
2021-03-05,715,436,302,0
2021-03-06,722,440,302,0
2021-03-07,728,441,304,0
2021-03-08,730,441,304,0
2021-03-09,732,442,308,0
2021-03-10,737,446,309,0
2021-03-11,739,446,309,0
2021-03-12,741,446,309,0
2021-03-13,745,448,311,0
2021-03-14,746,449,312,0
2021-03-15,746,450,315,0
2021-03-16,747,451,316,0
2021-03-17,748,451,317,0
2021-03-18,749,451,317,0
2021-03-19,753,451,318,0
2021-03-20,756,452,318,0
2021-03-21,757,452,320,0
2021-03-22,759,452,320,0
2021-03-23,760,453,322,0
2021-03-24,760,453,322,0
2021-03-25,761,453,322,0
2021-03-26,761,453,322,0
2021-03-27,767,455,322,0
2021-03-28,767,455,322,0
2021-03-29,775,455,322,0
2021-03-30,778,458,323,0
2021-03-31,778,458,323,0
2021-04-01,778,458,323,0
2021-04-02,781,461,323,0
2021-04-03,781,461,323,0
2021-04-04,781,462,323,0
2021-04-05,781,462,323,0
2021-04-06,781,463,323,0
2021-04-07,781,463,323,0
2021-04-08,782,463,323,0
2021-04-09,783,465,325,0
2021-04-10,787,465,325,0
2021-04-11,788,465,325,0
2021-04-12,791,465,325,0
2021-04-13,794,468,325,0
2021-04-14,795,469,327,0
2021-04-15,796,471,328,0
2021-04-16,796,472,328,0
2021-04-17,799,475,328,0
2021-04-18,799,475,328,0
2021-04-19,799,475,328,0
2021-04-20,799,476,328,0
2021-04-21,799,476,328,0
2021-04-22,800,476,328,0
