,Delaware,Wayne,Montgomery,Monroe,Philadelphia,Bucks,Northampton,Pike,Chester,Cumberland,Washington,Allegheny,Lehigh,Luzerne,Beaver,Adams,Berks,Lackawanna,York,Lancaster,Lebanon,Westmoreland,Centre,Erie,Franklin,Potter,Butler,Montour,Columbia,Dauphin,Fayette,Mercer,Schuylkill,Cambria,Armstrong,Bradford,Carbon,Clearfield,Juniata,Somerset,Greene,Lawrence,Lycoming,Warren,Blair,Crawford,Indiana,Susquehanna,Northumberland,Cameron,Clarion,Huntingdon,McKean,Perry,Snyder,Tioga,Mifflin,Venango,Union,Bedford,Unknown,Forest,Clinton,Sullivan,Wyoming,Fulton,Elk,Jefferson
2020-12-20,26299,1288,31421,5206,85733,26706,14123,1214,17798,8924,7522,46330,17286,15135,7294,3630,20259,7386,19760,24613,7693,16416,8289,9899,7547,492,7709,939,2219,12134,5684,5166,6453,7958,2853,2721,2212,3278,1174,4024,1332,3697,4746,1037,6988,4281,3655,868,4151,110,1769,2550,1323,1364,1651,1748,3034,1967,2453,2677,,214,1541,120,660,586,1075,1618
2020-12-21,26639,1358,31711,5293,87395,27009,14443,1229,17999,9114,7681,47111,17668,15340,7388,3697,20546,7499,20128,24899,7789,16777,8333,10066,7649,497,7853,885,2263,12270,5890,5241,6577,8065,2906,2751,2273,3341,1191,4140,1385,3741,4974,1147,7086,4345,3684,875,4244,110,1798,2597,1349,1394,1675,1772,3071,2047,2505,2706,,222,1651,123,676,592,1091,1649
2020-12-22,26905,1367,32268,5366,88420,27411,14638,1247,18281,9177,7824,47908,17883,15426,7514,3744,20796,7614,20332,25093,7867,17079,8369,10331,7776,499,7997,895,2294,12418,6000,5320,6714,8131,2942,2778,2328,3401,1199,4210,1410,3795,5059,1223,7172,4415,3699,885,4298,121,1819,2624,1383,1430,1691,1792,3070,2096,2567,2729,,228,1674,126,687,611,1131,1686
2020-12-23,27168,1443,32738,5444,89164,27796,14876,1264,18562,9402,7974,48738,18177,15752,7702,3889,21087,7740,20897,25562,8002,17406,8450,10509,7893,505,8198,1082,2353,12672,6243,5364,6856,8196,3016,2826,2369,3459,1237,4288,1450,3862,5230,1249,7277,4479,3739,903,4376,125,1850,2677,1398,1482,1733,1801,3171,2125,2622,2752,,231,1716,128,700,615,1207,1711
2020-12-24,27515,1504,33226,5552,89887,28193,15226,1297,18838,9572,8150,49650,18571,15873,7808,3988,21392,7927,21255,25975,8111,17774,8543,10746,8001,514,8357,952,2419,12843,6457,5463,6988,8284,3077,2854,2433,3542,1261,4381,1489,3942,5335,1268,7426,4552,3784,934,4453,129,1885,2715,1486,1521,1751,1814,3177,2149,2648,2786,,242,1741,131,719,622,1264,1760
2020-12-25,27736,1587,33702,5611,89887,28538,15460,1318,19059,9661,8264,50307,18843,16022,7898,4040,21728,8052,21477,26307,8182,17989,8605,10935,8074,517,8481,958,2453,12995,6512,5528,7120,8343,3155,2879,2502,3617,1276,4427,1516,4021,5480,1293,7473,4599,3807,946,4494,131,1909,2738,1502,1542,1774,1834,3206,2198,2719,2803,,253,1775,133,728,638,1275,1773
2020-12-26,27991,1665,34146,5687,89887,28831,15679,1337,19309,9897,8336,50859,19071,16285,7960,4154,22024,8189,21837,26557,8285,18131,8672,11089,8201,540,8635,1122,2515,13173,6630,5634,7249,8429,3174,2907,2546,3735,1284,4518,1543,4051,5553,1325,7591,4665,3827,949,4555,134,1935,2850,1539,1582,1788,1840,3269,2242,2755,2842,,281,1802,135,733,648,1284,1794
2020-12-27,28182,1689,34422,5747,89887,29033,15779,1353,19425,9973,8390,51260,19280,16437,7979,4221,22297,8301,22088,26727,8397,18298,8745,11205,8256,558,8716,1033,2576,13331,6671,5698,7381,8508,3209,2926,2573,3798,1301,4571,1563,4062,5600,1347,7625,4690,3841,968,4609,134,1944,2922,1560,1602,1801,1853,3296,2280,2773,2849,,292,1835,138,742,656,1299,1801
2020-12-28,28406,1698,34736,5797,91429,29244,15893,1365,19627,10047,8438,51453,19449,16511,7991,4262,22486,8370,22293,26957,8447,18389,8771,11251,8294,559,8760,1064,2597,13447,6688,5721,7434,8562,3226,2946,2598,3819,1311,4593,1574,4081,5674,1372,7665,4702,3846,969,4631,135,1952,2939,1576,1628,1806,1873,3323,2286,2789,2864,,293,1850,139,748,656,1313,1812
2020-12-29,28738,1720,35086,5900,92354,29692,16084,1375,19845,10115,8727,52473,19701,16614,8159,4325,22758,8499,22537,27272,8569,18855,8834,11398,8391,565,9003,1021,2626,13569,7000,5808,7572,8627,3283,2972,2652,3874,1323,4697,1622,4162,5797,1425,7766,4760,3876,981,4685,139,1973,2994,1624,1653,1829,1886,3339,2311,2816,2904,,295,1878,139,759,672,1353,1832
2020-12-30,29371,1796,35592,5993,92706,30101,16380,1401,20185,10305,8798,52998,20031,16998,8294,4477,23154,8643,22920,27646,8716,19070,8910,11500,8570,573,9191,1083,2695,13732,7078,5863,7717,8703,3355,3021,2719,3956,1337,4746,1659,4209,5913,1460,7827,4809,3911,1007,4754,141,2004,3040,1646,1698,1863,1898,3389,2332,2850,2926,,299,1897,143,780,684,1375,1872
2020-12-31,29745,1829,36131,6103,93885,30537,16648,1440,20457,10456,8947,53809,20348,17317,8433,4557,23439,8812,23283,28006,8851,19333,8977,11663,8699,583,9361,1173,2746,13859,7247,5975,7817,8823,3465,3040,2780,4023,1351,4849,1690,4245,6014,1474,7886,4859,3950,1028,4836,147,2021,3070,1679,1721,1894,1913,3418,2354,2891,2956,,307,1942,146,787,710,1437,1888
2021-01-01,29944,1867,36598,6183,93885,30891,16940,1462,20648,10539,9084,54362,20674,17598,8504,4649,23758,8982,23581,28325,8956,19451,9031,11829,8766,595,9442,1166,2818,14017,7321,6016,7948,8910,3507,3088,2834,4138,1361,4934,1717,4286,6097,1531,7956,4947,3984,1046,5061,157,2036,3102,1733,1741,1913,1926,3462,2410,2940,2969,,313,1970,150,808,725,1465,1905
2021-01-02,30182,1951,37109,6344,93885,31224,17261,1495,20938,10652,9278,55410,21107,17820,8707,4701,24052,9130,23874,28725,9087,19806,9116,11999,8854,630,9644,1218,2860,14152,7490,6118,8311,8985,3565,3122,2912,4245,1399,4997,1748,4361,6215,1560,8095,4982,4019,1055,5125,159,2080,3127,1803,1771,1937,1945,3508,2457,2953,3001,,330,2012,155,821,727,1496,1934
2021-01-03,30337,1968,37427,6379,93885,31468,17358,1503,21081,10755,9345,55790,21231,17929,8751,4768,24232,9224,24086,28930,9167,19933,9171,12105,8924,632,9746,1229,2909,14295,7539,6182,8421,9038,3599,3154,2939,4294,1416,5026,1774,4390,6239,1577,8193,5021,4035,1062,5176,159,2095,3166,1829,1801,1952,1960,3548,2491,2983,3028,,335,2037,156,829,739,1515,1951
2021-01-04,30443,1971,37560,6414,95503,31562,17430,1506,21137,10772,9462,56262,21370,17973,8813,4786,24318,9283,24158,29047,9206,20165,9205,12160,8963,632,9850,1153,2947,14335,7621,6223,8491,9056,3616,3169,2961,4309,1421,5067,1800,4431,6281,1586,8247,5032,4054,1068,5225,161,2098,3177,1836,1805,1967,1968,3554,2507,3001,3042,,340,2054,157,830,740,1520,1968
2021-01-05,30786,2029,38101,6513,96419,32070,17738,1529,21529,10918,9567,56827,21720,18197,8902,4865,24820,9452,24608,29476,9357,20393,9271,12308,9189,637,9997,1165,2973,14540,7691,6278,8612,9135,3671,3201,3015,4384,1424,5120,1820,4471,6373,1636,8317,5072,4092,1092,5296,164,2118,3211,1879,1832,1994,1986,3587,2541,3049,3065,,348,2066,159,838,775,1562,1990
2021-01-06,31063,2046,38549,6605,97099,32484,18017,1576,21796,11087,9774,57708,22015,18378,9069,4973,25180,9597,25040,29935,9504,20724,9348,12431,9404,659,10212,1212,3016,14693,7993,6323,8808,9214,3738,3256,3085,4471,1444,5208,1858,4526,6474,1661,8419,5118,4203,1109,5387,173,2155,3255,1904,1860,2033,2016,3625,2576,3102,3095,,351,2085,170,853,799,1590,2031
2021-01-07,31675,2111,39388,6736,97891,32988,18331,1613,22280,11302,9900,58372,22433,18654,9185,5059,25523,9747,25349,30347,9629,21003,9444,12599,9515,665,10349,1202,3147,14879,8096,6366,8969,9342,3823,3284,3198,4559,1457,5275,1889,4579,6545,1677,8517,5144,4242,1132,5479,181,2171,3306,1930,1896,2076,2029,3658,2609,3157,3129,,354,2108,177,862,819,1605,2062
2021-01-08,32008,2167,39939,6846,98541,33463,18653,1645,22570,11511,10121,59339,22784,18903,9353,5145,25874,9954,25710,30786,9762,21349,9538,12764,9723,680,10557,1220,3248,15057,8256,6498,9156,9460,3891,3325,3323,4648,1465,5436,1933,4663,6700,1707,8621,5208,4286,1155,5597,183,2185,3373,2014,1926,2107,2043,3702,2629,3235,3172,,371,2138,182,882,830,1628,2097
2021-01-09,32337,2197,40432,6983,98541,33843,18990,1685,22921,11698,10353,60188,23311,19192,9483,5230,26198,10100,26155,31300,9971,21622,9652,12971,9855,697,10757,1256,3323,15347,8394,6563,9335,9578,3953,3355,3409,4735,1484,5554,1965,4734,6783,1751,8686,5287,4322,1194,5679,186,2215,3397,2045,1976,2150,2066,3731,2690,3340,3196,,412,2183,184,896,840,1662,2124
2021-01-10,32640,2232,40964,7110,98541,34178,19205,1702,23197,11883,10433,60707,23595,19428,9560,5341,26512,10229,26494,31672,10075,21853,9743,13120,9952,705,10863,1289,3369,15529,8472,6618,9412,9638,3992,3394,3456,4791,1495,5629,2004,4790,6858,1755,8797,5346,4341,1209,5728,186,2242,3429,2079,2005,2164,2080,3758,2736,3381,3224,,415,2206,186,907,847,1670,2145
2021-01-11,32836,2257,41270,7163,100092,34438,19334,1720,23366,11998,10515,61075,23815,19608,9621,5401,26732,10319,26759,31951,10150,22026,9785,13330,10035,708,10937,1422,3401,15678,8514,6672,9485,9673,3997,3414,3486,4822,1498,5656,2022,4826,6909,1773,8862,5370,4363,1212,5765,187,2249,3454,2090,2038,2168,2089,3798,2757,3416,3233,,422,2225,186,912,851,1675,2156
2021-01-12,33132,2281,41651,7244,100910,34847,19508,1756,23631,12081,10648,61769,24010,19723,9749,5434,27070,10462,27005,32231,10248,22233,9840,13462,10180,716,11056,1407,3474,15809,8590,6720,9603,9760,4052,3449,3553,4883,1515,5702,2050,4871,7026,1787,8925,5397,4386,1227,5855,194,2253,3490,2118,2067,2196,2103,3824,2780,3452,3272,,430,2248,188,918,878,1712,2171
2021-01-13,33407,2308,41961,7353,101582,35125,19753,1779,23914,12187,10831,62439,24383,19913,9854,5508,27452,10627,27275,32641,10355,22510,9973,13609,10263,729,11222,1334,3542,15965,8704,6801,9736,9824,4113,3475,3626,4940,1540,5762,2081,4934,7114,1813,9026,5425,4416,1259,5935,200,2289,3518,2141,2113,2249,2113,3851,2817,3560,3289,,571,2278,195,925,885,1745,2188
2021-01-14,33696,2349,42433,7430,102168,35424,19981,1798,24140,12353,11028,62938,24667,20151,9939,5642,27742,10793,27663,33017,10457,22713,10004,13717,10367,740,11338,1382,3593,16079,8794,6854,9852,9885,4177,3505,3693,4976,1557,5802,2076,4967,7181,1828,9093,5473,4431,1278,5983,205,2300,3534,2165,2150,2263,2119,3890,2842,3589,3351,,574,2294,198,936,893,1785,2206
2021-01-15,33933,2370,42797,7503,102837,35745,20191,1822,24369,12420,11148,63358,24936,20297,10051,5690,28001,10872,27846,33325,10509,22866,10041,13831,10442,749,11439,1369,3650,16186,8850,6905,9949,9986,4211,3543,3746,5016,1562,5864,2135,4992,7233,1839,9182,5509,4455,1296,6043,209,2313,3560,2202,2163,2277,2125,3911,2858,3613,3367,,580,2307,200,943,903,1884,2228
2021-01-16,34188,2414,43270,7616,102837,36061,20432,1841,24645,12548,11260,63884,25209,20438,10171,5749,28373,10990,28125,33686,10623,23039,10112,14009,10535,756,11596,1392,3697,16320,8962,6960,10098,10090,4257,3577,3815,5068,1567,5928,2162,5032,7312,1845,9234,5539,4473,1306,6090,211,2326,3565,2218,2183,2295,2139,3924,2877,3647,3390,,585,2326,200,955,917,1924,2261
2021-01-17,34398,2432,43690,7709,102837,36293,20611,1863,24822,12636,11384,64400,25438,20696,10233,5830,28578,11121,28488,33978,10737,23173,10182,14111,10607,769,11699,1522,3727,16451,9019,6996,10166,10141,4290,3608,3861,5104,1580,5964,2178,5065,7375,1849,9322,5565,4496,1320,6134,211,2337,3591,2267,2202,2314,2143,4002,2907,3667,3408,,587,2347,217,966,923,1938,2272
2021-01-18,34536,2446,43958,7743,102837,36494,20716,1890,24984,12721,11448,64680,25541,20763,10273,5892,28726,11242,28686,34211,10780,23253,10235,14260,10652,769,11757,1482,3761,16544,9058,7018,10242,10174,4302,3618,3895,5136,1589,5987,2193,5088,7404,1869,9374,5596,4519,1325,6168,212,2346,3605,2292,2222,2331,2152,4026,2922,3673,3416,,730,2368,219,969,931,1947,2294
2021-01-19,34717,2467,44279,7820,104648,36682,20952,1917,25167,12801,11556,65114,25758,20879,10330,5952,29064,11343,28930,34468,10873,23451,10302,14366,10801,774,11854,1443,3789,16686,9110,7059,10361,10214,4331,3634,3938,5168,1601,6012,2223,5128,7464,1872,9414,5620,4554,1348,6224,216,2353,3625,2314,2243,2358,2160,4041,2933,3688,3427,,730,2376,223,975,940,1983,2312
2021-01-20,34955,2486,44561,7882,105177,36952,21157,1944,25381,12898,11667,65577,25940,21042,10426,6032,29253,11437,29155,34745,10979,23624,10357,14425,10878,782,11948,1476,3821,16811,9177,7090,10418,10293,4371,3661,3992,5214,1612,6058,2247,5166,7533,1889,9470,5648,4580,1369,6279,221,2371,3644,2332,2262,2381,2170,4062,2944,3747,3447,,731,2392,226,983,954,1996,2331
2021-01-21,35169,2503,44865,7940,105713,37215,21337,1960,25579,12969,11771,66002,26133,21195,10470,6085,29433,11535,29360,34992,11065,23731,10408,14524,10933,787,12040,1495,3835,16903,9225,7131,10516,10342,4405,3685,4025,5272,1623,6083,2267,5193,7596,1906,9518,5664,4606,1388,6319,221,2386,3682,2349,2274,2393,2175,4070,2952,3777,3457,,1245,2395,229,984,963,2010,2359
2021-01-22,35351,2525,45263,8025,106132,37508,21553,1975,25771,13042,11822,66345,26371,21367,10531,6130,29687,11653,29618,35297,11161,23822,10451,14586,10987,791,12112,1523,3873,17014,9271,7183,10601,10411,4435,3728,4072,5307,1629,6103,2279,5226,7649,1921,9578,5691,4628,1409,6364,224,2399,3692,2379,2284,2409,2184,4102,2963,3812,3468,,1246,2407,236,991,973,2031,2377
2021-01-23,35642,2539,45577,8102,106132,37784,21800,1995,25948,13112,11945,66809,26655,21533,10578,6183,29973,11783,29812,35670,11249,23962,10525,14683,11057,797,12195,1511,3892,17137,9342,7244,10701,10472,4447,3744,4108,5335,1641,6132,2295,5272,7710,1933,9636,5717,4652,1422,6431,225,2408,3705,2405,2299,2432,2199,4119,2983,3849,3487,,1246,2417,257,1004,980,2045,2398
2021-01-24,35855,2552,45837,8147,106132,38025,21929,2006,26110,13198,11996,67095,26786,21656,10609,6228,30099,11860,30002,35871,11281,24019,10572,14796,11091,799,12263,1527,3907,17242,9369,7271,10754,10501,4471,3769,4137,5350,1650,6145,2307,5300,7760,1942,9673,5737,4662,1430,6465,228,2411,3717,2547,2307,2439,2209,4143,3001,3866,3503,,1247,2426,257,1010,984,2058,2415
2021-01-25,36048,2567,46137,8191,107177,38206,22026,2024,26249,13269,12090,67429,26866,21726,10649,6281,30230,11917,30224,36083,11354,24175,10655,14893,11120,805,12327,1545,3930,17328,9442,7294,10782,10556,4481,3798,4150,5371,1654,6177,2319,5326,7799,1952,9718,5760,4681,1437,6498,229,2413,3729,2568,2328,2444,2219,4160,3014,3892,3519,,1248,2437,257,1012,989,2064,2427
2021-01-26,36252,2578,46413,8258,107863,38443,22277,2042,26380,13328,12163,67711,27105,21817,10673,6323,30418,11971,30363,36283,11412,24227,10724,14985,11245,806,12399,1524,3974,17457,9476,7324,10872,10587,4521,3823,4196,5395,1660,6188,2333,5344,7846,1959,9742,5787,4691,1460,6546,232,2421,3745,2612,2347,2452,2226,4169,3019,3915,3532,,1248,2445,258,1021,1013,2067,2444
2021-01-27,36447,2600,46765,8340,108222,38692,22485,2063,26580,13435,12267,68087,27284,22285,10759,6400,30633,12120,30646,36657,11511,24368,10848,15106,11302,807,12489,1556,4018,17553,9525,7352,10925,10636,4536,3829,4247,5438,1672,6232,2351,5372,7909,1970,9785,5824,4710,1468,6632,237,2433,3749,2657,2365,2487,2232,4208,3030,3946,3574,,1248,2453,259,1031,1016,2088,2465
2021-01-28,36636,2616,47100,8401,108760,38977,22687,2087,26744,13882,12348,68445,27532,22412,10833,6446,30822,12201,31218,36945,11573,24456,10925,15172,11345,809,12566,1567,4073,17983,9563,7394,10983,10664,4560,3866,4287,5485,1679,6256,2364,5401,7952,1976,9817,5846,4727,1482,6671,237,2443,3757,2679,2457,2497,2239,4220,3048,3972,3587,,1251,2465,261,1040,1026,2103,2479
2021-01-29,37027,2640,48029,8469,109231,39657,23135,2104,27079,14251,12452,68809,27820,22542,10890,6471,32287,12285,31670,37912,11650,24576,10985,15303,11405,811,12651,1568,4109,18309,9602,7436,11078,10727,4572,3875,4321,5522,1682,6284,2385,5430,8003,1981,9861,5886,4740,1495,6740,239,2453,3779,2700,2524,2534,2245,4236,3061,4011,3605,,1321,2474,261,1050,1034,2121,2493
2021-01-30,37190,2662,48329,8545,109231,39925,23315,2122,27251,14360,12531,69135,28015,22725,10943,6507,32481,12367,31889,38168,11715,24661,11110,15437,11437,822,12695,1593,4142,18428,9652,7478,11162,10761,4594,3892,4361,5570,1690,6308,2401,5454,8060,2019,9903,5905,4759,1516,6798,242,2477,3845,2729,2548,2554,2263,4271,3082,4039,3631,,1331,2487,268,1052,1038,2128,2520
2021-01-31,37339,2676,48612,8595,109231,40193,23443,2133,27405,14474,12562,69368,28135,22882,10985,6564,32577,12398,32142,38485,11774,24703,11292,15533,11476,828,12736,1649,4163,18518,9677,7498,11209,10789,4602,3907,4387,5603,1693,6328,2413,5477,8090,2021,9933,5940,4771,1520,6830,243,2487,3873,2736,2561,2560,2269,4304,3096,4056,3635,,1331,2496,281,1056,1039,2132,2530
2021-02-01,37443,2714,48832,8639,110272,40349,23585,2146,27519,14541,12596,69537,28240,22951,11019,6578,32713,12433,32263,38660,11805,24766,11335,15616,11502,830,12773,1627,4175,18614,9701,7504,11240,10808,4614,3938,4403,5627,1699,6339,2420,5490,8116,2027,9967,5953,4778,1524,6866,243,2491,3886,2746,2575,2571,2273,4318,3105,4071,3639,,1332,2506,282,1059,1043,2145,2539
2021-02-02,37617,2740,49117,8683,110793,40522,23716,2174,27695,14646,12682,69837,28357,23026,11057,6603,32843,12497,32464,38895,11861,24883,11430,15684,11583,835,12852,1623,4194,18714,9736,7536,11280,10866,4626,3981,4440,5675,1709,6365,2434,5508,8160,2035,10014,5970,4797,1528,6895,244,2511,3896,2782,2589,2585,2281,4328,3124,4080,3651,,1336,2516,284,1064,1051,2159,2555
2021-02-03,37727,2746,49270,8713,111098,40698,23799,2180,27775,14705,12741,70165,28427,23068,11114,6631,32957,12544,32578,39065,11888,24998,11512,15783,11609,836,12906,1641,4211,18767,9811,7555,11305,10890,4638,3993,4456,5712,1712,6376,2445,5531,8213,2040,10078,5996,4816,1533,6918,244,2520,3905,2790,2600,2606,2289,4335,3136,4089,3661,,1341,2522,284,1070,1054,2165,2564
2021-02-04,37868,2750,49475,8736,111411,40869,23867,2189,27915,14742,12812,70478,28487,23180,11181,6672,33104,12590,32715,39259,11940,25068,11571,15888,11638,843,12974,1644,4231,18867,9838,7584,11325,10920,4650,4004,4471,5735,1718,6396,2456,5565,8249,2045,10103,6012,4826,1547,6968,245,2531,3913,2833,2614,2620,2300,4370,3142,4116,3667,,1341,2523,284,1071,1057,2179,2581
2021-02-05,37983,2764,49635,8765,111750,41062,23981,2202,28042,14800,12874,70813,28603,23292,11239,6704,33202,12638,32858,39492,11997,25130,11622,15945,11683,847,13022,1662,4260,18945,9871,7609,11365,10962,4656,4019,4496,5748,1725,6414,2464,5588,8375,2048,10133,6036,4847,1555,7288,246,2549,3921,2846,2638,2789,2308,4380,3159,4854,3678,,1341,2552,288,1076,1060,2185,2621
2021-02-06,38137,2787,49877,8813,111750,41319,24147,2221,28201,14893,12949,71083,28757,23419,11265,6754,33364,12706,33074,39798,12046,25202,11735,16011,11749,856,13083,1667,4289,19031,9901,7666,11419,11013,4680,4038,4533,5790,1729,6430,2474,5612,8428,2054,10172,6056,4865,1578,7328,246,2556,3936,2863,2656,2810,2323,4397,3177,4856,3685,,1349,2574,291,1081,1064,2190,2632
2021-02-07,38324,2810,50217,8875,111750,41597,24327,2251,28399,14980,13003,71343,28894,23527,11294,6779,33530,12784,33314,40175,12125,25280,11869,16079,11795,859,13121,1675,4330,19168,9940,7679,11465,11032,4691,4060,4549,5813,1735,6443,2478,5642,8501,2069,10194,6069,4878,1587,7404,247,2562,3963,2881,2674,2821,2332,4409,3184,4876,3690,,1352,2581,291,1088,1064,2199,2640
2021-02-08,38461,2818,50413,8902,112652,41767,24388,2254,28502,15012,13028,71533,28955,23602,11315,6796,33625,12838,33466,40309,12160,25339,11891,16126,11813,863,13150,1680,4361,19230,9959,7688,11477,11085,4702,4073,4564,5818,1738,6451,2483,5651,8534,2072,10221,6075,4885,1588,7426,247,2563,3965,2884,2693,2825,2338,4416,3187,4893,3698,,1352,2584,292,1091,1064,2203,2645
2021-02-09,38616,2825,50615,8958,113224,41946,24613,2268,28624,15092,13082,71938,29130,23662,11389,6821,33769,12893,33618,40554,12229,25432,11957,16197,11917,868,13215,1683,4383,19333,9993,7707,11526,11126,4721,4102,4607,5855,1740,6470,2506,5691,8578,2075,10272,6096,4900,1601,7461,247,2569,3976,2898,2715,2839,2347,4427,3199,4913,3708,,1353,2593,293,1092,1084,2220,2654
2021-02-10,38751,2837,50815,8981,113519,42162,24719,2287,28723,15162,13116,72177,29211,23742,11441,6843,33874,12961,33750,40750,12266,25516,12000,16220,11949,875,13268,1686,4399,19421,10022,7722,11554,11179,4733,4117,4624,5885,1746,6482,2515,5716,8615,2086,10292,6107,4911,1606,7493,247,2573,4014,2915,2725,2863,2349,4435,3204,4913,3718,,1357,2598,293,1101,1086,2233,2665
2021-02-11,38901,2848,51044,9030,113878,42398,24910,2305,28871,15235,13150,72447,29366,23825,11520,6876,34009,13043,33946,41059,12308,25602,12074,16328,11990,880,13328,1689,4410,19499,10045,7743,11591,11238,4755,4128,4641,5929,1750,6502,2530,5736,8675,2089,10321,6131,4925,1616,7526,249,2577,4025,2923,2737,2879,2355,4444,3217,4950,3725,,1358,2611,297,1106,1094,2236,2677
2021-02-12,39041,2864,51197,9075,114308,42605,25060,2333,28958,15292,13198,72699,29464,23882,11558,6895,34140,13095,34087,41254,12342,25668,12114,16384,12043,882,13351,1698,4432,19586,10077,7766,11621,11266,4768,4133,4667,5958,1757,6514,2532,5757,8706,2091,10346,6149,4934,1626,7580,250,2582,4045,2931,2751,2890,2360,4457,3225,4976,3729,,1359,2621,300,1108,1095,2243,2684
2021-02-13,39222,2873,51429,9149,114308,42819,25250,2351,29112,15375,13246,73005,29586,24005,11623,6919,34284,13196,34254,41546,12391,25766,12195,16466,12067,883,13392,1699,4454,19659,10104,7803,11663,11311,4782,4155,4690,5982,1764,6528,2551,5790,8763,2103,10384,6168,4943,1637,7646,250,2587,4051,2955,2758,2908,2367,4460,3237,4991,3736,,1361,2628,302,1113,1098,2253,2692
2021-02-14,39312,2892,51555,9179,114308,42985,25386,2353,29212,15432,13278,73217,29640,24076,11633,6959,34325,13237,34423,41722,12446,25843,12282,16542,12101,885,13432,1703,4470,19732,10128,7822,11703,11317,4790,4158,4695,6003,1770,6544,2556,5800,8803,2105,10394,6178,4952,1636,7673,250,2592,4069,2962,2768,2916,2371,4474,3248,5021,3735,,1366,2638,304,1114,1101,2258,2700
2021-02-15,39393,2892,51656,9195,114308,43112,25433,2363,29325,15472,13311,73399,29681,24114,11670,6977,34377,13262,34504,41851,12468,25895,12307,16596,12121,888,13456,1725,4474,19802,10142,7843,11722,11346,4801,4166,4696,6008,1771,6551,2564,5814,8838,2107,10408,6189,4961,1639,7684,251,2593,4072,2969,2780,2901,2376,4485,3251,5054,3741,,1367,2645,305,1114,1100,2260,2704
2021-02-16,39479,2902,51803,9238,115018,43224,25546,2372,29416,15521,13362,73598,29773,24185,11719,7002,34506,13314,34582,41955,12493,25993,12321,16650,12182,889,13489,1731,4486,19863,10156,7853,11745,11357,4807,4178,4713,6038,1773,6561,2579,5831,8883,2110,10417,6208,4972,1645,7701,252,2595,4080,2972,2790,2913,2381,4493,3255,5059,3751,,1367,2646,305,1118,1109,2267,2711
2021-02-17,39642,2914,52041,9273,115560,43413,25694,2382,29560,15606,13395,73813,29873,24263,11783,7018,34616,13386,34721,42180,12533,26040,12394,16712,12224,891,13530,1731,4491,19924,10202,7868,11772,11390,4816,4189,4738,6070,1776,6568,2587,5849,8917,2112,10430,6218,4984,1653,7794,253,2606,4098,2974,2802,2927,2386,4501,3262,5070,3758,,1372,2660,306,1120,1111,2273,2721
2021-02-18,39778,2925,52252,9317,115944,43662,25837,2397,29693,15696,13430,74060,29969,24317,11825,7041,34794,13427,34870,42361,12562,26132,12469,16770,12252,891,13569,1735,4507,20005,10226,7880,11812,11421,4831,4195,4760,6092,1782,6580,2597,5869,8936,2114,10460,6233,4996,1659,7812,253,2607,4104,2981,2820,2937,2393,4510,3268,5066,3760,,1371,2671,306,1127,1112,2281,2724
2021-02-19,39905,2948,52427,9353,116242,43785,25960,2412,29781,15733,13462,74317,30045,24386,11884,7074,34859,13507,34976,42502,12584,26177,12519,16830,12275,894,13616,1742,4520,20051,10253,7908,11828,11460,4841,4221,4781,6106,1789,6592,2608,5895,8977,2122,10483,6257,5004,1663,7834,254,2621,4135,2994,2825,2946,2403,4519,3281,5068,3768,,1372,2681,301,1132,1113,2284,2740
2021-02-20,39983,2954,52637,9390,116242,43904,26058,2434,29843,15797,13493,74602,30121,24461,11945,7102,34960,13563,35108,42660,12623,26275,12555,16880,12292,899,13656,1748,4528,20120,10283,7924,11852,11518,4851,4253,4793,6122,1791,6608,2614,5915,9019,2132,10507,6261,5010,1666,7856,255,2652,4137,3008,2832,2954,2410,4526,3287,5082,3771,,1373,2691,304,1138,1116,2289,2745
2021-02-21,40052,2965,52748,9417,116242,43996,26143,2436,29912,15831,13534,74866,30179,24505,11981,7120,35025,13595,35185,42740,12643,26325,12629,16941,12308,900,13693,1752,4537,20152,10306,7933,11880,11537,4857,4266,4796,6136,1797,6617,2620,5925,9039,2132,10520,6273,5015,1667,7862,256,2650,4147,3010,2836,2955,2411,4534,3286,5091,3774,,1377,2701,305,1143,1117,2296,2755
2021-02-22,40132,2967,52898,9435,116726,44105,26208,2437,30004,15869,13544,74976,30230,24543,11997,7136,35105,13629,35231,42843,12651,26351,12642,16971,12309,904,13705,1751,4544,20188,10311,7935,11902,11547,4859,4270,4800,6149,1797,6622,2622,5929,9057,2135,10528,6282,5018,1667,7868,256,2653,4149,3010,2841,2958,2412,4537,3295,5093,3780,,1377,2710,305,1146,1117,2300,2757
2021-02-23,40241,2978,53049,9488,117022,44251,26356,2450,30099,15937,13574,75250,30315,24593,12067,7162,35180,13670,35332,42945,12678,26429,12710,17024,12370,912,13741,1755,4551,20261,10339,7958,11936,11584,4868,4310,4818,6169,1799,6635,2638,5944,9100,2140,10547,6290,5027,1681,7882,256,2659,4156,3020,2847,2961,2417,4549,3308,5097,3785,,1377,2716,305,1148,1120,2304,2768
