,Unknown,Bristol,Kent,Newport,Providence,Washington
2020-08-21,15,15,103,6,826,65
2020-08-22,15,15,103,6,826,65
2020-08-23,15,15,103,6,826,65
2020-08-24,20,15,103,6,826,65
2020-08-25,24,15,103,6,826,65
2020-08-26,14,16,103,6,836,66
2020-08-27,17,16,103,6,836,66
2020-08-28,19,16,103,6,836,66
2020-08-29,19,16,103,6,836,66
2020-08-30,19,16,103,6,836,66
2020-08-31,21,16,103,6,836,66
2020-09-01,23,16,103,6,836,66
2020-09-02,13,16,103,6,846,67
2020-09-03,17,16,103,6,846,67
2020-09-04,17,16,103,6,846,67
2020-09-05,17,16,103,6,846,67
2020-09-06,17,16,103,6,846,67
2020-09-07,17,16,103,6,846,67
2020-09-08,21,16,103,6,846,67
2020-09-09,13,16,104,6,854,69
2020-09-10,18,16,104,6,854,69
2020-09-11,22,16,104,6,854,69
2020-09-12,22,16,104,6,854,69
2020-09-13,22,16,104,6,854,69
2020-09-14,26,16,104,6,854,69
2020-09-15,29,16,104,6,854,69
2020-09-16,15,16,107,6,866,71
2020-09-17,19,16,107,6,866,71
2020-09-18,22,16,107,6,866,71
2020-09-19,22,16,107,6,866,71
2020-09-20,22,16,107,6,866,71
2020-09-21,31,16,107,6,866,71
2020-09-22,33,16,107,6,866,71
2020-09-23,15,16,110,8,882,71
2020-09-24,19,16,110,8,882,71
2020-09-25,20,16,110,8,882,71
2020-09-26,20,16,110,8,882,71
2020-09-27,20,16,110,8,882,71
2020-09-28,23,16,110,8,882,71
2020-09-29,26,16,110,8,882,71
2020-09-30,13,16,111,8,894,72
2020-10-01,16,16,111,8,894,72
2020-10-02,17,16,111,8,894,72
