date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-12-02,738.6134408539016,158.16938031691143,944.5568217697485,837.4497430536832,491.6761180693427,558.7391408718894,1411.8355692711812,786.9100195161766,1000.6598554119021,871.7075397293189,868.2860233676391,670.6828501053507,166.29205144608804,544.8299336742961,1048.428613664085,880.2557442840115,789.2503970543846,571.5005378027694,471.3886612828341,1395.7361880407243,160.01655951184674,763.2878458025806,1539.7052340731761,976.3497894432563,657.3212904455871,1300.4515954086055,679.9446231002778,657.6125804145819,580.6768683622363,716.6752452961946,389.8284537022451,1845.7327025940592,769.295431169074,1697.221790593245,517.8464484699678,1247.6029850056605,38.88554041179788,565.3654306540442,457.6505302760325,227.0337218237463,830.2435842298755,348.15698958633226,1267.565717951592,868.2358342654235,1122.1800292556281,670.685473835308,769.3124548708283,276.9273655587942,115.07175657036404,216.50115310396762,476.5163630018932,386.6179572166155,433.7364443423597,630.3321604460886,398.7164796455237
2020-12-03,751.5506204969907,169.0776134422157,955.6034522538063,848.4076500801588,495.3687473511392,577.6178037221795,1417.3819671076424,786.9100195161766,1003.5603187609221,876.2575977263082,875.3809312029192,670.6828501053507,167.6663659208491,556.2485250986077,1065.3651884549067,889.0980922928916,815.8930832138852,571.5005378027694,484.9266595588477,1400.674187167772,161.48460134223063,771.2202115383868,1546.817693580166,995.4024532884749,673.4432735756841,1309.9069692521373,694.4046162797102,666.8357582605087,601.5791963717637,727.6266872467882,394.9100164134476,1852.6225767828034,790.0744360625297,1700.1919039758384,522.4444191556057,1261.721948827741,38.88554041179788,572.3149082906251,463.7121267035296,229.8657433017972,845.9984610943691,351.5046529477393,1275.7670777370442,872.5340314647573,1165.0371560010692,683.9978931649408,776.9637204776517,280.59527768540073,116.6267803078014,216.50115310396762,480.4554722511187,394.5346055516989,439.8689647636527,641.5305245347673,445.5223272560852
2020-12-04,762.4974648103738,184.076433989509,962.7348213004765,858.7014415292722,500.55360353448356,584.5457533920107,1427.0881633214492,789.9404817222722,1005.010550435432,881.8290973144583,881.5422985335572,676.6180965664599,174.5379382946544,563.8609193814821,1077.696888072187,902.214241839397,835.3265719419917,607.921358258336,491.8066258958382,1405.826881909039,164.42068500299848,775.4292219288146,1551.9386644251988,1003.5395284723703,684.1328493467267,1322.4015704025187,710.8142714608639,671.4473471834721,614.3245183287926,733.1024082220849,400.7175166548218,1857.5746738559633,805.6586897326214,1703.3105230275612,527.3297630090959,1277.1244548154652,38.88554041179788,583.2476231091489,469.7737231310267,236.94579699692443,859.9088645698488,356.6783145062775,1287.6134863160312,878.3952094638487,1199.99954887235,697.7444131248878,785.3698194627268,283.0405524364718,119.7368277826761,216.50115310396762,481.9616022581755,397.38979019713884,445.44398332846447,652.7288886234462,445.5223272560852
2020-12-05,771.6530073270214,185.43996313017203,970.4255134096306,869.9914063444289,502.70342195196787,591.473703061842,1427.0881633214492,789.9404817222722,1007.911013784452,886.0077220055708,887.4236037128026,676.6180965664599,177.97372448155704,563.8609193814821,1094.8676090582733,914.7409015186438,840.6551091738918,607.921358258336,497.3549858450241,1405.826881909039,166.62274774857434,780.2857723793082,1558.05537960121,1023.3860533111397,697.2757703766971,1333.5454038609669,716.8257292995044,676.9812538910281,615.853956963636,743.7317489388375,405.7990793660242,1863.0650423501188,820.7706932914982,1707.2211723146424,531.352987359029,1300.2282137970515,38.88554041179788,588.7563553820484,473.30965438040005,242.37383816318862,870.821998788181,360.3303109005397,1287.6134863160312,882.4980340632128,1230.4506652441107,701.9407192179243,792.9524638533455,287.0141239069622,122.8468752575508,216.50115310396762,486.2482799705679,397.77913355788064,462.16903902289994,668.16905729117,445.5223272560852
2020-12-06,774.0414097226686,185.43996313017203,971.8238210658404,883.2737178916722,504.2462328162801,595.2840753802492,1427.0881633214492,801.0521764779564,1010.8114771334721,890.3256341863872,888.3571442174448,676.6180965664599,178.66088171893756,565.4921467278123,1102.5944335020122,919.8989378571572,851.6256270042744,607.921358258336,499.35239542673105,1413.5559240209398,166.62274774857434,784.494782769736,1565.31008829834,1023.3860533111397,708.4910629889386,1337.5977069367661,718.1255039673184,678.8258894602135,621.4618986247287,746.6306600434064,409.4287670168831,1864.6798566131058,825.9654445148622,1710.3892932560755,534.3225100935035,1307.9294667909135,38.88554041179788,589.8581018366283,478.8661177722724,243.78984890221406,875.2794761449645,362.460642130526,1287.6134863160312,892.071291461729,1251.8792286168314,707.2946269917984,795.5600700691239,287.0141239069622,122.8468752575508,216.50115310396762,486.59584843373483,397.77913355788064,467.1865557312306,671.2231565880825,445.5223272560852
2020-12-07,774.6385103215805,189.53055055216112,971.8238210658404,900.8727806917693,507.1548106752294,600.3068388908769,1448.7191148836478,801.0521764779564,1016.6124038315121,895.2006963260185,892.3713683874058,676.6180965664599,178.66088171893756,577.4544806009006,1110.9456477997905,926.0885814633732,853.5062872037686,631.7480632292674,505.12268977388436,1418.4939231479873,166.62274774857434,787.5705980550487,1569.7198131926734,1033.507780978912,712.1710808773303,1337.5977069367661,723.324602638575,685.2821139523622,637.7759107297258,749.2074699141342,410.8806420772267,1866.2946708760928,829.2711952933665,1714.5969538814159,536.2383312125194,1319.4813462817067,38.88554041179788,595.1973346549771,482.65461553945806,247.56587753961526,878.5073045757389,365.808305491933,1319.5076632594573,894.6111352613352,1251.8792286168314,716.7001406486042,797.9961232443906,290.070717345801,125.95692273242551,216.50115310396762,487.5226976688467,399.72585036158966,468.8590613006741,675.1256168008039,485.39397522063757
2020-12-08,784.5901869701105,189.53055055216112,976.7178978625749,913.8230344503314,511.8591192123126,607.5811860441996,1453.7108729364627,811.153717164942,1016.6124038315121,899.6578959965386,894.5185115480828,676.6180965664599,178.66088171893756,587.7855871276588,1123.2773474170708,944.6575122820213,913.6874135875819,631.7480632292674,516.663278468191,1428.1552257878632,175.43099873087783,795.8267338208879,1575.5520299884054,1053.8504689386505,716.0263377127883,1356.5084546238297,746.3956029922763,703.7284696442159,660.2076773740966,762.7357217354556,410.8806420772267,1875.9835564540142,844.8554489634582,1718.8541163964665,540.4531376743541,1365.6888642448794,38.88554041179788,601.9773128370073,485.43284723539426,255.3539366042552,890.880646893707,366.7213045904986,1339.5554316238965,895.7833708611536,1253.0070477417114,730.8807612388654,804.2063433109154,297.10088225513016,132.17701768217492,216.50115310396762,493.5472176970739,402.5810350070296,485.0266151386284,688.6993914537479,485.39397522063757
2020-12-09,793.1486288878464,194.98466711481325,990.1416513621894,925.1129992654882,517.6256909674469,635.8125809487619,1465.6356282848542,811.153717164942,1020.9630988550421,903.5579457082437,898.9995059703649,676.6180965664599,181.4095106684597,611.1665124250587,1141.1505069889517,958.8052690962295,945.6586369789827,660.6804906939698,523.5432448051815,1435.0254854428858,180.56914513722154,803.2734445116447,1588.354457100987,1061.6898462499644,730.3959313722225,1364.6130607754285,753.8693073322077,711.1070119209573,668.3646834265951,771.4324550491623,413.7843921979138,1888.4714534211132,860.9119527447649,1722.616260014418,546.392183143303,1387.509081060822,38.88554041179788,609.096289928139,491.241877145079,262.43399029938246,909.8633521889749,370.9819670504712,1352.313102401267,901.0584310603359,1293.6085362373924,739.852174265357,814.0877984443913,304.1310471644594,133.73204141961227,216.50115310396762,495.9801969392426,408.2914042979094,502.30917268954505,703.9698879383099,518.3314235391808
2020-12-10,802.9012720034059,201.8023128181284,1003.0060817993199,936.4029640806449,521.9253278024154,657.2892249252387,1477.2830637414224,814.1841793710377,1026.764025553082,909.547307765505,903.9472706449682,688.4885894886785,182.78382514322075,622.5851038493703,1159.1797640243424,973.1003983772523,976.6895302706364,660.6804906939698,529.7574079482697,1443.6133100116645,180.56914513722154,811.3676952624675,1594.4711722769985,1081.1394405919584,745.9921976611208,1378.796121540726,761.9928990060461,724.9417786898476,692.3258887058095,788.5038204427345,423.9475176203187,1895.5766361782557,871.7737053027076,1726.8239206397584,550.990153828941,1423.448261698845,38.88554041179788,618.5035096557059,500.0817052685123,265.26601177743333,927.3089963267313,376.76429467471974,1365.0707731786374,903.9890200598817,1327.4431099837932,749.9811889726864,822.3223443889547,310.54989338602087,138.39711263192433,216.50115310396762,502.23642927624775,399.07694476035334,513.4592098191687,715.3379242101505,518.3314235391808
2020-12-11,813.2510157178772,205.89290024011748,1013.7730507521358,954.6661424581042,527.4389797437279,668.2007456552229,1487.2665798470525,815.1943334397363,1028.214257227592,915.2580948433589,909.0817434204998,688.4885894886785,183.47098238060127,635.6349226200122,1176.6626799374487,983.4164710542791,1000.8246694974782,705.27046713957,536.1935054893254,1452.8452214231013,183.50522879798936,819.785716043323,1601.2991334037088,1087.6887937887523,762.4646586853504,1392.6414903830405,764.2675046747208,742.4658165971085,702.0123333931514,801.387869796374,428.3031428013494,1901.3899675250086,892.0804600849483,1731.7246077210375,554.7260050110217,1458.1039001712245,38.88554041179788,629.3514747469543,506.90100124944655,270.6940529436975,945.1389057538655,380.1119580361268,1375.0946573608571,912.9761596584887,1364.661141104834,762.7148074619005,830.5912009416203,313.9121461687435,144.61720758167374,216.50115310396762,506.2913946798622,401.93212940579326,522.9367413793487,724.8395664672114,556.4695215922309
