,Fayette,Harrison,Jefferson,Montgomery,Bourbon,Nelson,Clark,Lyon,Franklin,Kenton,Warren,Christian,Daviess,Henderson,Pulaski,Scott,Unknown,Calloway,Anderson,Madison,Spencer,Allen,Breathitt,Hardin,Jessamine,Oldham,Logan,Martin,McCracken,Menifee,Muhlenberg,Simpson,Grayson,Laurel,McCreary,Wayne,Boone,Hopkins,Mason,Mercer,Union,Webster,Bullitt,Campbell,Larue,Woodford,Boyle,Bracken,Breckinridge,Butler,Carroll,Floyd,Grant,Nicholas,Shelby,Washington,Boyd,Lewis,Taylor,Marion,Marshall,Barren,Edmonson,Graves,Hancock,Henry,Lawrence,Powell,Rockcastle,Russell,Bath,Crittenden,Cumberland,Lincoln,Meade,Pendleton,Caldwell,Clinton,Ohio,Perry,Adair,Carter,Greenup,Johnson,Leslie,Letcher,McLean,Monroe,Pike,Green,Hart,Todd,Ballard,Jackson,Whitley,Knox,Trimble,Fleming,Gallatin,Knott,Rowan,Morgan,Owsley,Trigg,Casey,Garrard,Livingston,Clay,Fulton,Hickman,Carlisle,Metcalfe,Owen,Harlan,Magoffin,Bell,Wolfe,Elliott,Lee,Estill,Robertson
2020-05-14,529,19,1822,16,8,32,20,14,18,432,730,95,277,89,47,33,,44,10,41,16,33,2,72,50,50,77,3,76,3,459,35,101,21,13,8,283,218,8,12,10,32,89,128,6,19,18,9,14,205,2,18,31,1,54,5,38,8,9,17,34,34,46,152,7,11,2,1,13,19,7,4,5,5,18,6,12,3,118,18,91,7,13,5,6,5,19,6,22,1,19,15,10,57,12,7,3,2,2,4,6,1,2,9,2,4,7,2,1,5,3,3,1,1,,,,,,,
2020-05-15,532,19,1864,16,8,32,20,14,18,437,751,95,287,93,47,34,,44,10,42,16,37,2,71,50,50,82,3,80,3,464,35,103,21,13,8,312,217,8,12,10,33,92,129,6,19,18,9,14,212,2,18,32,1,65,5,38,8,9,17,35,34,49,152,7,12,2,1,13,19,7,4,5,7,18,6,12,3,128,19,92,8,13,5,6,5,19,6,23,1,19,17,10,57,12,7,3,2,2,4,6,1,2,9,2,4,7,2,1,5,3,3,1,1,,,,,,,
2020-05-16,550,19,1922,16,8,32,20,14,20,444,776,97,287,95,49,34,,46,10,43,16,39,3,73,50,55,87,3,81,3,474,37,103,21,13,8,326,217,8,12,10,33,93,131,6,19,19,9,14,217,2,18,32,1,75,6,38,8,9,17,35,34,50,152,7,12,2,1,13,23,7,4,5,7,20,6,12,3,128,19,92,8,13,5,6,5,19,6,28,1,19,17,10,57,12,8,3,2,2,4,6,1,2,9,2,4,7,2,1,5,3,3,1,1,1,,,,,,
2020-05-17,550,19,1922,16,9,32,20,14,20,444,776,97,287,95,49,34,,46,10,43,16,40,3,73,50,55,87,3,81,4,476,37,103,21,13,8,342,217,8,12,10,33,93,131,6,19,19,9,14,217,2,18,32,1,75,6,38,8,9,17,35,34,50,152,7,12,2,1,12,23,7,4,5,7,20,6,12,3,128,19,92,8,13,5,6,5,19,6,28,1,19,17,10,57,12,8,3,2,2,4,6,1,2,9,2,4,7,2,1,5,3,3,1,1,1,,,,,,
2020-05-18,564,19,2009,16,9,33,21,14,18,472,810,97,293,95,50,34,,46,13,49,16,40,3,84,52,55,94,3,85,4,476,38,107,21,13,8,355,217,8,12,10,33,98,134,6,19,19,10,14,217,3,18,35,1,76,6,39,8,9,17,36,34,50,154,7,12,2,1,12,23,7,4,5,7,20,6,12,3,128,20,95,8,13,5,6,5,19,6,28,1,19,17,10,57,12,8,3,3,3,4,6,1,2,9,2,4,7,2,2,5,3,3,2,1,1,1,,,,,
2020-05-19,596,19,2067,16,9,34,21,14,20,479,828,98,296,97,50,34,,47,13,50,16,41,3,85,51,57,98,3,85,4,476,39,109,21,13,8,361,217,8,12,10,33,99,135,6,19,19,10,15,217,3,18,35,1,78,6,39,8,9,17,36,34,50,154,7,13,2,1,12,23,7,4,5,7,20,6,12,3,140,20,94,9,13,5,6,5,20,6,28,1,20,17,10,57,13,8,3,3,3,4,6,1,2,9,2,4,7,3,2,5,3,3,1,1,1,1,1,,,,
2020-05-20,591,19,2105,17,9,34,35,14,22,486,863,98,296,98,50,34,,48,15,45,16,43,3,88,51,59,101,3,85,6,476,43,110,21,13,8,363,218,8,12,10,33,101,137,6,19,20,10,17,217,4,18,36,1,82,6,39,8,9,17,36,38,51,152,7,13,2,1,13,23,7,4,5,7,20,6,12,3,141,19,94,9,13,5,6,5,20,6,28,1,20,17,10,59,13,8,3,2,3,4,7,1,2,9,2,4,7,3,2,5,3,3,1,1,1,1,1,1,,,
2020-05-21,596,19,2144,17,9,35,36,14,24,503,879,98,299,101,51,34,,49,15,45,16,44,3,88,50,60,112,3,85,6,476,43,119,21,13,8,368,218,8,12,10,33,101,141,6,19,20,10,16,218,6,18,36,1,84,6,39,8,10,17,36,38,51,152,7,13,2,1,13,23,8,4,5,8,20,7,12,3,144,19,95,9,13,5,6,5,20,7,28,1,20,17,10,60,13,8,4,2,3,4,7,1,2,9,2,4,8,3,3,5,5,4,1,1,1,1,1,1,,,
2020-05-22,603,19,2233,17,9,36,37,14,24,520,917,101,300,103,53,34,,49,15,45,16,44,3,90,50,60,114,3,85,8,476,44,120,21,13,8,379,220,8,12,10,33,101,144,6,25,20,11,16,219,6,18,36,1,89,6,39,8,10,18,37,40,53,152,7,14,2,1,13,23,8,5,5,8,21,7,12,3,145,19,96,9,13,5,6,5,20,7,28,1,21,17,10,60,13,8,5,2,5,4,7,1,2,9,2,4,8,3,3,5,5,4,1,1,1,1,1,1,,,
2020-05-23,619,19,2249,21,9,35,37,14,24,527,920,103,305,103,55,34,,49,15,45,16,47,3,96,51,60,115,3,87,8,476,44,121,21,13,8,401,220,8,12,10,33,104,149,7,25,20,11,16,218,7,18,37,1,92,6,39,8,11,18,37,42,54,157,7,14,2,1,13,23,8,5,5,8,21,7,12,3,145,19,96,9,13,5,6,5,20,14,28,1,21,17,10,60,13,8,5,2,8,4,7,1,2,9,2,4,8,4,3,5,5,4,1,1,2,1,1,1,,,
2020-05-24,619,19,2249,21,9,35,37,14,24,527,920,111,305,104,55,34,,49,15,45,16,52,3,96,51,60,115,3,87,8,485,44,121,21,13,8,401,220,8,12,10,33,104,149,7,25,20,11,16,218,7,18,37,1,92,6,39,8,11,18,37,42,54,157,7,14,2,1,13,23,8,5,5,8,21,7,12,3,149,19,96,9,13,5,6,5,23,14,28,1,21,17,10,60,13,8,5,2,8,4,7,1,2,9,2,4,8,4,3,5,5,4,1,1,2,1,1,1,,,
2020-05-25,619,19,2307,21,9,35,37,14,24,527,920,111,305,104,55,34,,49,15,45,16,52,3,96,51,60,115,3,87,8,485,44,121,21,13,8,401,220,8,12,10,33,104,149,7,25,20,11,16,218,7,18,37,1,92,6,39,8,11,18,37,42,54,157,7,14,2,1,13,23,8,5,5,8,21,7,12,3,149,19,96,9,13,5,6,5,22,14,28,1,21,17,10,60,13,8,5,2,8,4,7,1,2,9,2,4,8,4,3,5,5,4,1,1,2,1,1,1,,,
2020-05-26,644,19,2376,22,9,36,38,14,25,537,950,111,308,104,54,35,,48,15,47,17,56,3,97,55,65,126,3,89,8,485,49,124,21,13,8,425,220,8,13,10,33,105,152,7,26,22,11,16,224,7,18,39,1,132,6,39,8,11,18,37,43,56,157,7,18,2,1,13,23,8,5,5,8,21,7,12,3,150,19,96,9,13,5,6,5,22,15,28,1,24,17,10,61,13,8,5,3,8,4,7,1,2,9,2,5,8,7,3,5,5,4,1,1,2,1,1,1,,,
2020-05-27,650,19,2427,22,10,38,38,14,25,543,950,111,312,109,56,35,,48,15,47,17,56,3,98,56,70,126,3,89,10,485,49,124,21,13,8,429,220,8,13,10,33,109,153,7,26,23,11,17,226,7,18,39,3,138,6,39,8,11,19,37,44,56,159,7,19,2,1,13,23,8,5,5,8,21,8,12,3,165,19,96,9,14,5,6,5,23,16,28,1,24,17,10,61,13,8,5,3,12,4,7,1,2,10,2,5,9,7,4,5,5,4,1,1,2,1,1,1,,,
2020-05-28,673,19,2485,23,10,38,38,14,28,547,989,111,313,112,56,35,,48,16,47,19,63,3,99,56,72,136,3,95,10,485,49,124,21,13,8,435,222,9,13,10,34,109,159,7,26,23,11,17,227,10,18,42,3,140,6,39,8,11,20,37,44,56,159,7,19,2,1,13,23,8,5,5,8,21,8,12,3,167,19,96,9,14,5,6,5,23,16,28,1,26,17,10,61,13,8,5,3,15,4,7,1,2,10,2,5,9,7,5,5,5,4,2,1,2,1,1,1,1,,
2020-05-29,702,19,2485,23,10,41,39,14,35,566,1000,111,316,115,56,35,,50,18,50,19,70,3,100,57,74,143,3,95,10,485,51,124,21,13,8,447,222,9,13,11,34,111,167,7,27,23,11,17,228,11,18,44,3,156,6,39,8,11,20,38,45,56,162,7,19,2,1,13,23,9,6,5,8,21,8,12,3,167,19,97,9,14,5,6,5,23,16,29,1,26,17,10,61,13,8,5,3,33,4,7,1,2,10,3,5,9,7,6,5,5,6,2,1,2,1,1,1,1,,
2020-05-30,714,19,2555,24,11,41,41,15,38,585,1007,111,317,116,58,35,,50,18,55,22,70,3,102,62,83,145,3,95,10,485,52,124,21,13,8,458,222,9,13,11,34,111,173,8,27,25,12,17,228,12,18,44,3,164,6,39,8,11,21,38,45,56,165,8,22,2,1,13,24,9,6,5,8,22,9,12,3,168,19,97,11,14,5,6,5,23,17,29,1,26,17,12,61,13,8,6,3,36,4,7,1,2,10,3,5,9,7,7,5,5,6,2,1,2,1,1,1,1,,
2020-05-31,714,19,2555,24,11,41,41,15,38,585,1007,119,317,116,58,35,,50,18,55,22,88,3,102,62,83,145,3,95,10,497,52,124,21,13,8,462,222,9,13,11,34,114,173,8,27,25,12,17,228,12,18,44,3,164,6,39,8,11,21,38,45,60,165,8,22,2,1,13,24,9,6,5,8,22,9,12,3,168,19,97,11,14,5,6,5,23,17,29,1,26,17,12,61,13,8,6,3,36,4,7,1,2,10,3,5,9,7,7,5,5,7,2,1,2,1,1,1,1,,
2020-06-01,760,21,2555,25,11,41,42,15,38,608,1044,119,324,118,58,35,,52,20,55,22,93,3,103,65,99,150,3,97,10,497,54,126,21,13,8,466,223,9,13,13,34,115,182,8,27,25,13,17,232,14,18,44,3,175,6,40,8,11,21,38,47,60,166,8,22,3,1,13,24,9,6,5,8,22,10,12,4,168,19,97,12,14,5,6,5,23,20,30,1,28,17,12,61,13,8,6,3,37,4,7,1,2,10,3,5,9,7,7,5,5,7,3,4,2,1,1,1,1,,
2020-06-02,781,23,2566,25,11,42,42,15,55,614,1063,119,325,119,61,35,,52,22,55,22,92,3,106,68,100,153,3,97,10,497,54,126,21,13,8,469,223,9,14,15,34,119,185,8,29,26,13,17,232,14,18,45,3,178,6,40,8,12,24,38,49,60,167,8,22,4,1,13,24,9,7,5,8,22,11,12,4,170,21,97,12,14,5,6,5,23,21,30,1,28,17,12,61,13,10,6,3,43,4,7,1,2,10,3,5,9,7,7,5,5,7,3,4,2,1,1,1,1,1,
2020-06-03,803,23,2612,25,11,44,43,15,63,638,1079,119,330,120,61,35,,53,21,54,24,96,3,109,67,103,156,3,99,10,497,55,127,21,13,8,492,225,10,14,15,34,119,191,8,29,26,13,17,235,14,18,46,3,184,7,40,8,13,25,37,49,60,166,8,22,4,1,13,25,9,7,5,8,22,11,12,4,171,22,97,14,14,5,6,5,23,21,30,1,28,18,12,61,13,10,6,2,46,4,7,3,2,10,5,5,9,7,8,5,5,7,3,4,2,1,1,1,1,1,
2020-06-04,812,27,2760,25,12,44,53,15,68,653,1093,119,337,121,60,37,,53,21,57,24,100,3,111,67,105,164,3,107,10,497,55,132,21,13,8,505,225,10,14,15,34,119,194,9,31,28,13,17,235,15,18,47,3,184,7,41,8,13,27,37,50,60,166,8,22,4,1,13,26,9,7,5,9,23,11,12,5,174,22,97,14,14,5,6,5,23,25,32,2,29,23,12,61,13,10,6,2,46,4,7,3,2,11,5,5,9,7,8,5,5,7,3,4,2,2,1,1,1,1,
2020-06-05,847,28,2843,25,12,44,58,15,73,663,1105,123,339,121,64,37,,54,22,57,24,102,3,119,69,109,170,3,111,10,497,55,134,21,13,9,508,225,12,15,15,35,119,194,9,32,28,14,19,236,15,18,47,4,214,8,42,8,13,31,37,53,60,166,9,23,5,1,13,30,9,7,5,11,23,14,12,5,176,22,98,14,14,5,6,5,24,25,34,2,31,23,12,61,13,10,6,2,46,4,7,3,2,11,8,5,9,8,10,5,5,7,3,4,2,2,1,1,1,1,
2020-06-06,872,28,3043,30,14,45,58,17,77,671,1112,127,340,121,65,37,,55,25,59,25,102,3,120,73,109,170,3,112,10,497,54,135,21,13,9,516,225,12,15,15,35,121,196,11,33,28,14,19,237,15,18,47,4,216,8,42,8,13,34,37,53,60,166,9,24,5,1,13,30,9,7,5,11,23,14,12,5,180,22,99,17,14,5,6,5,24,25,36,2,31,23,13,61,13,10,6,2,46,4,8,3,2,11,8,5,9,8,11,5,5,7,3,4,2,2,1,1,1,1,
2020-06-07,872,28,3043,30,19,45,58,17,77,671,1112,142,340,121,65,37,,55,25,59,25,111,3,120,73,109,170,3,112,10,498,54,135,21,13,9,516,225,12,15,15,35,121,196,11,33,28,14,19,237,15,18,49,4,218,8,42,8,13,34,37,53,60,166,9,24,5,1,13,30,9,7,5,11,23,14,12,5,180,22,99,17,14,5,6,5,24,25,36,2,31,23,13,61,13,10,6,2,46,4,8,3,2,11,8,5,9,8,11,5,5,7,3,4,2,2,1,1,1,1,
2020-06-08,928,56,3104,32,19,45,59,17,81,680,1142,147,342,121,65,54,,55,25,73,25,116,3,120,77,111,175,3,112,10,499,54,135,22,13,9,522,225,13,15,15,35,123,198,12,45,28,14,19,238,15,18,51,4,226,8,42,8,15,37,37,55,65,166,9,24,5,1,13,35,9,7,5,11,23,14,12,5,180,22,100,17,14,5,6,4,24,27,36,2,31,23,13,61,13,10,6,2,46,4,8,3,2,11,8,5,9,10,12,5,5,7,3,8,2,2,1,1,1,1,
2020-06-09,947,56,3186,32,21,45,60,17,84,680,1174,148,341,121,65,54,,56,25,73,25,118,3,122,77,112,178,3,113,10,499,56,135,22,13,9,527,225,13,15,15,35,124,197,12,45,28,14,19,239,16,18,51,4,233,8,43,8,15,37,37,56,67,167,9,24,5,2,13,36,9,7,5,14,23,14,12,5,180,22,101,17,14,5,6,4,24,27,38,2,31,23,13,61,14,10,6,2,49,4,11,4,2,12,8,6,9,10,12,5,5,7,4,8,2,3,1,1,1,1,
2020-06-10,978,56,3226,32,22,47,62,17,88,681,1179,150,344,122,68,54,,56,25,73,25,120,3,125,80,113,179,3,113,10,499,58,135,22,13,10,532,226,15,15,15,35,127,198,13,45,28,14,19,240,16,18,51,4,233,8,43,8,16,38,37,59,67,167,9,24,5,3,13,36,9,7,5,14,23,14,12,5,181,22,101,17,14,5,6,4,24,27,38,2,32,23,13,61,15,10,6,2,51,4,11,4,2,13,10,6,9,12,12,5,5,7,4,8,2,3,1,1,1,1,
2020-06-11,1008,56,3229,32,22,47,63,17,88,683,1192,150,347,126,68,54,,57,25,73,25,123,3,127,79,113,185,3,113,10,502,57,135,22,13,10,535,226,15,16,15,35,127,201,15,46,28,14,20,240,16,18,51,4,233,8,43,8,16,40,40,59,68,167,10,24,5,3,13,37,9,7,5,14,23,14,12,5,183,22,101,17,14,5,6,4,24,27,38,2,36,23,13,62,15,10,5,2,51,4,11,4,2,14,10,9,9,12,12,5,5,7,4,8,2,3,1,1,1,2,
2020-06-12,1041,56,3278,33,22,47,68,17,92,681,1220,152,350,131,71,54,,57,25,73,25,130,3,133,79,112,191,3,116,10,502,57,136,25,13,10,538,226,16,16,16,35,128,201,15,45,28,14,21,243,16,18,52,4,256,10,43,9,16,41,41,61,70,168,11,25,5,4,14,37,10,7,5,15,23,14,12,5,185,23,101,17,14,5,6,4,25,27,38,2,36,23,14,63,17,10,5,4,51,4,13,6,2,16,10,9,9,12,12,5,5,7,4,8,4,3,1,1,1,3,
2020-06-13,1075,56,3323,37,24,48,73,18,96,690,1248,155,353,131,71,54,,57,25,76,26,133,3,133,82,113,195,3,117,10,502,59,137,29,13,10,539,229,16,16,17,36,131,207,15,48,30,14,23,243,17,19,53,4,268,14,44,13,16,42,41,65,70,173,11,26,5,4,14,38,10,7,5,15,24,14,12,5,185,23,101,18,16,6,6,4,25,29,47,3,36,23,14,63,17,11,5,4,57,4,13,6,2,17,10,10,9,13,12,5,5,7,4,11,4,4,1,1,1,5,
2020-06-14,1075,56,3323,39,24,48,73,18,96,690,1248,155,353,138,72,54,,57,25,88,26,133,3,133,82,113,195,3,117,11,502,59,137,29,13,10,539,229,16,16,17,36,131,207,15,54,30,14,23,243,17,19,53,4,274,14,44,13,17,42,41,65,70,173,12,26,5,4,14,38,10,7,5,15,24,14,12,5,185,28,101,18,16,6,6,8,25,29,47,3,36,23,15,63,17,11,5,4,57,4,13,6,2,17,10,10,9,13,12,5,5,7,4,11,4,4,1,1,1,5,
2020-06-15,1129,56,3363,39,25,48,77,18,98,690,1275,159,360,138,72,54,,60,25,88,26,136,4,133,83,113,206,3,123,11,503,59,137,30,13,10,541,230,16,16,19,37,135,207,15,54,30,14,23,244,17,19,53,4,277,14,44,14,20,42,44,66,73,175,12,26,5,5,14,38,10,7,5,15,24,14,12,5,185,28,102,18,16,6,6,8,25,31,48,3,36,23,15,63,17,11,5,6,57,4,15,6,2,17,10,11,9,17,12,5,5,8,4,13,4,4,1,2,1,5,
2020-06-16,1146,56,3363,39,25,48,77,18,98,690,1279,160,360,142,72,54,,60,25,88,26,138,4,133,85,113,205,3,123,11,504,59,137,30,13,10,541,230,16,16,19,37,135,207,15,54,30,14,23,244,17,19,53,4,277,14,44,14,21,42,44,66,75,175,12,26,5,5,14,38,10,7,5,15,24,14,12,5,188,28,102,18,16,6,6,8,25,31,48,3,36,23,15,63,17,11,5,6,57,4,15,6,2,17,10,11,9,17,12,5,5,8,4,13,4,4,1,2,1,5,
2020-06-17,1158,56,3451,40,26,49,78,18,105,699,1299,166,368,147,73,54,,61,27,88,26,138,4,135,88,114,205,3,126,11,505,60,137,47,13,10,552,232,17,16,20,37,136,212,15,55,30,14,23,246,25,22,53,4,281,15,44,15,26,45,47,67,77,176,13,27,5,5,15,38,10,7,5,15,24,14,12,5,188,28,104,21,16,7,7,8,25,31,53,3,37,23,15,74,18,12,5,9,57,4,15,7,2,17,10,13,9,23,12,5,5,8,5,15,4,4,1,2,1,5,
2020-06-18,1194,56,3481,41,26,50,79,18,108,706,1305,166,370,150,74,57,,63,27,88,28,145,4,135,91,114,205,3,129,11,506,61,137,48,13,10,557,231,18,17,22,37,138,213,15,58,31,15,23,246,26,22,53,4,314,17,45,16,26,45,48,68,77,180,13,28,5,5,16,38,10,7,5,15,24,14,12,5,190,28,106,20,16,7,7,8,25,32,54,3,39,23,15,81,19,12,5,10,57,4,15,7,2,18,11,14,8,27,14,5,5,8,5,15,4,4,2,2,1,5,
2020-06-19,1214,56,3528,41,26,50,80,18,108,709,1323,167,376,151,74,60,,63,27,91,28,145,4,135,95,116,205,3,134,11,507,62,137,52,13,10,567,232,18,17,24,37,141,219,15,60,31,15,23,247,26,25,53,5,347,17,47,16,29,45,50,70,77,183,14,28,5,5,16,38,10,7,5,17,24,14,12,5,190,38,107,21,16,8,7,8,25,32,59,4,42,23,15,85,19,13,5,12,57,4,17,7,2,20,11,16,8,30,15,5,5,8,5,16,5,4,2,2,1,5,
2020-06-20,1235,58,3561,44,27,53,84,18,109,717,1339,167,376,151,75,66,,65,27,94,29,152,4,134,96,116,205,3,134,11,509,62,137,54,13,12,567,233,24,17,25,38,144,225,15,60,31,16,24,246,29,26,53,5,358,18,48,16,29,46,50,70,77,183,14,28,5,5,16,38,10,7,5,17,24,14,12,5,190,39,107,21,16,9,7,8,25,32,62,6,42,23,15,90,19,13,5,12,57,4,17,7,2,22,13,16,8,31,15,5,5,8,5,16,5,4,1,2,1,5,
2020-06-21,1235,59,3582,45,27,53,87,18,109,723,1357,174,382,152,77,67,,66,27,94,29,152,4,134,98,117,205,4,143,11,509,62,137,55,14,12,570,234,24,17,25,39,144,227,15,61,32,16,24,246,29,26,53,5,361,18,49,17,31,46,50,71,77,183,14,29,5,5,17,39,10,7,6,18,24,14,13,5,191,41,107,21,19,9,7,8,25,34,63,6,42,23,15,90,20,13,5,12,57,4,17,7,2,22,13,16,8,32,15,5,5,8,5,17,5,5,1,2,1,5,
2020-06-22,1284,59,3609,45,27,54,89,18,112,726,1361,178,386,152,77,67,,68,27,95,29,154,4,134,99,117,210,4,148,11,509,62,137,55,14,12,575,234,24,17,25,39,145,232,15,61,34,16,24,246,29,26,53,5,365,21,49,17,33,48,52,71,78,185,14,29,5,5,17,39,10,7,6,20,24,14,13,5,191,43,108,21,20,10,8,8,25,34,63,6,43,23,15,90,21,13,5,12,57,4,17,7,2,23,13,16,8,32,16,5,5,8,5,17,5,5,1,2,1,5,
2020-06-23,1307,65,3651,44,27,60,91,17,120,735,1376,179,404,155,82,75,,71,26,100,31,156,4,134,100,119,213,5,149,12,510,65,137,57,15,13,579,241,25,17,25,39,148,234,15,63,36,17,24,246,30,26,54,5,370,21,49,16,34,48,53,74,79,185,15,30,5,5,18,39,11,8,6,21,25,15,13,5,191,49,108,21,21,10,8,13,25,34,68,4,44,24,15,92,23,15,6,13,58,4,18,7,2,23,13,16,8,37,16,5,5,8,6,18,5,6,2,2,1,5,
2020-06-24,1334,65,3682,46,27,65,94,17,120,744,1398,183,407,155,83,76,,71,26,103,33,158,6,136,100,126,214,5,150,12,511,69,137,63,16,13,587,242,28,17,25,39,148,236,15,63,37,17,24,247,30,26,55,5,378,21,54,16,37,48,53,76,79,188,15,31,5,5,18,39,11,8,6,21,25,15,13,5,192,53,109,21,22,10,8,13,25,34,68,4,46,24,15,94,24,16,6,14,58,5,18,8,2,23,13,16,8,39,16,5,5,9,6,18,5,6,2,3,1,5,
2020-06-25,1374,66,3714,46,29,67,96,17,123,759,1426,225,414,155,84,79,,75,26,106,33,162,7,138,102,126,215,5,151,12,511,69,137,71,17,13,588,243,28,17,26,40,148,238,15,64,38,17,24,247,30,26,57,5,391,21,55,18,38,49,53,82,79,190,16,32,5,5,18,40,11,8,6,24,25,15,13,5,193,55,110,22,28,10,8,14,25,34,68,4,46,24,15,96,24,16,6,14,58,7,18,8,2,23,14,17,8,44,18,5,5,9,6,18,5,6,2,3,1,4,
2020-06-26,1398,66,3765,46,29,67,96,19,123,777,1455,226,421,155,88,83,,78,26,107,33,164,8,140,103,129,215,5,153,12,511,72,137,79,17,13,590,248,28,23,28,40,149,242,15,64,38,17,24,247,35,26,57,5,400,21,59,18,38,49,53,84,79,192,17,33,6,6,18,43,12,8,6,24,25,15,13,5,194,56,111,22,28,10,8,14,25,34,71,4,46,25,15,100,24,20,6,15,59,7,19,8,2,23,15,17,9,46,19,5,5,9,6,18,5,7,2,3,1,4,
2020-06-27,1439,68,3820,47,30,69,98,19,128,785,1481,226,428,161,89,82,,79,26,112,36,165,8,145,105,129,215,5,155,12,512,73,137,84,17,13,594,251,29,23,29,40,148,246,15,65,38,17,24,252,37,27,57,5,405,22,60,21,39,49,54,84,79,196,18,33,6,6,19,44,13,8,6,25,25,15,13,5,197,57,115,22,28,10,8,15,25,34,71,4,46,25,15,104,25,63,6,17,61,7,22,8,2,24,15,19,9,53,21,5,5,9,6,21,5,8,2,3,1,4,
2020-06-28,1439,68,3829,58,30,69,98,20,128,787,1491,226,428,161,93,82,,79,26,125,36,165,8,145,105,129,215,5,159,13,514,75,137,85,17,13,594,251,29,23,29,40,149,248,15,71,38,17,24,253,37,27,57,5,456,22,61,21,40,49,55,84,79,199,18,33,7,6,19,44,13,8,6,25,25,16,13,5,197,59,116,22,28,10,8,15,25,35,76,4,46,25,15,104,25,63,7,18,61,7,22,8,2,24,15,20,10,53,21,5,5,9,6,22,5,8,2,3,1,4,
2020-06-29,1491,68,3852,58,30,70,98,20,128,787,1514,237,431,163,94,83,,79,26,125,36,165,8,146,106,129,221,5,161,13,520,76,137,90,18,14,594,251,30,23,29,40,149,249,16,71,38,17,24,255,37,27,57,5,456,23,61,22,41,51,56,85,81,200,18,33,7,6,19,45,13,8,6,25,25,16,13,5,204,59,118,22,28,10,8,15,25,35,76,4,47,25,15,104,27,64,7,18,61,7,22,8,2,24,18,21,10,53,23,5,5,9,6,23,5,8,2,3,1,4,
2020-06-30,1514,70,3901,58,31,74,98,20,135,794,1533,248,433,165,94,87,,81,26,125,36,168,8,161,106,130,224,5,166,13,523,77,138,102,18,15,597,255,31,23,29,41,150,259,17,71,38,17,24,256,37,29,57,5,456,23,62,23,43,51,58,86,81,206,18,33,8,6,21,46,15,9,6,28,26,17,15,5,204,59,120,23,28,10,8,14,25,35,84,4,47,25,15,108,28,66,7,20,61,7,22,8,2,26,19,23,10,59,23,5,5,9,6,23,5,8,2,3,1,4,
2020-07-01,1553,73,3942,58,32,76,98,20,138,800,1547,249,435,165,94,91,,82,26,125,37,170,8,165,108,130,223,7,168,13,523,78,138,111,18,15,602,256,31,23,29,41,151,266,17,71,39,17,24,257,37,29,59,5,456,24,62,22,44,52,59,86,83,207,18,35,8,7,21,47,15,9,6,28,26,17,15,5,205,59,126,25,28,9,8,14,25,36,86,5,48,25,15,109,28,69,7,21,65,8,22,8,2,26,19,24,10,62,23,5,5,10,6,24,5,8,3,3,1,4,1
2020-07-02,1599,73,3991,58,33,77,98,20,140,807,1563,257,440,166,99,97,,85,27,126,37,171,8,171,111,131,222,8,170,13,527,78,139,114,18,15,606,263,31,24,29,41,152,270,17,71,40,17,24,256,37,31,60,6,456,24,64,22,45,52,60,90,84,214,19,36,8,7,21,50,15,9,6,29,28,17,15,5,207,62,127,26,30,9,9,14,26,38,91,5,49,25,15,113,29,71,7,21,65,10,22,8,3,26,19,25,10,64,23,5,5,11,6,26,6,9,4,3,1,4,1
2020-07-03,1637,74,4034,58,34,81,99,20,144,814,1583,262,452,170,100,99,,86,29,130,38,174,9,177,111,139,227,8,172,13,527,80,140,124,18,16,615,266,33,24,29,42,154,270,17,73,40,17,25,257,42,32,60,8,456,25,67,22,46,52,60,92,84,219,19,36,9,8,21,52,18,9,6,30,28,19,15,5,208,62,127,29,33,10,10,14,27,40,99,5,49,26,15,114,32,73,7,21,65,11,23,9,3,26,21,26,10,68,24,5,5,11,7,27,6,13,4,3,1,4,1
2020-07-04,1661,74,4034,58,34,81,99,20,144,814,1583,265,452,170,100,99,,86,29,130,38,174,9,177,115,139,227,8,172,13,538,80,140,124,18,16,615,266,33,24,29,42,154,274,17,73,40,17,25,257,42,32,60,8,456,25,67,22,46,52,60,92,84,219,19,36,9,8,21,57,18,9,6,30,28,19,15,5,208,62,130,29,33,10,10,14,27,40,99,5,49,26,15,114,32,73,7,21,65,11,23,9,3,26,21,26,10,68,24,5,5,11,7,27,6,13,4,3,1,4,1
2020-07-05,1661,74,4034,58,34,81,99,20,144,814,1583,265,452,170,100,99,,86,29,130,38,174,9,177,116,139,227,8,172,13,538,81,140,124,18,16,615,266,33,24,29,42,154,274,17,73,40,17,25,257,42,32,60,8,456,25,67,22,46,52,60,92,84,219,19,36,9,8,21,57,18,9,6,30,28,19,15,5,208,62,131,29,33,10,10,14,27,40,99,5,49,26,15,114,32,73,7,21,65,11,23,9,3,26,21,26,10,68,24,5,5,11,7,27,6,13,4,3,1,4,1
