,Forrest,Copiah,Leflore,Pearl River,Hinds,Hancock,Monroe,Harrison,Jackson,Bolivar,Coahoma,DeSoto,Madison,Perry,Holmes,Jones,Scott,Walthall,Wilkinson,Winston,Yazoo,Adams,Franklin,Humphreys,Lafayette,Lawrence,Lee,Marshall,Pike,Rankin,Smith,Tippah,Attala,Clay,George,Grenada,Itawamba,Leake,Lincoln,Lowndes,Panola,Simpson,Tunica,Union,Washington,Chickasaw,Montgomery,Oktibbeha,Pontotoc,Sunflower,Tate,Webster,Lamar,Marion,Tallahatchie,Choctaw,Newton,Noxubee,Amite,Calhoun,Prentiss,Benton,Lauderdale,Quitman,Yalobusha,Jefferson,Kemper,Neshoba,Sharkey,Unknown,Clarke,Covington,Carroll,Claiborne,Warren,Alcorn,Tishomingo,Jasper,Wayne,Stone,Greene,Jefferson Davis
2020-03-30,21,8,18,27,74,15,5,44,39,16,20,77,38,3,14,6,9,5,13,6,7,8,3,2,14,5,23,13,16,37,1,23,10,4,3,3,3,5,11,10,6,2,12,3,18,12,7,15,5,11,11,5,4,4,2,6,2,3,4,3,4,4,23,4,5,1,1,4,1,,1,2,1,1,1,1,,,,,,
2020-03-31,21,9,19,30,90,16,6,45,40,22,21,84,42,3,15,6,10,5,14,7,9,10,3,3,15,5,24,14,17,40,1,26,10,4,3,3,3,5,11,11,7,2,12,3,20,13,7,17,5,11,11,5,5,5,2,6,2,3,4,3,4,4,35,3,6,1,1,4,1,4,4,2,1,1,1,3,1,,,,,
2020-04-01,27,9,20,32,109,20,7,49,52,25,22,94,53,5,16,6,12,7,16,9,9,11,3,4,15,5,25,15,20,48,1,28,11,5,4,3,4,5,13,11,8,3,13,3,22,15,8,18,6,12,11,7,6,6,2,7,2,3,4,3,4,4,39,4,6,1,1,5,2,4,5,3,2,1,2,3,1,1,,,,
2020-04-02,26,10,20,36,118,22,11,53,57,27,23,103,55,6,16,6,13,10,17,9,11,14,3,4,16,5,24,18,21,50,6,29,12,7,4,4,3,6,14,10,8,4,14,4,29,14,8,20,10,12,12,8,8,5,2,7,4,4,4,4,4,5,46,4,7,1,4,4,2,,4,3,3,1,2,3,1,2,1,,,
2020-04-03,30,11,21,41,139,28,12,69,75,32,26,111,65,11,16,8,17,11,22,11,13,14,3,4,21,5,26,19,21,64,6,30,14,7,4,4,3,7,14,12,8,5,14,5,31,15,10,23,11,13,13,8,9,5,2,7,4,5,5,4,9,5,50,4,7,1,4,5,2,,4,4,5,1,2,6,1,3,1,,,
2020-04-04,34,12,22,43,140,30,12,70,79,34,27,118,67,13,17,9,17,12,25,11,19,16,4,4,21,4,28,20,23,66,6,31,14,7,4,4,3,8,14,13,10,5,15,6,31,15,10,24,12,18,14,11,13,6,2,8,6,5,6,4,9,5,61,5,9,2,4,6,2,,5,4,5,1,3,6,1,3,2,,,
2020-04-05,42,16,22,49,154,31,13,73,86,45,28,132,72,14,21,11,23,12,30,12,31,19,5,4,22,4,30,20,26,72,10,35,15,7,5,7,3,10,16,15,17,5,17,6,36,15,11,27,12,19,15,11,13,7,3,8,7,5,6,4,9,5,65,6,9,3,5,9,3,,5,6,5,1,5,6,1,3,5,1,,
2020-04-06,46,16,23,52,158,30,16,79,98,51,29,136,74,14,23,13,23,12,30,15,32,19,5,4,22,5,30,23,28,74,11,36,15,9,5,7,4,11,18,15,17,6,18,6,38,15,11,27,12,19,16,12,15,8,3,8,7,5,6,9,10,5,70,7,11,3,6,11,3,,8,6,6,1,5,6,1,3,5,1,1,
2020-04-07,59,17,26,56,169,31,18,89,108,54,30,140,82,14,25,14,32,14,32,17,32,24,5,5,25,5,38,24,31,78,11,36,15,10,5,8,5,15,21,16,19,7,17,6,40,15,12,29,12,25,18,12,18,13,3,9,7,5,7,10,10,5,78,9,11,3,10,12,3,,10,7,7,3,7,6,1,4,5,3,1,
2020-04-08,59,19,28,60,178,32,19,88,111,54,32,144,83,14,27,15,34,15,33,16,38,25,5,6,26,6,40,24,33,79,15,37,15,11,5,8,5,15,26,17,19,6,17,6,41,17,12,30,13,27,18,13,19,14,3,9,7,5,7,13,10,5,84,12,11,4,11,13,3,,10,7,7,3,9,6,1,4,5,4,1,
