date,California,Colorado,Connecticut,Delaware,Hawaii,Illinois,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Rhode Island,Vermont,Virginia,Washington,Alabama,Alaska,Arizona,Arkansas,Florida,Georgia,Idaho,Indiana,Iowa,Kansas,Kentucky,Louisiana,Michigan,Mississippi,Missouri,Montana,Nebraska,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,West Virginia,Wisconsin,Wyoming
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0.07804873175493822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0.025291981382167834,0,0,0,0,0.07804873175493822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0.05058396276433567,0,0,0,0,0.07804873175493822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0.05058396276433567,0,0,0,0,0.07804873175493822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0.05058396276433567,0,0,0,0,0.07804873175493822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0.05058396276433567,0,0,0,0,0.07804873175493822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0.05058396276433567,0,0,0,0,0.15609746350987644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0.0758759441465035,0,0,0,0,0.15609746350987644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0.0758759441465035,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-06,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-07,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-08,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-09,0.151751888293007,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-10,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-11,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1696721831618004,0
2020-02-12,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03431060810234717,0,0,0.1696721831618004,0
2020-02-13,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-14,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-15,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-16,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-17,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.098128782811557,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-18,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.098128782811557,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-19,0.17704386967517483,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.098128782811557,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-20,0.20233585105734267,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.607941661092712,0,0,0,0,0,0,0,0,0.06862121620469434,0,0,0.1696721831618004,0
2020-02-21,0.22762783243951049,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.607941661092712,0,0,0,0,0,0,0,0,0.1372424324093887,0,0,0.1696721831618004,0
2020-02-22,0.22762783243951049,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.607941661092712,0,0,0,0,0,0,0,0,0.1372424324093887,0,0,0.1696721831618004,0
2020-02-23,0.22762783243951049,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.12978112024726937,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,5.607941661092712,0,0,0,0,0,0,0,0,0.1372424324093887,0,0,0.1696721831618004,0
2020-02-24,0.27821179520384615,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.6489056012363469,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,6.117754539373868,0,0,0,0,0,0,0,0,0.34310608102347173,0,0,0.1696721831618004,0
2020-02-25,0.27821179520384615,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.6489056012363469,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,6.627567417655024,0,0,0,0,0,0,0,0,0.34310608102347173,0.3056593438838788,0,0.1696721831618004,0
2020-02-26,0.6575915159363637,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.6489056012363469,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,6.627567417655024,0,0,0,0,0,0,0,0,0.34310608102347173,0.3056593438838788,0,0.1696721831618004,0
2020-02-27,0.6575915159363637,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0,0,0,0,0.6489056012363469,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,6.627567417655024,0,0,0,0,0,0,0,0,0.34310608102347173,0.3056593438838788,0,0.1696721831618004,0
2020-02-28,0.6828834973185315,0,0,0,0,0.15609746350987644,0,0,0.14224919013979823,0,0,0,0,0,0,0.23600178983757414,0,0,0,0.9084678417308856,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,6.627567417655024,0,0,0,0,0,0,0,0,0.3774166891258189,0.3056593438838788,0,0.1696721831618004,0
2020-02-29,0.7081754787006993,0,0,0,0,0.23414619526481467,0,0,0.14224919013979823,0,0,0,0,0,0,0.23600178983757414,0,0,0,1.2978112024726938,0,0,0.13983076562098423,0,0,0,0,0,0,0,0,0,0,0,0,0,6.627567417655024,0,0,0,0,0,0,0,0,0.3774166891258189,0.3056593438838788,0,0.1696721831618004,0
