,Charleston,Kershaw,Spartanburg,Lancaster,Beaufort,Lexington,Anderson,Greenville,Horry,Fairfield,Calhoun,Richland,York,Lee,Abbeville,Dorchester,Saluda,Aiken,Berkeley,Clarendon,Darlington,Florence,Orangeburg,Pickens,Sumter,Dillon,Edgefield,Greenwood,Jasper,Marlboro,Newberry,Colleton,Chester,Georgetown,Oconee,Chesterfield,Marion,Union,Williamsburg,Laurens,Barnwell,Bamberg,Allendale,Cherokee,Hampton,McCormick,Unknown
2021-03-14,39244,6857,37186,9834,15891,30664,21071,66214,35745,2166,1255,42555,27559,1810,2330,15686,1659,16184,15510,3139,8010,16943,9063,16912,9830,4096,2879,7327,2188,3068,4503,3312,3829,6363,8669,4405,3302,2749,3882,6441,2438,1490,883,5560,1761,959,
2021-03-15,39317,6867,37222,9849,15905,30717,21082,66331,35785,2171,1257,42625,27637,1811,2333,15706,1665,16200,15534,3141,8013,16951,9068,16931,9845,4104,2883,7337,2192,3070,4509,3323,3836,6371,8680,4414,3309,2759,3883,6451,2439,1490,883,5565,1762,965,
2021-03-16,39379,6885,37260,9867,15921,30760,21091,66439,35833,2172,1258,42685,27676,1811,2338,15732,1666,16217,15567,3143,8026,16962,9077,16948,9856,4109,2888,7343,2198,3077,4511,3325,3838,6377,8683,4421,3309,2759,3886,6454,2444,1492,883,5570,1768,965,
2021-03-17,39463,6904,37358,9883,15944,30813,21135,66633,35939,2176,1259,42762,27745,1814,2347,15759,1671,16234,15616,3163,8034,16988,9100,16985,9885,4115,2892,7368,2199,3084,4532,3327,3859,6383,8704,4426,3317,2761,3894,6475,2447,1493,883,5593,1770,968,
2021-03-18,39601,6919,37446,9896,15977,30887,21188,66812,36034,2180,1261,42890,27838,1813,2349,15784,1673,16277,15661,3188,8050,17026,9127,17025,9904,4131,2908,7398,2201,3090,4563,3330,3869,6388,8715,4446,3326,2767,3899,6492,2448,1493,885,5600,1773,970,
2021-03-19,39695,6930,37586,9918,15996,30948,21252,67006,36100,2186,1262,43011,27903,1816,2352,15843,1677,16301,15703,3204,8068,17041,9145,17074,9915,4141,2911,7422,2203,3099,4567,3337,3891,6393,8726,4462,3329,2771,3901,6512,2450,1494,886,5615,1785,974,
2021-03-20,39837,6941,37704,9933,16028,31013,21302,67271,36198,2221,1267,43083,27995,1818,2359,15919,1681,16330,15794,3215,8075,17052,9176,17123,9961,4149,2924,7450,2206,3103,4589,3351,3902,6404,8740,4479,3339,2781,3908,6528,2454,1497,887,5634,1793,976,
2021-03-21,39929,6948,37796,9951,16060,31082,21340,67481,36286,2230,1268,43163,28061,1820,2368,15971,1683,16340,15825,3217,8087,17072,9199,17147,9985,4155,2925,7482,2209,3106,4604,3356,3906,6413,8747,4500,3357,2784,3908,6554,2459,1498,887,5644,1800,979,
2021-03-22,39983,6966,37840,9958,16074,31123,21365,67577,36333,2232,1269,43213,28106,1821,2374,15989,1687,16348,15844,3217,8091,17079,9213,17169,9991,4157,2925,7491,2209,3108,4608,3358,3909,6415,8753,4508,3361,2786,3910,6564,2460,1498,887,5652,1801,981,
2021-03-23,40025,6972,37898,9968,16092,31159,21389,67692,36375,2238,1269,43263,28163,1822,2376,16011,1692,16362,15867,3219,8100,17093,9223,17195,10005,4158,2930,7508,2210,3112,4612,3363,3913,6417,8768,4511,3368,2788,3914,6572,2464,1498,888,5664,1805,981,
2021-03-24,40088,6980,37992,9983,16119,31201,21426,67919,36438,2243,1269,43317,28212,1823,2380,16048,1695,16388,15936,3220,8104,17095,9229,17243,10024,4156,2935,7521,2211,3107,4617,3369,3924,6419,8795,4521,3368,2796,3915,6585,2464,1502,888,5672,1806,982,
2021-03-25,40172,6989,38092,9998,16139,31282,21459,68177,36521,2249,1269,43394,28282,1824,2403,16100,1696,16410,15985,3247,8107,17123,9239,17291,10028,4179,2939,7553,2217,3109,4632,3375,3931,6435,8820,4533,3378,2817,3917,6605,2467,1502,888,5681,1816,984,
2021-03-26,40259,7005,38216,10015,16163,31345,21530,68520,36616,2252,1271,43492,28331,1826,2406,16156,1698,16418,16021,3284,8115,17138,9248,17346,10043,4192,2946,7571,2217,3112,4639,3376,3934,6439,8846,4548,3389,2828,3922,6634,2467,1503,888,5703,1818,984,
2021-03-27,40370,7013,38394,10031,16194,31422,21577,68760,36707,2260,1273,43598,28408,1828,2417,16224,1705,16439,16088,3289,8122,17151,9264,17381,10050,4207,2952,7588,2222,3118,4654,3380,3941,6457,8859,4553,3405,2851,3923,6656,2469,1505,888,5712,1820,989,
2021-03-28,40436,7029,38533,10043,16214,31479,21630,68968,36773,2267,1273,43687,28450,1825,2418,16250,1706,16456,16124,3292,8125,17155,9275,17435,10055,4216,2956,7605,2227,3121,4655,3385,3950,6461,8892,4554,3411,2860,3924,6675,2473,1505,889,5727,1825,990,
2021-03-29,40504,7038,38647,10060,16226,31515,21662,69112,36826,2268,1273,43745,28509,1826,2426,16279,1706,16468,16156,3294,8133,17167,9291,17464,10059,4223,2961,7619,2229,3121,4658,3388,3958,6471,8908,4557,3417,2868,3925,6683,2476,1507,892,5734,1828,991,
2021-03-30,40535,7046,38697,10075,16244,31555,21680,69241,36866,2270,1275,43796,28550,1827,2426,16304,1706,16477,16176,3295,8133,17174,9299,17477,10066,4228,2962,7623,2231,3126,4662,3388,3959,6473,8919,4562,3423,2868,3926,6692,2476,1507,892,5742,1829,991,
2021-03-31,40599,7058,38783,10100,16253,31595,21724,69416,36928,2272,1275,43883,28620,1828,2427,16333,1706,16495,16220,3302,8134,17185,9315,17503,10082,4232,2966,7635,2231,3126,4668,3392,3963,6477,8933,4569,3423,2879,3925,6725,2476,1507,892,5748,1834,993,
2021-04-01,40707,7067,38916,10125,16262,31632,21787,69620,36989,2275,1275,43954,28694,1830,2429,16367,1708,16509,16268,3291,8136,17162,9326,17556,10076,4242,2966,7649,2234,3128,4673,3400,3968,6483,8953,4579,3423,2885,3925,6742,2478,1512,892,5754,1840,994,
2021-04-02,40800,7079,39101,10137,16289,31701,21843,69858,37041,2276,1275,44031,28765,1835,2435,16407,1710,16534,16298,3296,8150,17191,9345,17615,10096,4252,2972,7665,2236,3138,4683,3403,3974,6488,8984,4583,3428,2893,3928,6792,2480,1515,893,5771,1848,997,
2021-04-03,40891,7087,39244,10161,16306,31763,21901,70138,37086,2282,1276,44122,28832,1835,2447,16442,1713,16554,16340,3311,8146,17199,9353,17663,10111,4258,2975,7689,2238,3142,4698,3405,3975,6492,8999,4594,3435,2901,3928,6818,2483,1515,896,5784,1849,997,
2021-04-04,40891,7087,39244,10161,16306,31763,21901,70138,37086,2282,1276,44122,28832,1835,2447,16442,1713,16554,16340,3311,8146,17199,9353,17663,10111,4258,2975,7689,2238,3142,4698,3405,3975,6492,8999,4594,3435,2901,3928,6818,2483,1515,896,5784,1849,997,
2021-04-05,40971,7096,39399,10183,16330,31815,21947,70326,37160,2285,1276,44200,28924,1837,2459,16492,1716,16576,16377,3304,8154,17209,9372,17708,10119,4257,2983,7714,2243,3141,4709,3412,3982,6494,9019,4594,3440,2908,3935,6857,2483,1517,899,5794,1856,997,
2021-04-06,41076,7117,39503,10199,16360,31884,21977,70626,37246,2291,1277,44271,29018,1839,2467,16554,1717,16602,16418,3308,8162,17228,9378,17762,10153,4262,2987,7731,2249,3142,4710,3417,3989,6499,9046,4598,3447,2911,3941,6875,2483,1518,901,5806,1858,1000,
2021-04-07,41134,7127,39539,10209,16369,31914,22009,70887,37286,2295,1277,44323,29065,1840,2481,16576,1722,16616,16450,3315,8162,17234,9384,17786,10159,4266,2991,7749,2250,3143,4712,3417,3991,6504,9049,4600,3448,2928,3942,6896,2484,1521,901,5820,1859,1001,
2021-04-08,41231,7136,39590,10226,16385,31985,22030,71012,37344,2298,1277,44409,29127,1841,2485,16631,1724,16635,16495,3319,8164,17250,9397,17836,10166,4276,3000,7762,2250,3143,4717,3425,3996,6514,9067,4603,3451,2940,3947,6914,2485,1523,902,5824,1862,1003,
2021-04-09,41310,7144,39714,10241,16404,32036,22063,71161,37426,2302,1278,44510,29213,1843,2494,16675,1725,16661,16519,3320,8176,17268,9410,17887,10178,4284,3003,7783,2251,3147,4721,3436,4004,6515,9100,4608,3452,2990,3949,6943,2490,1523,903,5834,1864,1004,
2021-04-10,41390,7152,39770,10260,16423,32083,22092,71341,37485,2308,1280,44599,29258,1847,2501,16733,1731,16684,16576,3325,8181,17287,9427,17926,10190,4285,3008,7790,2252,3161,4728,3446,4010,6517,9111,4610,3455,2992,3954,6963,2494,1526,904,5843,1868,1007,
2021-04-11,41471,7161,39826,10273,16446,32135,22106,71456,37572,2315,1283,44664,29318,1847,2502,16769,1731,16707,16615,3325,8187,17300,9439,17972,10188,4292,3011,7802,2255,3165,4737,3451,4015,6524,9136,4615,3459,2998,3954,6979,2499,1527,905,5883,1869,1007,
2021-04-12,41540,7174,39870,10288,16462,32192,22130,71562,37622,2318,1283,44715,29361,1847,2504,16815,1732,16723,16656,3326,8195,17314,9452,18003,10194,4299,3017,7808,2258,3169,4741,3452,4017,6530,9141,4621,3460,2998,3956,6981,2499,1528,905,5891,1871,1007,
2021-04-13,41587,7177,39950,10308,16467,32237,22162,71657,37655,2322,1286,44764,29422,1849,2506,16851,1733,16744,16682,3334,8196,17323,9459,18025,10207,4306,3017,7821,2261,3173,4744,3458,4020,6537,9148,4627,3461,2999,3958,6984,2502,1529,905,5895,1872,1008,
2021-04-14,41647,7183,39979,10322,16477,32283,22185,71790,37706,2330,1286,44843,29501,1851,2510,16879,1735,16772,16714,3337,8216,17327,9468,18048,10214,4310,3020,7830,2262,3184,4756,3462,4027,6543,9163,4635,3465,3003,3956,6987,2504,1530,905,5903,1874,1009,
2021-04-15,41741,7200,40043,10342,16486,32351,22215,71921,37785,2331,1286,44935,29570,1855,2511,16967,1737,16800,16779,3338,8225,17346,9486,18086,10227,4319,3022,7835,2264,3187,4760,3475,4030,6559,9187,4642,3466,3007,3960,7007,2505,1533,905,5907,1875,1010,
2021-04-16,41849,7214,40123,10374,16507,32444,22242,72072,37874,2333,1289,45048,29678,1856,2519,17015,1741,16829,16815,3345,8234,17385,9501,18136,10232,4322,3029,7856,2267,3199,4765,3492,4036,6571,9204,4649,3470,3012,3967,7029,2512,1533,905,5915,1879,1010,
2021-04-17,41917,7247,40154,10402,16521,32497,22264,72210,37951,2333,1290,45147,29769,1858,2523,17046,1743,16852,16855,3352,8240,17406,9517,18164,10242,4331,3035,7868,2268,3202,4778,3494,4044,6581,9228,4657,3472,3018,3973,7042,2515,1534,905,5922,1879,1012,
2021-04-18,42004,7253,40224,10420,16534,32548,22296,72343,38022,2339,1291,45230,29827,1862,2527,17112,1743,16880,16912,3357,8250,17422,9532,18186,10260,4332,3036,7886,2271,3217,4789,3497,4054,6592,9246,4667,3476,3020,3982,7066,2517,1534,906,5926,1879,1012,
2021-04-19,42075,7272,40270,10437,16545,32591,22328,72458,38068,2344,1291,45287,29879,1864,2530,17137,1744,16891,16950,3359,8254,17440,9540,18212,10266,4333,3042,7899,2276,3225,4794,3502,4058,6598,9258,4667,3477,3023,3988,7075,2521,1534,906,5932,1880,1012,
2021-04-20,42123,7279,40310,10453,16550,32614,22345,72543,38104,2346,1291,45320,29929,1869,2530,17174,1744,16898,16977,3360,8263,17461,9551,18225,10274,4333,3045,7902,2280,3234,4797,3513,4058,6602,9267,4670,3481,3023,3994,7084,2522,1535,906,5932,1883,1012,
2021-04-21,42181,7294,40355,10474,16561,32638,22365,72627,38154,2349,1291,45384,29991,1875,2534,17207,1746,16921,17006,3370,8273,17465,9560,18248,10293,4335,3050,7914,2284,3242,4811,3524,4069,6614,9277,4677,3485,3026,3997,7103,2524,1537,906,5937,1883,1012,
2021-04-22,42233,7297,40395,10486,16574,32696,22412,72738,38227,2350,1291,45429,30035,1875,2534,17254,1748,16950,17043,3378,8277,17480,9572,18281,10302,4342,3051,7938,2286,3251,4819,3534,4080,6626,9293,4684,3487,3056,4004,7122,2528,1539,907,5942,1885,1017,
2021-04-23,42294,7321,40450,10509,16597,32753,22441,72859,38294,2356,1291,45512,30101,1879,2536,17312,1753,16974,17070,3384,8284,17504,9589,18308,10319,4348,3061,7947,2291,3256,4825,3541,4089,6631,9309,4692,3489,3060,4010,7153,2532,1540,909,5946,1887,1019,
2021-04-24,42348,7342,40518,10533,16604,32798,22468,72976,38343,2362,1291,45634,30273,1881,2538,17353,1754,16994,17096,3387,8292,17516,9596,18328,10336,4352,3064,7957,2294,3258,4839,3547,4100,6635,9331,4702,3491,3065,4011,7174,2536,1540,909,5953,1888,1019,
2021-04-25,42432,7367,40563,10545,16611,32840,22487,73064,38393,2362,1291,45683,30329,1881,2541,17395,1758,17022,17143,3390,8300,17529,9610,18340,10340,4355,3067,7960,2295,3263,4842,3556,4102,6641,9346,4713,3491,3068,4016,7192,2539,1544,912,5956,1892,1019,
2021-04-26,42473,7372,40611,10556,16623,32864,22499,73140,38420,2362,1292,45723,30373,1882,2542,17420,1759,17036,17168,3391,8306,17536,9616,18356,10343,4355,3069,7969,2298,3268,4851,3559,4103,6647,9363,4717,3492,3070,4019,7200,2540,1545,912,5960,1895,1020,
2021-04-27,42513,7382,40645,10570,16631,32884,22519,73206,38440,2362,1293,45755,30411,1883,2545,17433,1762,17047,17191,3392,8309,17546,9622,18362,10343,4358,3076,7971,2298,3271,4851,3561,4107,6649,9373,4720,3493,3072,4021,7208,2542,1545,913,5965,1896,1020,
2021-04-28,42564,7392,40679,10578,16641,32902,22553,73278,38481,2366,1294,45805,30445,1887,2548,17450,1764,17068,17232,3394,8340,17553,9631,18388,10346,4359,3080,7995,2302,3277,4862,3560,4114,6653,9396,4731,3493,3077,4024,7242,2544,1545,914,5975,1897,1020,
2021-04-29,42615,7393,40742,10589,16653,32950,22581,73368,38537,2368,1294,45859,30497,1886,2549,17498,1771,17086,17259,3399,8372,17580,9644,18416,10365,4365,3081,8031,2305,3284,4895,3574,4125,6659,9432,4740,3511,3081,4026,7263,2545,1548,915,5980,1899,1020,
2021-04-30,42727,7403,40791,10604,16668,32992,22613,73496,38586,2373,1299,45937,30574,1889,2557,17602,1780,17102,17334,3410,8386,17594,9655,18455,10378,4365,3092,8050,2310,3288,4914,3582,4130,6662,9472,4744,3513,3095,4033,7283,2548,1552,915,5985,1900,1021,
2021-05-01,42785,7415,40824,10618,16692,33028,22650,73561,38631,2374,1302,46053,30720,1891,2559,17629,1782,17130,17361,3410,8385,17607,9664,18477,10382,4370,3099,8056,2313,3297,4958,3589,4134,6664,9496,4756,3515,3104,4039,7296,2549,1553,915,6001,1901,1021,
2021-05-02,42841,7428,40888,10626,16702,33060,22669,73669,38676,2376,1307,46113,30774,1893,2560,17653,1784,17152,17397,3413,8390,17614,9672,18492,10388,4371,3101,8066,2317,3308,4958,3593,4138,6668,9513,4765,3519,3110,4044,7312,2550,1556,917,6004,1904,1022,
2021-05-03,42882,7437,40911,10635,16711,33081,22689,73752,38698,2377,1307,46166,30823,1896,2563,17668,1784,17180,17417,3414,8397,17628,9680,18508,10391,4371,3101,8069,2317,3312,4960,3596,4139,6675,9529,4774,3521,3110,4048,7323,2550,1556,917,6005,1904,1022,
2021-05-04,42905,7440,40973,10645,16713,33104,22713,73819,38718,2380,1307,46198,30862,1898,2564,17675,1788,17185,17431,3414,8405,17636,9685,18524,10397,4371,3101,8073,2317,3316,4965,3598,4139,6677,9539,4774,3521,3112,4049,7327,2555,1558,917,6007,1904,1022,
2021-05-05,42938,7448,41002,10666,16709,33136,22725,73898,38754,2382,1308,46283,30927,1899,2563,17694,1790,17202,17441,3418,8411,17652,9694,18548,10397,4372,3114,8087,2318,3324,4973,3603,4146,6682,9552,4780,3522,3121,4050,7331,2558,1561,918,6009,1906,1023,
2021-05-06,42994,7452,41031,10675,16724,33168,22736,74003,38783,2386,1310,46359,30980,1899,2567,17717,1795,17220,17463,3419,8415,17661,9706,18567,10402,4372,3121,8105,2318,3330,4985,3604,4158,6687,9576,4785,3523,3125,4051,7344,2564,1563,919,6013,1908,1023,
2021-05-07,43035,7461,41162,10689,16742,33192,22795,74106,38813,2388,1312,46428,31039,1903,2569,17746,1802,17243,17482,3419,8427,17677,9716,18603,10418,4373,3124,8114,2329,3338,4991,3607,4174,6689,9599,4795,3527,3128,4053,7358,2568,1565,924,6018,1909,1023,
2021-05-08,43072,7468,41214,10701,16761,33226,22818,74160,38853,2388,1313,46473,31099,1904,2570,17770,1802,17251,17494,3420,8443,17690,9723,18641,10422,4372,3128,8127,2334,3347,4992,3609,4181,6698,9620,4798,3527,3139,4056,7369,2570,1566,925,6029,1910,1023,
2021-05-09,43111,7471,41249,10712,16773,33254,22844,74253,38865,2389,1313,46518,31141,1906,2570,17786,1805,17262,17513,3423,8451,17702,9729,18655,10430,4371,3129,8145,2338,3349,4994,3612,4186,6700,9633,4796,3528,3140,4062,7373,2571,1567,928,6036,1911,1023,
2021-05-10,43130,7475,41279,10714,16781,33287,22865,74312,38896,2393,1316,46555,31166,1907,2570,17798,1806,17269,17532,3424,8456,17722,9738,18673,10432,4371,3132,8145,2342,3352,4994,3612,4191,6705,9640,4796,3528,3140,4065,7375,2572,1569,929,6042,1913,1023,
2021-05-11,43144,7475,41292,10720,16787,33303,22878,74346,38913,2395,1319,46580,31197,1908,2572,17811,1806,17274,17540,3424,8460,17728,9745,18684,10432,4372,3132,8148,2346,3352,5005,3619,4192,6706,9651,4796,3530,3140,4065,7378,2572,1571,930,6044,1914,1023,
2021-05-12,43168,7481,41315,10723,16799,33332,22894,74376,38937,2395,1319,46603,31219,1909,2574,17830,1807,17286,17557,3428,8465,17740,9747,18703,10438,4374,3135,8158,2347,3354,5010,3619,4196,6708,9666,4804,3530,3140,4068,7382,2577,1571,930,6049,1914,1024,
2021-05-13,43195,7491,41351,10731,16805,33359,22910,74423,38917,2396,1320,46629,31247,1910,2576,17856,1810,17304,17573,3423,8453,17742,9753,18733,10435,4372,3136,8169,2348,3362,5016,3622,4200,6707,9680,4811,3527,3140,4066,7389,2581,1571,930,6050,1914,1024,
2021-05-14,43236,7494,41395,10748,16820,33385,22933,74494,38948,2395,1320,46696,31289,1913,2578,17885,1813,17329,17591,3424,8459,17752,9763,18773,10439,4373,3136,8179,2352,3375,5028,3629,4200,6708,9691,4814,3527,3143,4069,7408,2585,1570,931,6055,1915,1025,
2021-05-15,43482,7507,41462,10772,16898,33444,22983,74593,38990,2400,1324,46798,31381,1916,2579,17988,1813,17361,17687,3428,8473,17778,9814,18832,10451,4380,3138,8199,2377,3384,5050,3644,4210,6722,9711,4824,3533,3150,4076,7424,2591,1578,936,6081,1922,1026,
2021-05-16,43507,7510,41490,10780,16912,33456,23002,74708,39013,2402,1324,46828,31409,1920,2580,18005,1816,17373,17704,3431,8480,17784,9817,18849,10453,4382,3143,8216,2381,3392,5054,3646,4215,6726,9717,4829,3534,3153,4080,7433,2592,1579,937,6082,1923,1026,
2021-05-17,43525,7512,41525,10785,16929,33472,23022,74743,39037,2403,1325,46855,31438,1922,2580,18023,1818,17380,17712,3432,8486,17793,9821,18870,10457,4382,3143,8219,2382,3399,5056,3646,4216,6731,9723,4831,3534,3153,4081,7437,2592,1580,938,6082,1923,1026,
2021-05-18,43532,7514,41530,10786,16936,33477,23037,74767,39044,2403,1325,46868,31455,1922,2581,18026,1819,17381,17716,3432,8487,17794,9821,18878,10458,4382,3144,8226,2384,3403,5058,3646,4216,6734,9728,4832,3535,3153,4081,7438,2593,1580,940,6086,1924,1026,
2021-05-19,43561,7518,41560,10796,16944,33491,23055,74789,39065,2404,1326,46885,31502,1922,2582,18042,1822,17390,17734,3432,8493,17801,9829,18890,10468,4382,3148,8232,2386,3408,5065,3649,4220,6739,9741,4833,3535,3155,4083,7447,2595,1581,941,6095,1926,1026,
2021-05-20,43583,7521,41582,10803,16954,33514,23069,74833,39083,2405,1327,46922,31538,1920,2583,18058,1823,17396,17754,3433,8497,17805,9833,18898,10470,4384,3149,8239,2389,3414,5070,3651,4225,6739,9749,4840,3536,3155,4083,7450,2596,1581,943,6097,1926,1026,
2021-05-21,43621,7522,41600,10815,16970,33533,23080,74888,39111,2407,1328,46957,31589,1921,2583,18082,1826,17411,17773,3439,8501,17825,9838,18912,10478,4388,3150,8245,2392,3417,5073,3653,4230,6742,9756,4853,3536,3157,4087,7454,2596,1581,944,6098,1926,1026,
2021-05-22,43630,7525,41627,10818,16980,33545,23093,74923,39127,2408,1330,46985,31629,1924,2586,18092,1826,17428,17781,3445,8510,17832,9843,18916,10480,4390,3151,8255,2392,3423,5078,3654,4233,6742,9763,4859,3536,3159,4088,7459,2596,1582,945,6104,1927,1026,
2021-05-23,43641,7526,41646,10823,16989,33556,23103,74958,39154,2408,1330,47023,31669,1924,2587,18107,1827,17436,17794,3445,8511,17839,9850,18934,10481,4392,3151,8257,2395,3427,5078,3661,4244,6745,9770,4863,3536,3160,4089,7463,2596,1584,946,6106,1930,1027,
2021-05-24,43674,7533,41682,10828,17003,33570,23121,74996,39174,2408,1330,47050,31693,1924,2587,18123,1828,17456,17817,3445,8516,17841,9855,18948,10486,4395,3152,8262,2400,3429,5080,3665,4245,6753,9782,4867,3536,3160,4091,7465,2598,1584,946,6110,1930,1027,
2021-05-25,43683,7533,41690,10832,17007,33582,23124,75019,39187,2410,1330,47061,31710,1924,2588,18134,1827,17461,17822,3446,8516,17843,9855,18951,10486,4395,3152,8263,2400,3429,5084,3668,4245,6756,9785,4869,3536,3160,4094,7468,2598,1587,946,6112,1930,1027,
2021-05-26,43701,7537,41713,10838,17025,33605,23131,75032,39211,2410,1330,47079,31736,1925,2590,18149,1828,17478,17850,3449,8519,17847,9861,18961,10493,4394,3152,8267,2406,3434,5084,3673,4250,6760,9789,4875,3536,3164,4096,7476,2598,1587,946,6121,1929,1027,
2021-05-27,43730,7542,41729,10849,17036,33644,23146,75067,39244,2410,1331,47100,31770,1926,2593,18170,1829,17485,17861,3451,8531,17849,9868,18975,10497,4393,3152,8272,2406,3438,5086,3675,4253,6764,9801,4880,3534,3165,4097,7479,2598,1588,946,6125,1930,1028,
2021-05-28,43757,7548,41745,10875,17041,33663,23159,75097,39263,2411,1332,47117,31824,1926,2595,18189,1832,17505,17872,3453,8538,17862,9874,18990,10501,4393,3152,8275,2407,3449,5094,3675,4260,6767,9809,4887,3535,3167,4098,7487,2599,1589,947,6131,1931,1030,
2021-05-29,43780,7545,41762,10881,17051,33670,23170,75138,39296,2411,1332,47130,31844,1926,2596,18200,1830,17514,17880,3456,8541,17868,9876,18997,10502,4395,3155,8276,2408,3449,5098,3673,4258,6768,9819,4885,3535,3168,4100,7494,2599,1589,947,6139,1931,1030,
2021-05-30,43790,7546,41778,10884,17059,33676,23175,75162,39312,2412,1333,47130,31858,1926,2597,18205,1827,17515,17875,3457,8554,17877,9880,19001,10507,4397,3154,8275,2408,3454,5103,3677,4261,6769,9827,4885,3536,3168,4101,7497,2598,1593,947,6146,1930,1030,
2021-05-31,43802,7547,41791,10887,17060,33681,23182,75176,39320,2413,1333,47152,31880,1926,2597,18206,1828,17516,17880,3458,8559,17882,9884,19013,10507,4400,3155,8276,2408,3455,5104,3678,4264,6769,9832,4887,3537,3168,4102,7499,2599,1592,947,6150,1930,1030,
2021-06-01,43802,7547,41791,10887,17060,33681,23182,75176,39320,2413,1333,47152,31880,1926,2597,18206,1828,17516,17880,3458,8559,17882,9884,19013,10507,4400,3155,8276,2408,3455,5104,3678,4264,6769,9832,4887,3537,3168,4102,7499,2599,1592,947,6150,1930,1030,
2021-06-02,43814,7551,41816,10891,17066,33693,23201,75203,39337,2413,1336,47167,31909,1926,2598,18214,1828,17521,17894,3459,8562,17888,9887,19022,10508,4403,3161,8275,2410,3460,5105,3678,4264,6772,9842,4887,3537,3168,4106,7499,2600,1592,948,6155,1930,1030,
2021-06-03,43833,7553,41827,10894,17073,33673,23205,75212,39363,2412,1336,47174,31910,1927,2599,18221,1824,17510,17893,3461,8568,17890,9889,19027,10511,4403,3165,8280,2414,3465,5104,3675,4269,6774,9843,4888,3535,3168,4106,7501,2600,1591,948,6155,1929,1030,
2021-06-04,43846,7548,41839,10888,17076,33656,23212,75253,39381,2410,1337,47169,31903,1927,2599,18226,1816,17498,17895,3461,8574,17895,9889,19047,10511,4404,3163,8280,2414,3472,5099,3676,4267,6775,9853,4893,3535,3168,4107,7508,2601,1592,949,6156,1929,1030,
2021-06-05,43858,7546,41850,10888,17079,33662,23226,75276,39396,2412,1338,47204,31916,1927,2599,18234,1816,17505,17898,3462,8577,17899,9895,19058,10512,4407,3163,8281,2416,3473,5104,3680,4265,6775,9868,4896,3537,3168,4110,7511,2601,1593,949,6158,1929,1031,
2021-06-06,43861,7546,41871,10891,17083,33675,23234,75292,39414,2414,1337,47236,31916,1927,2599,18244,1817,17504,17909,3463,8580,17903,9893,19070,10515,4407,3163,8279,2415,3481,5105,3679,4264,6778,9872,4900,3537,3168,4111,7514,2602,1594,948,6158,1930,1031,
2021-06-07,43861,7548,41876,10891,17089,33684,23235,75307,39426,2415,1336,47247,31919,1927,2599,18245,1815,17503,17915,3464,8584,17907,9892,19074,10517,4411,3163,8279,2415,3483,5106,3679,4262,6779,9875,4901,3538,3168,4111,7518,2601,1594,948,6158,1929,1031,
2021-06-08,43874,7553,41884,10900,17092,33686,23237,75319,39431,2415,1336,47264,31928,1927,2599,18251,1815,17507,17921,3464,8583,17912,9891,19075,10516,4411,3165,8279,2415,3484,5107,3680,4264,6780,9876,4902,3540,3167,4111,7519,2602,1595,948,6159,1929,1032,
2021-06-09,43886,7555,41893,10905,17097,33696,23246,75337,39452,2415,1336,47287,31944,1928,2599,18259,1815,17514,17931,3465,8590,17917,9886,19081,10519,4414,3166,8280,2418,3485,5106,3681,4275,6781,9885,4904,3555,3168,4112,7520,2606,1595,948,6161,1929,1032,
2021-06-10,43891,7550,41908,10898,17099,33697,23249,75352,39468,2416,1337,47308,31921,1930,2599,18263,1814,17505,17936,3468,8592,17921,9879,19087,10525,4416,3167,8277,2420,3489,5098,3685,4276,6784,9895,4903,3554,3169,4113,7523,2608,1595,950,6164,1928,1032,
2021-06-11,43894,7552,41916,10903,17099,33698,23258,75380,39480,2416,1337,47332,31937,1933,2599,18272,1813,17506,17938,3469,8593,17922,9882,19088,10525,4415,3170,8277,2422,3492,5096,3686,4275,6784,9902,4903,3550,3170,4113,7526,2609,1598,950,6164,1929,1032,
2021-06-12,43894,7552,41916,10903,17099,33698,23258,75380,39480,2416,1337,47332,31937,1933,2599,18272,1813,17506,17938,3469,8593,17922,9882,19088,10525,4415,3170,8277,2422,3492,5096,3686,4275,6784,9902,4903,3550,3170,4113,7526,2609,1598,950,6164,1929,1032,
2021-06-13,43881,7552,41919,10908,17091,33697,23261,75401,39493,2416,1338,47336,31940,1933,2599,18291,1813,17511,17936,3470,8595,17924,9880,19093,10528,4417,3169,8279,2419,3493,5093,3685,4274,6787,9906,4907,3551,3170,4114,7529,2606,1598,951,6164,1927,1032,
2021-06-14,43896,7552,41937,10915,17112,33717,23267,75450,39513,2416,1339,47364,31961,1933,2599,18307,1813,17518,17942,3472,8600,17934,9889,19095,10533,4420,3171,8282,2420,3494,5095,3687,4279,6790,9911,4910,3554,3174,4113,7536,2609,1599,952,6171,1928,1032,
2021-06-15,43899,7552,41946,10915,17111,33718,23268,75467,39521,2416,1338,47373,31974,1932,2599,18312,1813,17518,17946,3472,8602,17937,9890,19097,10533,4420,3171,8283,2420,3494,5095,3688,4279,6792,9913,4911,3555,3174,4113,7536,2609,1599,952,6172,1928,1032,
