,Anchorage,Fairbanks North Star Borough,Ketchikan Gateway Borough,Kenai Peninsula Borough,Juneau City and Borough,Matanuska-Susitna Borough,Unknown,Yukon-Koyukuk Census Area,Southeast Fairbanks Census Area,Petersburg Borough,Bethel Census Area,Prince of Wales-Hyder Census Area,Nome Census Area,Kodiak Island Borough,Sitka City and Borough,Valdez-Cordova Census Area,Bristol Bay plus Lake and Peninsula,Northwest Arctic Borough,North Slope Borough,Dillingham Census Area,Aleutians West Census Area,Wrangell City and Borough,Aleutians East Borough,Haines Borough,Denali Borough,Kusilvak Census Area,Yakutat plus Hoonah-Angoon,Skagway Municipality
2021-02-04,25522,5878,280,3888,1162,7601,240,269,440,45,3382,69,313,1039,299,447,167,571,978,176,354,25,177,23,67,1141,63,15
2021-02-05,25568,5892,284,3891,1168,7652,240,269,441,45,3411,69,313,1039,299,448,167,571,978,177,359,25,259,23,67,1147,63,15
2021-02-06,25568,5892,284,3891,1168,7652,240,269,441,45,3411,69,313,1039,299,448,167,571,978,177,359,25,259,23,67,1147,63,15
2021-02-07,25568,5892,284,3891,1168,7652,240,269,441,45,3411,69,313,1039,299,448,167,571,978,177,359,25,259,23,67,1147,63,15
2021-02-08,25683,5924,295,3904,1175,7766,249,311,441,45,3445,70,318,1040,299,451,170,573,982,187,374,25,323,23,67,1156,63,15
2021-02-09,25732,5927,295,3907,1176,7796,250,311,442,45,3469,70,319,1040,299,451,171,574,984,188,376,25,327,23,67,1158,63,15
2021-02-10,25782,5948,298,3915,1176,7862,251,311,442,45,3490,70,320,1040,299,451,173,574,985,188,383,25,341,23,67,1164,63,15
2021-02-11,25846,5962,300,3916,1178,7900,251,312,442,46,3496,70,320,1040,299,452,173,575,985,188,389,25,344,24,67,1172,63,15
2021-02-12,25898,5971,300,3925,1181,7946,253,317,442,46,3498,70,320,1040,299,456,179,575,986,191,395,25,349,24,67,1176,63,16
2021-02-13,25898,5971,300,3925,1181,7946,253,317,442,46,3498,70,320,1040,299,456,179,575,986,191,395,25,349,24,67,1176,63,16
2021-02-14,25898,5971,300,3925,1181,7946,253,317,442,46,3498,70,320,1040,299,456,179,575,986,191,395,25,349,24,67,1176,63,16
2021-02-15,25898,5971,300,3925,1181,7946,253,317,442,46,3498,70,320,1040,299,456,179,575,986,191,395,25,349,24,67,1176,63,16
2021-02-16,26053,6010,305,3930,1185,8120,255,318,442,46,3505,70,321,1050,300,459,176,578,994,195,462,25,351,24,67,1182,63,18
2021-02-17,26062,6014,305,3931,1185,8150,255,321,442,46,3505,70,321,1050,300,458,176,584,995,195,464,25,351,24,67,1182,63,18
2021-02-18,26118,6038,315,3939,1185,8233,253,322,443,47,3518,70,322,1050,301,458,176,584,996,195,466,25,355,24,68,1186,63,18
2021-02-19,26184,6058,330,3942,1192,8284,253,327,443,48,3527,70,322,1051,303,461,176,584,998,196,489,26,355,24,68,1186,64,18
2021-02-20,26184,6058,330,3942,1192,8284,253,327,443,48,3527,70,322,1051,303,461,176,584,998,196,489,26,355,24,68,1186,64,18
2021-02-21,26184,6058,330,3942,1192,8284,253,327,443,48,3527,70,322,1051,303,461,176,584,998,196,489,26,355,24,68,1186,64,18
2021-02-22,26267,6106,336,3949,1209,8375,254,333,443,55,3548,70,322,1051,304,464,176,585,1000,199,514,26,358,24,71,1194,65,18
2021-02-23,26284,6111,336,3954,1210,8392,255,333,443,58,3548,70,322,1052,305,464,176,585,1000,201,516,26,358,24,71,1194,65,18
2021-02-24,26342,6136,344,3957,1212,8448,256,333,444,68,3554,70,323,1052,305,467,176,586,1000,201,517,26,358,24,71,1196,65,19
2021-02-25,26382,6163,349,3958,1214,8495,258,333,445,78,3556,71,324,1052,305,477,176,586,1000,202,552,26,358,24,71,1196,65,19
2021-02-26,26422,6173,349,3961,1215,8536,259,333,447,79,3557,71,325,1052,305,479,176,586,1000,202,555,26,361,24,72,1197,65,19
2021-02-27,26422,6173,349,3961,1215,8536,259,333,447,79,3557,71,325,1052,305,479,176,586,1000,202,555,26,361,24,72,1197,65,19
2021-02-28,26422,6173,349,3961,1215,8536,259,333,447,79,3557,71,325,1052,305,479,176,586,1000,202,555,26,361,24,72,1197,65,19
2021-03-01,26547,6205,350,3972,1222,8663,256,333,456,106,3563,71,326,1057,307,483,176,586,1005,202,570,28,361,25,73,1202,65,19
2021-03-02,26586,6217,350,3975,1223,8698,265,333,453,112,3570,72,326,1057,310,484,176,586,1006,203,598,28,362,25,73,1210,66,19
2021-03-03,26642,6237,353,3982,1228,8751,265,333,456,125,3581,73,326,1052,311,486,176,586,1006,204,617,28,362,25,73,1211,66,19
2021-03-04,26694,6241,359,3988,1229,8787,256,333,484,128,3583,74,328,1052,311,491,176,586,1006,207,624,28,362,25,74,1211,66,19
2021-03-05,26744,6256,362,3996,1234,8827,257,333,488,133,3588,74,328,1053,312,496,176,586,1009,207,626,28,362,25,74,1211,66,19
2021-03-06,26744,6256,362,3996,1234,8827,257,333,488,133,3588,74,328,1053,312,496,176,586,1009,207,626,28,362,25,74,1211,66,19
2021-03-07,26744,6256,362,3996,1234,8827,257,333,488,133,3588,74,328,1053,312,496,176,586,1009,207,626,28,362,25,74,1211,66,19
2021-03-08,26906,6295,361,4004,1237,8932,257,333,493,135,3591,74,328,1053,313,500,176,590,1012,207,628,28,362,25,74,1212,65,19
2021-03-09,26933,6300,361,4007,1238,8961,258,333,494,137,3604,76,328,1053,313,502,176,591,1014,207,628,28,362,25,74,1212,65,19
2021-03-10,26993,6317,361,4010,1241,9008,258,335,501,137,3609,76,329,1053,313,503,176,591,1013,207,633,28,362,25,75,1213,65,19
2021-03-11,27066,6341,361,4013,1242,9091,258,335,503,141,3640,76,329,1053,315,507,176,591,1013,207,641,29,362,25,75,1214,66,19
2021-03-12,27101,6346,361,4017,1242,9139,258,340,510,141,3640,76,329,1054,315,507,176,591,1014,207,641,29,362,25,75,1215,66,19
2021-03-13,27101,6346,361,4017,1242,9139,258,340,510,141,3640,76,329,1054,315,507,176,591,1014,207,641,29,362,25,75,1215,66,19
2021-03-14,27101,6346,361,4017,1242,9139,258,340,510,141,3640,76,329,1054,315,507,176,591,1014,207,641,29,362,25,75,1215,66,19
2021-03-15,27243,6377,368,4036,1251,9244,259,342,534,145,3657,76,330,1059,315,509,176,594,1016,207,641,29,362,25,76,1216,68,19
2021-03-16,27277,6388,368,4040,1251,9279,259,342,536,144,3667,76,330,1059,315,513,176,594,1017,207,643,29,362,25,76,1216,69,19
2021-03-17,27345,6402,368,4044,1253,9342,261,342,545,145,3670,76,331,1059,315,516,176,594,1021,207,643,29,362,25,76,1216,69,19
2021-03-18,27412,6421,368,4048,1254,9372,261,343,554,145,3685,77,331,1059,315,519,176,594,1021,207,645,29,363,25,77,1217,69,19
2021-03-19,27440,6424,368,4050,1254,9394,262,343,568,145,3685,77,331,1059,316,521,176,595,1023,207,645,29,363,25,78,1217,69,19
2021-03-20,27440,6424,368,4050,1254,9394,262,343,568,145,3685,77,331,1059,316,521,176,595,1023,207,645,29,363,25,78,1217,69,19
2021-03-21,27440,6424,368,4050,1254,9394,262,343,568,145,3685,77,331,1059,316,521,176,595,1023,207,645,29,363,25,78,1217,69,19
2021-03-22,27600,6454,369,4055,1255,9484,262,345,577,146,3710,77,334,1061,316,528,184,596,1026,207,646,29,363,25,78,1219,69,19
2021-03-23,27675,6467,372,4057,1255,9541,263,345,581,146,3724,77,334,1062,316,531,184,596,1030,207,646,29,363,26,79,1218,69,19
2021-03-24,27780,6474,372,4061,1257,9590,264,345,584,145,3749,77,334,1062,316,532,184,596,1030,207,647,30,363,26,80,1218,69,19
2021-03-25,27858,6487,372,4068,1257,9625,266,345,590,145,3749,77,335,1063,317,533,184,596,1030,207,648,30,363,26,81,1218,69,19
2021-03-26,27915,6497,372,4070,1257,9719,266,348,596,145,3750,77,335,1065,319,536,184,596,1030,207,650,30,363,26,85,1218,69,19
2021-03-27,27915,6497,372,4070,1257,9719,266,348,596,145,3750,77,335,1065,319,536,184,596,1030,207,650,30,363,26,85,1218,69,19
2021-03-28,27915,6497,372,4070,1257,9719,266,348,596,145,3750,77,335,1065,319,536,184,596,1030,207,650,30,363,26,85,1218,69,19
2021-03-29,27915,6497,372,4070,1257,9719,266,348,596,145,3750,77,335,1065,319,536,184,596,1030,207,650,30,363,26,85,1218,69,19
2021-03-30,28190,6568,375,4092,1264,9912,276,348,606,145,3765,78,337,1071,323,553,184,597,1042,207,650,30,363,26,87,1218,69,19
2021-03-31,28190,6568,375,4092,1264,9912,440,348,606,145,3765,78,337,1071,323,553,184,597,1042,207,650,30,363,26,87,1218,69,19
2021-04-01,28366,6606,377,4109,1270,10013,275,349,614,151,3780,79,339,1073,323,558,186,598,1042,207,654,31,363,26,88,1220,69,19
2021-04-02,28443,6635,378,4121,1271,10069,277,349,617,151,3793,79,339,1076,323,560,186,597,1042,207,654,31,363,26,90,1222,69,19
2021-04-03,28443,6635,378,4121,1271,10069,277,349,617,151,3793,79,339,1076,323,560,186,597,1042,207,654,31,363,26,90,1222,69,19
2021-04-04,28443,6635,378,4121,1271,10069,277,349,617,151,3793,79,339,1076,323,560,186,597,1042,207,654,31,363,26,90,1222,69,19
2021-04-05,28657,6678,382,4149,1279,10220,284,349,620,153,3800,79,340,1080,323,582,187,596,1042,207,654,34,363,26,90,1224,69,19
2021-04-06,28682,6682,382,4154,1281,10249,284,349,620,153,3810,79,340,1080,323,587,187,596,1043,207,653,34,363,26,90,1224,69,19
2021-04-07,28780,6692,383,4169,1289,10318,286,349,622,153,3816,79,340,1081,326,587,187,596,1043,208,654,34,363,26,91,1224,70,19
2021-04-08,28862,6727,383,4183,1295,10383,288,349,623,153,3820,79,341,1084,328,593,187,598,1043,208,654,34,363,26,91,1229,70,19
2021-04-09,28954,6759,384,4195,1300,10459,294,352,625,153,3820,79,344,1085,328,599,187,600,1044,210,655,35,363,26,91,1229,70,19
2021-04-10,28954,6759,384,4195,1300,10459,294,352,625,153,3820,79,344,1085,328,599,187,600,1044,210,655,35,363,26,91,1229,70,19
2021-04-11,28954,6759,384,4195,1300,10459,294,352,625,153,3820,79,344,1085,328,599,187,600,1044,210,655,35,363,26,91,1229,70,19
2021-04-12,29095,6790,392,4214,1306,10565,302,354,626,153,3847,79,344,1089,332,607,187,600,1045,223,656,38,363,26,92,1241,70,19
2021-04-13,29144,6803,394,4221,1307,10616,302,356,627,153,3847,79,344,1089,333,608,188,600,1045,224,677,40,363,26,93,1241,70,19
2021-04-14,29217,6825,394,4234,1313,10682,302,356,630,154,3849,79,345,1091,333,612,189,600,1046,224,677,42,363,26,94,1242,70,19
2021-04-15,29285,6841,394,4248,1314,10763,303,356,631,154,3849,79,345,1091,334,613,193,600,1046,225,677,43,363,26,94,1245,70,19
2021-04-16,29351,6877,394,4268,1315,10812,306,356,634,154,3852,79,347,1091,334,614,192,601,1046,225,679,46,363,26,94,1245,70,19
2021-04-17,29351,6877,394,4268,1315,10812,306,356,634,154,3852,79,347,1091,334,614,192,601,1046,225,679,46,363,26,94,1245,70,19
2021-04-18,29351,6877,394,4268,1315,10812,306,356,634,154,3852,79,347,1091,334,614,192,601,1046,225,679,46,363,26,94,1245,70,19
2021-04-19,29503,6935,399,4314,1328,10942,308,357,640,159,3853,79,347,1095,336,621,192,602,1050,225,681,50,363,26,96,1245,70,19
2021-04-20,29526,6963,402,4322,1328,10978,309,357,640,159,3853,78,348,1096,336,623,192,602,1051,227,684,50,363,26,96,1246,70,19
2021-04-21,29595,7003,405,4337,1333,11021,310,357,641,159,3858,81,348,1097,336,624,192,602,1053,227,684,50,363,26,96,1255,70,19
2021-04-22,29645,7113,407,4351,1337,11050,310,358,643,159,3864,83,349,1097,336,626,192,604,1053,227,684,50,363,26,97,1257,70,19
2021-04-23,29693,7151,408,4359,1340,11088,310,358,643,159,3869,85,348,1097,337,626,192,604,1053,227,685,50,363,26,98,1260,70,19
2021-04-24,29693,7151,408,4359,1340,11088,310,358,643,159,3869,85,348,1097,337,626,192,604,1053,227,685,50,363,26,98,1260,70,19
2021-04-25,29693,7151,408,4359,1340,11088,310,358,643,159,3869,85,348,1097,337,626,192,604,1053,227,685,50,363,26,98,1260,70,19
2021-04-26,29792,7332,412,4374,1343,11175,314,358,658,159,3869,91,349,1099,338,631,192,612,1061,228,686,50,363,27,99,1264,71,20
2021-04-27,29816,7408,414,4377,1343,11207,312,358,659,159,3869,91,350,1099,338,631,192,612,1060,228,687,50,363,27,99,1264,71,20
2021-04-28,29869,7473,417,4392,1346,11253,290,358,660,159,3872,93,351,1099,338,634,194,612,1061,228,688,51,363,27,100,1271,71,20
2021-04-29,29925,7526,422,4399,1348,11284,288,358,665,159,3873,94,351,1101,338,634,194,612,1062,228,690,51,364,27,100,1274,71,20
2021-04-30,29964,7567,424,4406,1351,11319,288,358,667,159,3874,96,351,1101,338,635,194,613,1065,228,690,51,364,28,101,1275,71,20
2021-05-01,29964,7567,424,4406,1351,11319,288,358,667,159,3874,96,351,1101,338,635,194,613,1065,228,690,51,364,28,101,1275,71,20
2021-05-02,29964,7567,424,4406,1351,11319,288,358,667,159,3874,96,351,1101,338,635,194,613,1065,228,690,51,364,28,101,1275,71,20
2021-05-03,30043,7653,434,4416,1363,11369,288,359,672,159,3874,99,351,1106,339,637,194,616,1068,228,691,52,364,28,101,1276,72,20
2021-05-04,30058,7682,437,4421,1365,11390,289,360,673,159,3875,100,354,1106,343,638,194,616,1068,228,693,53,364,28,101,1277,72,20
2021-05-05,30102,7713,446,4427,1367,11428,288,360,677,159,3882,100,355,1106,343,639,194,616,1071,228,695,53,364,28,101,1278,72,20
2021-05-06,30136,7736,458,4432,1369,11443,288,360,679,161,3881,101,355,1106,343,640,194,616,1071,228,695,53,364,28,101,1278,72,20
2021-05-07,30172,7756,475,4439,1374,11459,288,361,683,162,3881,103,358,1106,344,640,194,617,1072,228,695,53,364,28,101,1278,73,20
2021-05-08,30172,7756,475,4439,1374,11459,288,361,683,162,3881,103,358,1106,344,640,194,617,1072,228,695,53,364,28,101,1278,73,20
2021-05-09,30172,7756,475,4439,1374,11459,288,361,683,162,3881,103,358,1106,344,640,194,617,1072,228,695,53,364,28,101,1278,73,20
2021-05-10,30259,7798,492,4446,1384,11515,291,361,684,162,3881,103,359,1108,347,640,195,617,1074,228,695,54,365,28,102,1278,73,20
2021-05-11,30272,7801,497,4453,1385,11531,291,362,685,162,3883,104,360,1108,347,640,195,617,1075,228,696,54,365,28,102,1282,74,20
2021-05-12,30291,7821,507,4461,1390,11546,293,363,686,162,3884,105,360,1111,347,640,195,617,1077,228,696,54,365,28,102,1282,74,20
2021-05-13,30305,7835,521,4469,1391,11555,294,363,689,163,3884,111,362,1111,347,642,195,617,1078,228,697,54,365,28,105,1282,74,20
2021-05-14,30331,7845,546,4477,1398,11572,296,363,688,163,3889,112,362,1111,347,642,195,618,1078,228,697,54,365,28,105,1286,81,20
2021-05-15,30331,7845,546,4477,1398,11572,296,363,688,163,3889,112,362,1111,347,642,195,618,1078,228,697,54,365,28,105,1286,81,20
2021-05-16,30331,7845,546,4477,1398,11572,296,363,688,163,3889,112,362,1111,347,642,195,618,1078,228,697,54,365,28,105,1286,81,20
2021-05-17,30374,7866,562,4482,1399,11587,298,363,691,163,3889,118,363,1112,349,660,196,618,1078,228,697,54,365,28,105,1286,81,20
2021-05-18,30397,7871,569,4486,1402,11597,297,363,691,163,3891,118,364,1113,349,660,196,618,1078,228,697,54,365,28,105,1286,82,20
2021-05-19,30424,7884,585,4488,1405,11611,297,363,693,164,3893,122,364,1113,349,668,196,618,1078,228,697,54,367,28,105,1290,82,20
2021-05-20,30446,7897,594,4494,1405,11622,297,363,696,164,3893,125,364,1114,349,667,196,618,1078,229,697,54,367,28,107,1297,82,20
2021-05-21,30461,7904,603,4497,1406,11630,297,363,701,164,3894,133,365,1114,351,668,196,618,1078,229,699,54,367,28,108,1298,83,20
2021-05-22,30461,7904,603,4497,1406,11630,297,363,701,164,3894,133,365,1114,351,668,196,618,1078,229,699,54,367,28,108,1298,83,20
2021-05-23,30461,7904,603,4497,1406,11630,297,363,701,164,3894,133,365,1114,351,668,196,618,1078,229,699,54,367,28,108,1298,83,20
2021-05-24,30487,7913,618,4505,1407,11645,298,363,705,164,3894,138,367,1114,352,670,196,619,1078,229,701,54,367,28,109,1300,83,20
2021-05-25,30512,7923,619,4508,1409,11650,298,366,705,164,3895,138,367,1114,352,670,196,619,1078,229,702,54,367,28,109,1301,83,20
2021-05-26,30530,7930,626,4509,1411,11654,300,366,715,165,3898,138,367,1119,355,671,196,619,1079,229,702,54,367,28,109,1300,85,20
2021-05-27,30543,7935,633,4512,1410,11659,298,366,718,165,3899,140,367,1119,357,671,196,619,1079,229,703,54,367,28,109,1302,85,20
2021-05-28,30556,7938,637,4513,1414,11666,295,366,722,165,3900,142,367,1119,357,671,196,619,1080,229,704,54,367,28,109,1308,85,20
2021-05-29,30556,7938,637,4513,1414,11666,295,366,722,165,3900,142,367,1119,357,671,196,619,1080,229,704,54,367,28,109,1308,85,20
2021-05-30,30556,7938,637,4513,1414,11666,295,366,722,165,3900,142,367,1119,357,671,196,619,1080,229,704,54,367,28,109,1308,85,20
2021-05-31,30556,7938,637,4513,1414,11666,295,366,722,165,3900,142,367,1119,357,671,196,619,1080,229,704,54,367,28,109,1308,85,20
2021-06-01,30582,7953,643,4519,1421,11684,296,366,733,166,3901,148,377,1119,357,672,196,619,1079,229,704,54,367,28,110,1309,85,20
2021-06-02,30588,7962,646,4523,1426,11690,291,366,735,166,3901,150,377,1120,358,672,196,619,1079,229,706,54,367,28,110,1309,85,20
2021-06-03,30607,7967,648,4526,1434,11699,292,366,738,166,3901,152,377,1120,358,672,196,619,1079,229,706,55,367,28,110,1309,85,20
2021-06-04,30620,7969,650,4529,1439,11707,292,366,745,166,3903,159,377,1121,358,672,196,621,1079,229,708,57,367,28,110,1313,85,20
2021-06-05,30620,7969,650,4529,1439,11707,292,366,745,166,3903,159,377,1121,358,672,196,621,1079,229,708,57,367,28,110,1313,85,20
2021-06-06,30620,7969,650,4529,1439,11707,292,366,745,166,3903,159,377,1121,358,672,196,621,1079,229,708,57,367,28,110,1313,85,20
2021-06-07,30635,7970,650,4533,1441,11719,292,366,747,166,3904,161,381,1121,359,672,198,621,1080,229,709,57,367,28,111,1315,85,20
2021-06-08,30635,7970,650,4533,1441,11719,292,366,747,166,3904,161,381,1121,359,672,198,621,1080,229,709,57,367,28,111,1315,85,20
2021-06-09,30656,7978,652,4535,1446,11726,291,366,754,166,3904,163,386,1121,359,675,199,621,1080,231,710,57,367,28,111,1317,85,20
2021-06-10,30656,7978,652,4535,1446,11726,291,366,754,166,3904,163,386,1121,359,675,199,621,1080,231,710,57,367,28,111,1317,85,20
2021-06-11,30685,7981,652,4540,1449,11731,291,366,758,166,3908,166,386,1121,360,675,200,621,1080,231,710,59,367,28,111,1318,85,20
2021-06-12,30685,7981,652,4540,1449,11731,291,366,758,166,3908,166,386,1121,360,675,200,621,1080,231,710,59,367,28,111,1318,85,20
2021-06-13,30685,7981,652,4540,1449,11731,291,366,758,166,3908,166,386,1121,360,675,200,621,1080,231,710,59,367,28,111,1318,85,20
2021-06-14,30711,7985,654,4542,1455,11737,288,367,759,166,3907,168,392,1122,361,677,200,622,1082,232,710,60,367,28,111,1323,86,20
2021-06-15,30711,7985,654,4542,1455,11737,288,367,759,166,3907,168,392,1122,361,677,200,622,1082,232,710,60,367,28,111,1323,86,20
2021-06-16,30744,7991,654,4542,1456,11740,288,367,759,166,3906,170,391,1122,361,680,200,622,1083,232,710,61,367,28,111,1326,86,20
2021-06-17,30744,7991,654,4542,1456,11740,288,367,759,166,3906,170,391,1122,361,680,200,622,1083,232,710,61,367,28,111,1326,86,20
2021-06-18,30788,7998,654,4545,1461,11750,283,368,763,166,3909,172,391,1123,361,681,201,622,1083,232,716,61,367,28,111,1346,85,20
2021-06-19,30788,7998,654,4545,1461,11750,283,368,763,166,3909,172,391,1123,361,681,201,622,1083,232,716,61,367,28,111,1346,85,20
2021-06-20,30788,7998,654,4545,1461,11750,283,368,763,166,3909,172,391,1123,361,681,201,622,1083,232,716,61,367,28,111,1346,85,20
2021-06-21,30826,8003,654,4549,1463,11762,283,368,767,166,3910,174,391,1124,363,682,201,623,1082,232,719,63,367,28,111,1355,85,21
2021-06-22,30826,8003,654,4549,1463,11762,283,368,767,166,3910,174,391,1124,363,682,201,623,1082,232,719,63,367,28,111,1355,85,21
2021-06-23,30857,8000,654,4552,1465,11777,290,368,766,166,3912,174,391,1123,363,684,201,623,1082,232,725,63,367,28,109,1369,81,21
2021-06-24,30857,8000,654,4552,1465,11777,290,368,766,166,3912,174,391,1123,363,684,201,623,1082,232,725,63,367,28,109,1369,81,21
2021-06-25,30885,7994,655,4547,1465,11777,292,368,766,166,3911,175,401,1122,363,684,201,624,1080,233,725,63,367,28,110,1381,81,21
2021-06-26,30885,7994,655,4547,1465,11777,292,368,766,166,3911,175,401,1122,363,684,201,624,1080,233,725,63,367,28,110,1381,81,21
2021-06-27,30885,7994,655,4547,1465,11777,292,368,766,166,3911,175,401,1122,363,684,201,624,1080,233,725,63,367,28,110,1381,81,21
2021-06-28,30929,8002,655,4549,1467,11786,292,368,766,166,3916,175,403,1122,365,684,201,625,1082,233,730,63,367,28,111,1394,81,21
2021-06-29,30929,8002,655,4549,1467,11786,292,368,766,166,3916,175,403,1122,365,684,201,625,1082,233,730,63,367,28,111,1394,81,21
2021-06-30,30990,8002,656,4551,1469,11795,293,368,766,166,3917,175,405,1122,366,685,201,625,1082,233,730,63,367,28,111,1401,81,21
2021-07-01,30990,8002,656,4551,1469,11795,293,368,766,166,3917,175,405,1122,366,685,201,625,1082,233,730,63,367,28,111,1401,81,21
2021-07-02,31043,8004,657,4558,1470,11803,299,370,766,166,3919,177,408,1122,372,687,201,625,1082,233,727,63,366,28,111,1415,81,21
2021-07-03,31043,8004,657,4558,1470,11803,299,370,766,166,3919,177,408,1122,372,687,201,625,1082,233,727,63,366,28,111,1415,81,21
2021-07-04,31043,8004,657,4558,1470,11803,299,370,766,166,3919,177,408,1122,372,687,201,625,1082,233,727,63,366,28,111,1415,81,21
2021-07-05,31043,8004,657,4558,1470,11803,299,370,766,166,3919,177,408,1122,372,687,201,625,1082,233,727,63,366,28,111,1415,81,21
2021-07-06,31043,8004,657,4558,1470,11803,299,370,766,166,3919,177,408,1122,372,687,201,625,1082,233,727,63,366,28,111,1415,81,21
2021-07-07,31171,8009,659,4576,1480,11822,300,369,766,166,3920,178,412,1124,377,690,201,625,1084,233,730,64,366,28,111,1423,81,21
2021-07-08,31171,8009,659,4576,1480,11822,300,369,766,166,3920,178,412,1124,377,690,201,625,1084,233,730,64,366,28,111,1423,81,21
2021-07-09,31247,8012,661,4583,1480,11825,302,369,767,168,3927,179,412,1125,391,699,201,625,1084,233,731,64,366,28,111,1426,81,21
2021-07-10,31247,8012,661,4583,1480,11825,302,369,767,168,3927,179,412,1125,391,699,201,625,1084,233,731,64,366,28,111,1426,81,21
2021-07-11,31247,8012,661,4583,1480,11825,302,369,767,168,3927,179,412,1125,391,699,201,625,1084,233,731,64,366,28,111,1426,81,21
2021-07-12,31333,8020,663,4610,1484,11833,306,370,767,172,3929,179,412,1126,402,704,201,626,1084,233,731,64,366,28,112,1434,81,21
2021-07-13,31333,8020,663,4610,1484,11833,306,370,767,172,3929,179,412,1126,402,704,201,626,1084,233,731,64,366,28,112,1434,81,21
2021-07-14,31464,8022,668,4632,1487,11856,308,370,770,174,3930,180,414,1126,431,712,201,626,1084,233,733,65,366,28,112,1445,81,21
2021-07-15,31464,8022,668,4632,1487,11856,308,370,770,174,3930,180,414,1126,431,712,201,626,1084,233,733,65,366,28,112,1445,81,21
2021-07-16,31588,8035,668,4676,1494,11868,313,370,770,177,3934,180,414,1132,470,732,201,628,1084,233,733,65,366,28,113,1450,81,23
2021-07-17,31588,8035,668,4676,1494,11868,313,370,770,177,3934,180,414,1132,470,732,201,628,1084,233,733,65,366,28,113,1450,81,23
2021-07-18,31588,8035,668,4676,1494,11868,313,370,770,177,3934,180,414,1132,470,732,201,628,1084,233,733,65,366,28,113,1450,81,23
2021-07-19,31844,8046,668,4730,1516,11894,315,371,772,181,3936,180,414,1140,506,749,201,630,1086,238,733,66,368,28,113,1451,81,24
2021-07-20,31844,8046,668,4730,1516,11894,315,371,772,181,3936,180,414,1140,506,749,201,630,1086,238,733,66,368,28,113,1451,81,24
2021-07-21,32010,8061,673,4801,1545,11937,325,371,772,181,3950,181,414,1151,575,777,202,630,1088,238,736,66,369,28,113,1455,81,24
2021-07-22,32010,8061,673,4801,1545,11937,325,371,772,181,3950,181,414,1151,575,777,202,630,1088,238,736,66,369,28,113,1455,81,24
2021-07-23,32165,8086,676,4842,1569,11972,326,371,779,181,3968,182,424,1161,640,799,202,633,1088,241,742,67,371,28,114,1461,81,24
2021-07-24,32165,8086,676,4842,1569,11972,326,371,779,181,3968,182,424,1161,640,799,202,633,1088,241,742,67,371,28,114,1461,81,24
2021-07-25,32165,8086,676,4842,1569,11972,326,371,779,181,3968,182,424,1161,640,799,202,633,1088,241,742,67,371,28,114,1461,81,24
2021-07-26,32403,8113,684,4922,1605,12018,331,372,782,181,3978,182,426,1186,681,827,203,633,1092,242,742,68,373,28,114,1465,82,24
2021-07-27,32403,8113,684,4922,1605,12018,331,372,782,181,3978,182,426,1186,681,827,203,633,1092,242,742,68,373,28,114,1465,82,24
2021-07-28,32618,8141,692,4960,1638,12054,332,375,791,181,4003,191,428,1194,711,859,204,635,1094,243,774,70,373,28,116,1468,86,24
2021-07-29,32618,8141,692,4960,1638,12054,332,375,791,181,4003,191,428,1194,711,859,204,635,1094,243,774,70,373,28,116,1468,86,24
2021-07-30,32820,8182,704,5051,1661,12107,332,376,794,181,4021,204,433,1203,751,887,205,636,1099,243,783,70,373,28,116,1482,85,26
2021-07-31,32820,8182,704,5051,1661,12107,332,376,794,181,4021,204,433,1203,751,887,205,636,1099,243,783,70,373,28,116,1482,85,26
2021-08-01,32820,8182,704,5051,1661,12107,332,376,794,181,4021,204,433,1203,751,887,205,636,1099,243,783,70,373,28,116,1482,85,26
2021-08-02,33159,8220,712,5148,1687,12191,343,378,796,181,4028,227,442,1223,781,899,206,660,1103,246,783,71,374,28,116,1484,85,28
2021-08-03,33289,8239,716,5193,1691,12202,344,380,796,182,4048,230,444,1236,793,900,206,671,1104,246,784,71,375,28,119,1491,86,28
2021-08-04,33433,8260,730,5236,1705,12238,345,382,797,182,4051,234,450,1258,804,907,206,673,1106,246,784,71,375,28,120,1491,86,32
2021-08-05,33515,8290,734,5381,1713,12270,350,385,798,182,4052,234,468,1276,809,922,206,673,1110,246,784,71,377,28,122,1491,86,34
2021-08-06,33659,8299,748,5423,1718,12321,353,385,798,182,4054,234,489,1292,811,928,208,679,1114,246,785,71,378,28,124,1492,86,34
2021-08-07,33659,8299,748,5423,1718,12321,353,385,798,182,4054,234,489,1292,811,928,208,679,1114,246,785,71,378,28,124,1492,86,34
2021-08-08,33659,8299,748,5423,1718,12321,353,385,798,182,4054,234,489,1292,811,928,208,679,1114,246,785,71,378,28,124,1492,86,34
2021-08-09,34057,8332,774,5514,1750,12425,356,387,800,183,4067,242,495,1314,839,940,212,689,1125,260,785,75,386,28,128,1503,86,34
2021-08-10,34143,8357,781,5549,1762,12445,360,388,805,188,4070,248,497,1318,849,948,213,689,1135,261,785,75,388,34,128,1504,86,34
2021-08-11,34277,8373,798,5582,1782,12513,363,388,807,189,4074,254,528,1334,851,948,214,690,1142,268,786,76,390,34,129,1504,86,35
2021-08-12,34458,8400,835,5620,1802,12533,364,392,808,191,4075,261,529,1352,856,952,215,693,1146,271,786,76,390,53,131,1506,86,36
