,District of Columbia
2021-01-23,35077
2021-01-24,35301
2021-01-25,35505
2021-01-26,35700
2021-01-27,35865
2021-01-28,36132
2021-01-29,36414
2021-01-30,36662
2021-01-31,36872
2021-02-01,37008
2021-02-02,37138
2021-02-03,37199
2021-02-04,37365
2021-02-05,37634
2021-02-06,37877
2021-02-07,38035
2021-02-08,38136
2021-02-09,38281
2021-02-10,38348
2021-02-11,38533
2021-02-12,38670
2021-02-13,38796
2021-02-14,38918
2021-02-15,39001
2021-02-16,39131
2021-02-17,39180
2021-02-18,39301
2021-02-19,39461
2021-02-20,39553
2021-02-21,39648
2021-02-22,39755
2021-02-23,39844
2021-02-24,39943
2021-02-25,40122
2021-02-26,40284
2021-02-27,40478
2021-02-28,40598
2021-03-01,40684
2021-03-02,40767
2021-03-03,40818
2021-03-04,41014
2021-03-05,41122
2021-03-06,41273
2021-03-07,41419
2021-03-08,41579
2021-03-09,41910
2021-03-10,42006
2021-03-11,42128
2021-03-12,42282
2021-03-13,42432
2021-03-14,42511
2021-03-15,42623
2021-03-16,42730
2021-03-17,42811
2021-03-18,42892
2021-03-19,43034
2021-03-20,43175
2021-03-21,43229
2021-03-22,43383
2021-03-23,43488
2021-03-24,43595
2021-03-25,43669
2021-03-26,43825
2021-03-27,44051
2021-03-28,44175
2021-03-29,44248
2021-03-30,44413
2021-03-31,44513
2021-04-01,44656
2021-04-02,44807
2021-04-03,44932
2021-04-04,45037
2021-04-05,45112
2021-04-06,45234
2021-04-07,45328
2021-04-08,45498
2021-04-09,45634
2021-04-10,45762
2021-04-11,45830
2021-04-12,45903
2021-04-13,46016
2021-04-14,46209
2021-04-15,46315
2021-04-16,46449
2021-04-17,46579
2021-04-18,46662
2021-04-19,46740
2021-04-20,46869
2021-04-21,46941
2021-04-22,47040
2021-04-23,47141
2021-04-24,47219
2021-04-25,47323
2021-04-26,47378
2021-04-27,47471
2021-04-28,47533
2021-04-29,47614
2021-04-30,47697
2021-05-01,47800
2021-05-02,47855
2021-05-03,47903
2021-05-04,47986
2021-05-05,48041
2021-05-06,48080
2021-05-07,48136
2021-05-08,48164
2021-05-09,48180
2021-05-10,48195
2021-05-11,48282
2021-05-12,48336
2021-05-13,48404
2021-05-14,48424
2021-05-15,48530
2021-05-16,48545
2021-05-17,48590
2021-05-18,48616
2021-05-19,48634
2021-05-20,48662
2021-05-21,48689
2021-05-22,48727
2021-05-23,48748
2021-05-24,48762
2021-05-25,48803
2021-05-26,48822
2021-05-27,48844
2021-05-28,48898
2021-05-29,48898
2021-05-30,48898
2021-05-31,48898
2021-06-01,49000
2021-06-02,49011
2021-06-03,49041
2021-06-04,49068
2021-06-05,49068
2021-06-06,49068
2021-06-07,49110
