,Beadle,Charles Mix,Davison,Minnehaha,Bon Homme,McCook,Brown,Codington,Hughes,Lyman,Pennington,Brookings,Lincoln,Meade,Aurora,Faulk,Lawrence,Todd,Union,Deuel,Hamlin,Hutchinson,Yankton,Clark,Clay,Fall River,Roberts,Turner,Marshall,Lake,Spink,Unknown,Oglala Lakota,Corson,Jerauld,Miner,Sanborn,Sully,Walworth,Hyde,Moody,Stanley,McPherson,Hand,Douglas,Buffalo,Day,Grant,Ziebach,Tripp,Jackson,Edmunds,Kingsbury,Gregory,Brule,Hanson,Custer,Dewey,Mellette,Bennett,Campbell,Haakon,Butte,Jones,Perkins,Potter,Harding
2020-03-10,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,1,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,1,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,1,1,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,1,1,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,1,1,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,4,1,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,4,1,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,4,1,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,10,1,2,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,12,1,2,5,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,13,1,2,5,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,13,1,2,13,1,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,14,1,2,16,1,2,2,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,16,1,2,18,1,2,2,1,1,1,3,1,2,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,16,1,2,21,1,2,2,2,1,1,3,1,3,1,1,1,2,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,20,1,2,25,1,2,2,4,1,1,4,1,4,1,1,1,3,1,1,1,1,2,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,20,1,2,28,1,2,3,5,1,1,5,1,4,1,1,1,5,1,1,1,1,2,4,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,20,1,2,31,1,2,3,5,1,1,5,1,5,1,1,1,6,1,1,1,1,2,6,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,21,1,2,40,1,2,4,5,2,1,5,2,11,1,1,1,6,1,1,1,1,2,8,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,21,1,3,54,1,2,6,6,3,1,6,2,17,1,1,1,9,1,3,1,1,2,10,1,3,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,21,1,3,68,1,2,7,8,3,1,6,2,19,1,1,1,9,1,3,1,1,2,11,1,3,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,21,2,3,81,1,2,9,9,3,1,6,3,21,1,1,1,9,1,3,1,1,2,14,1,3,1,4,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,21,2,3,104,1,2,9,10,3,1,6,3,23,1,1,1,9,1,3,1,1,2,14,1,3,1,4,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,21,2,3,140,2,2,13,11,3,1,6,4,24,1,1,1,9,1,3,1,1,2,18,1,3,1,4,4,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,21,2,3,165,2,2,13,12,3,2,6,6,27,1,1,1,9,1,3,1,1,2,15,1,6,1,4,4,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,21,2,3,228,3,2,13,12,3,2,6,6,31,1,1,1,9,1,3,1,1,2,17,1,6,1,4,5,1,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,21,2,3,274,3,2,14,12,4,2,7,6,33,1,1,1,9,1,3,1,1,2,18,1,6,1,4,5,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,22,3,3,352,3,2,14,12,4,2,8,7,38,1,1,1,9,1,3,1,1,2,19,1,6,1,4,5,1,2,3,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,21,3,3,438,3,2,14,12,4,2,8,6,39,1,1,1,9,1,4,1,1,2,20,1,6,1,4,5,1,2,3,,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,21,4,3,527,4,2,14,12,5,2,8,8,46,1,1,1,9,1,4,1,1,2,20,1,6,1,4,5,1,2,3,,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,21,4,3,654,4,2,14,12,5,2,9,9,50,1,1,1,9,1,5,1,1,2,22,1,5,1,4,5,1,2,3,,1,1,3,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,21,4,3,768,4,2,14,13,5,2,9,9,55,1,1,1,9,1,5,1,1,2,22,1,5,1,4,5,1,2,3,,1,1,3,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,21,4,3,934,4,3,15,13,5,2,9,9,65,1,1,1,9,1,4,1,1,2,22,1,5,1,4,5,1,2,3,,1,1,3,1,3,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,21,4,3,1065,4,3,15,13,5,2,10,9,71,1,1,1,9,1,4,1,2,2,23,1,5,1,4,5,1,3,3,,1,1,4,1,3,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,21,4,3,1157,4,3,17,13,5,2,10,9,77,1,1,1,9,1,4,1,2,2,23,1,5,1,4,5,1,3,3,,1,1,4,1,3,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,21,4,3,1276,4,3,18,13,5,2,10,9,86,1,1,1,9,1,5,1,2,2,23,1,5,1,4,5,1,3,3,,1,1,4,1,3,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,21,4,3,1362,4,3,20,13,5,2,10,9,90,1,1,1,9,1,6,1,2,2,23,1,5,1,4,6,1,3,3,,1,1,4,1,3,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,21,4,3,1405,4,3,20,13,5,2,11,9,95,1,1,1,9,1,7,1,2,2,23,1,5,1,4,6,1,3,3,,1,1,4,1,3,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,21,4,4,1469,4,3,20,13,5,2,11,9,99,1,1,1,9,1,7,1,2,2,23,1,5,1,4,6,1,3,3,,1,1,4,1,3,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,21,4,5,1555,4,3,27,13,6,2,11,9,104,1,1,1,9,1,7,1,2,2,23,1,5,1,4,9,1,3,3,,1,1,4,1,3,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,21,4,5,1636,4,4,28,13,7,2,11,9,110,1,1,1,9,1,8,1,2,2,25,1,5,1,4,13,1,3,3,,1,1,5,1,3,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,21,4,5,1707,4,4,28,14,7,2,11,9,116,1,1,1,9,1,11,1,2,2,25,1,5,1,4,13,1,4,3,,1,1,6,1,3,1,5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,21,4,5,1796,4,4,30,14,7,2,11,11,125,1,1,1,9,1,12,1,2,2,26,1,5,1,4,15,1,4,3,,1,1,6,1,3,1,5,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,21,4,6,1854,4,4,30,14,7,2,12,11,128,1,1,1,9,1,12,1,2,3,26,1,5,1,4,15,1,4,3,,1,1,6,1,3,1,5,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,21,4,6,1880,4,4,30,14,7,2,12,12,131,1,1,1,9,1,12,1,2,3,27,1,5,1,4,15,1,4,3,,1,1,6,1,3,1,5,1,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,21,4,6,1939,4,4,30,14,7,2,12,12,133,1,1,1,9,1,14,1,2,3,27,1,5,1,4,15,1,4,3,,1,1,6,1,3,1,5,1,3,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
2020-04-29,21,5,6,1984,4,4,32,14,7,3,12,12,138,1,1,1,9,1,17,1,2,3,27,1,6,1,4,15,1,4,3,,1,1,6,1,3,1,5,1,5,6,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
2020-04-30,21,5,6,2038,4,4,39,14,8,3,11,13,147,1,1,1,9,1,18,1,2,3,27,1,6,1,4,17,1,4,3,,1,1,6,1,3,1,5,1,5,7,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
2020-05-01,21,5,6,2089,4,4,42,14,9,3,13,13,153,1,1,1,9,2,21,1,2,3,27,1,6,1,8,17,1,4,3,,1,1,6,1,3,1,5,1,5,8,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,
2020-05-02,21,5,6,2123,4,4,51,14,13,3,13,13,156,1,1,1,9,3,27,1,2,3,27,1,6,1,9,17,1,4,3,,1,1,6,1,3,1,5,1,5,8,1,1,1,1,8,,,,,,,,,,,,,,,,,,,,
2020-05-03,21,5,6,2142,4,4,59,14,13,3,14,13,162,1,1,1,9,3,31,1,2,3,28,1,7,2,10,17,1,4,3,,1,1,6,1,3,1,5,1,6,8,1,1,1,1,8,,,,,,,,,,,,,,,,,,,,
2020-05-04,21,5,6,2170,4,4,65,15,13,3,14,13,163,1,1,1,9,3,32,1,2,3,28,1,7,2,10,17,1,4,3,,1,1,6,1,3,1,5,1,6,8,1,1,1,1,8,,,,,,,,,,,,,,,,,,,,
2020-05-05,21,5,7,2195,4,4,71,15,13,3,16,13,164,2,1,1,9,6,46,1,2,3,28,1,7,2,10,17,1,4,3,,1,1,6,1,3,1,5,1,6,8,1,1,1,1,8,,,,,,,,,,,,,,,,,,,,
2020-05-06,21,5,7,2231,4,4,76,15,13,3,16,14,170,2,1,1,9,7,46,1,2,3,29,1,7,2,11,18,1,4,3,,2,1,6,1,3,1,5,1,7,8,1,1,1,1,10,2,1,,,,,,,,,,,,,,,,,,
2020-05-07,21,5,7,2332,4,4,93,15,14,3,17,14,171,2,1,1,9,7,48,1,2,3,29,1,7,2,11,18,1,4,3,,1,1,6,1,3,1,5,1,11,8,1,1,1,1,10,2,1,,,,,,,,,,,,,,,,,,
2020-05-08,21,5,7,2535,4,4,107,15,15,3,18,14,180,3,1,1,9,8,50,1,2,3,29,2,9,2,11,18,1,5,3,,1,1,6,1,3,1,5,1,14,8,1,1,1,1,10,2,1,,,,,,,,,,,,,,,,,,
2020-05-09,21,5,7,2767,4,4,110,15,15,3,19,14,186,3,1,1,9,8,53,1,2,3,29,2,9,2,13,18,1,5,4,,1,1,6,1,3,1,5,1,14,9,1,1,1,1,10,2,1,,,,,,,,,,,,,,,,,,
2020-05-10,21,5,7,2867,4,4,120,15,15,3,26,14,188,3,2,1,9,9,53,1,2,3,30,2,9,2,14,18,1,5,4,,1,1,6,1,3,1,5,1,14,9,1,1,1,1,10,3,1,,,,,,,,,,,,,,,,,,
2020-05-11,21,5,7,2952,4,4,127,15,15,3,27,14,191,4,2,1,9,10,53,1,2,3,30,2,9,2,14,18,1,5,4,,1,1,6,1,3,1,5,1,14,8,1,1,1,1,10,3,1,,,,,,,,,,,,,,,,,,
2020-05-12,22,5,8,2978,4,5,132,15,15,3,32,14,190,4,2,1,9,13,56,1,2,3,31,3,10,2,14,18,1,5,4,,1,2,6,1,3,1,5,1,15,8,1,1,1,1,10,3,1,,,,,,,,,,,,,,,,,,
2020-05-13,22,6,8,3017,4,5,143,16,15,3,36,14,193,5,2,1,9,14,56,1,2,3,33,3,11,2,14,18,1,5,4,,3,2,6,1,3,1,5,1,17,8,1,1,1,1,10,4,1,,,,,,,,,,,,,,,,,,
2020-05-14,22,7,9,3050,4,5,154,16,15,4,40,14,195,5,2,1,9,13,57,1,2,3,34,4,11,2,17,18,1,5,4,,3,2,6,1,3,1,5,1,17,8,1,1,1,1,10,5,1,1,,,,,,,,,,,,,,,,,
2020-05-15,22,8,9,3101,4,5,173,16,16,4,43,14,198,5,2,1,9,15,57,1,2,3,38,4,12,2,18,19,1,5,4,,6,3,6,1,4,1,5,1,17,9,1,1,1,1,10,7,1,1,,,,,,,,,,,,,,,,,
2020-05-16,30,8,9,3119,4,5,194,16,16,4,49,14,201,5,2,1,9,16,60,1,2,3,40,4,14,2,19,19,1,5,4,,9,3,6,1,5,1,5,1,17,9,1,1,1,1,10,9,1,2,,,,,,,,,,,,,,,,,
2020-05-17,31,9,9,3135,4,5,196,17,16,4,52,14,200,5,3,1,9,16,60,1,3,3,40,4,15,2,19,19,1,5,4,,10,3,6,1,5,1,5,1,17,9,1,1,1,1,11,9,1,2,,,,,,,,,,,,,,,,,
2020-05-18,37,9,9,3150,5,5,200,17,16,4,58,14,201,5,3,1,9,17,62,1,3,3,41,4,15,2,19,19,1,5,4,,10,4,6,1,6,1,5,1,18,9,1,1,1,1,11,9,1,2,,,,,,,,,,,,,,,,,
2020-05-19,43,10,9,3165,4,5,205,17,17,6,74,14,205,5,3,1,9,17,62,1,3,3,42,4,15,3,20,21,3,5,4,,10,4,6,1,6,1,5,1,18,9,1,1,1,3,11,9,1,2,,,,,,,,,,,,,,,,,
2020-05-20,68,10,9,3182,4,5,211,17,17,9,85,14,209,5,8,1,9,17,68,1,3,3,44,4,15,4,20,22,3,5,4,,14,4,10,1,7,1,5,1,18,9,1,1,1,5,11,9,1,2,,,,,,,,,,,,,,,,,
2020-05-21,68,10,9,3182,4,5,211,17,17,9,85,14,209,5,8,1,9,17,68,1,3,3,44,4,15,4,20,22,3,5,4,,14,4,10,1,7,1,5,1,18,9,1,1,1,5,11,9,1,2,,,,,,,,,,,,,,,,,
2020-05-22,98,11,9,3211,5,5,235,25,17,10,127,14,218,6,20,1,9,17,73,1,3,3,45,4,15,4,22,22,4,5,4,,15,4,16,1,8,1,5,1,18,9,1,1,1,7,11,10,1,3,,,,,,,,,,,,,,,,,
2020-05-23,118,12,9,3248,6,5,244,29,17,11,138,15,225,7,22,1,9,17,75,1,3,3,46,4,15,4,23,22,4,5,4,,17,4,19,1,9,1,5,1,18,9,1,1,2,9,12,10,1,6,,,,,,,,,,,,,,,,,
2020-05-24,131,13,9,3260,8,5,249,32,19,12,152,15,229,10,22,1,9,18,79,1,4,3,51,4,15,4,35,22,4,6,4,,17,4,28,1,10,1,5,1,18,9,1,1,2,9,12,10,1,6,1,,,,,,,,,,,,,,,,
2020-05-25,132,13,9,3274,8,5,249,32,19,12,156,15,230,10,22,1,9,18,79,1,4,3,51,4,15,4,35,23,4,6,4,,17,4,28,1,11,1,5,1,18,9,1,1,3,9,12,10,1,6,1,,,,,,,,,,,,,,,,
2020-05-26,150,13,10,3289,8,5,259,33,19,12,162,15,233,10,22,1,9,20,86,1,4,4,51,4,15,4,35,23,4,6,4,,17,4,29,1,11,1,5,1,18,9,1,1,3,9,12,11,1,6,2,,,,,,,,,,,,,,,,
2020-05-27,163,14,11,3300,8,5,261,34,19,13,172,15,236,10,22,1,9,22,87,1,4,4,51,4,15,4,39,24,4,6,4,,20,4,30,1,11,1,5,1,18,10,1,1,3,9,13,11,1,6,2,,,,,,,,,,,,,,,,
2020-05-28,190,16,13,3317,8,5,266,35,19,14,186,15,237,10,23,1,9,23,88,1,4,4,51,4,15,4,39,24,4,7,4,,21,4,33,1,12,1,5,1,19,10,1,2,3,10,13,11,1,6,3,,,,,,,,,,,,,,,,
2020-05-29,222,16,14,3330,8,5,269,35,19,13,201,16,236,13,23,1,11,23,88,1,4,4,51,4,15,4,35,24,4,8,5,,21,4,34,1,12,1,5,1,19,10,1,2,3,12,13,13,1,6,3,1,1,,,,,,,,,,,,,,
