,Suffolk,Norfolk,Middlesex,Berkshire,Worcester,Essex,Barnstable,Bristol,Hampden,Plymouth,Unknown,Franklin,Hampshire,Nantucket,Dukes
2020-03-11,20,22,41,9,2,1,,,,,,,,,
2020-03-12,22,24,49,9,2,2,,,,,,,,,
2020-03-13,26,24,60,9,2,2,,,,,,,,,
2020-03-14,27,28,65,9,2,5,1,1,,,,,,,
2020-03-15,31,31,75,9,6,6,1,1,1,3,,,,,
2020-03-16,42,36,83,11,8,7,1,2,1,5,1,,,,
2020-03-17,42,43,89,14,8,8,2,5,1,5,1,,,,
2020-03-18,51,45,100,17,10,14,2,5,2,5,4,1,,,
2020-03-19,72,52,119,18,14,19,5,6,3,5,13,1,1,,
2020-03-20,87,64,144,20,19,29,9,6,3,11,18,1,2,,
2020-03-21,108,69,177,21,24,41,11,14,9,20,26,2,2,1,
2020-03-22,126,75,199,23,37,60,24,24,12,25,34,2,4,1,
2020-03-23,154,82,232,26,42,73,30,25,15,32,57,2,6,1,
2020-03-24,234,129,304,37,73,118,40,31,24,64,90,5,8,2,
2020-03-25,342,222,446,71,129,177,51,67,45,101,159,14,11,2,1
2020-03-26,448,292,538,73,166,247,67,90,55,138,267,16,17,2,1
2020-03-27,631,393,685,105,219,350,100,129,90,187,304,24,20,2,1
2020-03-28,843,490,842,119,291,472,133,179,183,272,358,39,30,5,1
2020-03-29,940,548,981,151,337,570,148,208,201,325,462,41,37,5,1
2020-03-30,1115,628,1141,162,390,653,173,263,255,380,491,49,46,5,1
2020-03-31,1373,738,1340,171,433,784,191,306,354,459,335,61,69,5,1
2020-04-01,1624,829,1582,183,563,885,255,366,475,561,256,72,81,5,1
2020-04-02,1896,938,1870,213,667,1039,283,424,546,621,270,85,102,7,5
2020-04-03,2183,1045,2202,240,825,1238,314,517,661,745,213,89,114,9,7
2020-04-04,2429,1199,2468,253,915,1400,330,601,733,898,274,95,125,9,7
2020-04-05,2658,1271,2632,258,978,1506,347,659,768,963,215,100,128,9,8
2020-04-06,2929,1382,2950,268,1077,1653,383,722,889,1067,246,107,147,9,8
2020-04-07,3245,1592,3187,278,1172,1841,405,768,997,1194,229,118,158,9,9
2020-04-08,3600,1778,3545,281,1296,2103,423,835,1081,1327,223,117,164,9,8
2020-04-09,4041,2007,4045,304,1461,2336,444,994,1276,1507,203,128,177,9,9
2020-04-10,4534,2216,4447,329,1678,2670,464,1086,1394,1677,129,135,194,9,12
2020-04-11,4926,2395,4872,336,1822,2896,480,1191,1545,1809,225,138,204,9,12
2020-04-12,5359,2649,5660,350,2032,3170,501,1327,1647,2024,373,143,219,9,12
2020-04-13,5579,2838,5983,355,2128,3413,502,1394,1694,2141,447,148,224,9,12
2020-04-14,5872,2969,6254,360,2246,3594,514,1435,1798,2207,506,155,233,9,11
2020-04-15,6279,3122,6681,370,2350,3894,530,1508,1885,2308,572,160,239,9,11
2020-04-16,6820,3342,7206,382,2503,4245,550,1605,1985,2466,638,170,248,9,12
2020-04-17,7272,3499,7744,383,2765,4584,573,1659,2134,2577,760,173,258,9,12
2020-04-18,7696,3659,8297,385,2952,4914,590,1698,2254,2688,733,177,306,9,14
2020-04-19,8074,3789,8737,387,3069,5153,632,1731,2337,2832,815,181,317,9,14
2020-04-20,8314,3960,9253,387,3179,5296,664,1779,2438,2976,855,187,332,9,14
2020-04-21,8669,4062,9621,404,3341,5521,672,1852,2533,3043,929,192,337,9,14
2020-04-22,9060,4212,10094,404,3456,5783,678,1908,2678,3253,854,196,345,9,14
2020-04-23,9739,4541,10724,418,3798,6219,708,2181,2836,3529,737,203,367,9,14
2020-04-24,10724,4979,11681,425,4227,6841,747,2697,3060,4160,791,217,396,9,15
2020-04-25,11218,5172,12253,425,4460,7212,756,2829,3229,4380,753,225,412,9,15
2020-04-26,11543,5288,12648,428,4572,7489,772,2923,3295,4495,807,226,427,10,15
2020-04-27,11883,5398,12953,428,4744,7708,798,3068,3381,4607,795,231,443,10,15
2020-04-28,12140,5567,13417,430,4999,7972,820,3270,3546,4744,625,237,509,11,15
2020-04-29,12539,5700,13799,440,5300,8380,842,3429,3698,4871,457,252,531,11,16
2020-04-30,12890,5896,14208,442,5550,8673,860,3580,3777,5083,415,257,546,11,17
2020-05-01,13295,6065,14607,444,5787,9028,902,3792,3900,5259,425,260,518,11,18
2020-05-02,13606,6187,15048,448,6129,9362,937,3916,4003,5409,377,263,549,11,18
2020-05-03,13777,6280,15370,451,6288,9542,946,4019,4066,5507,981,269,559,11,21
2020-05-04,13941,6382,15757,453,6471,9773,961,4103,4114,5602,662,273,563,11,21
2020-05-05,14173,6466,15980,457,6597,9979,969,4235,4203,5736,594,275,575,11,21
2020-05-06,14476,6610,16327,461,6992,10344,997,4380,4321,5899,326,278,580,12,22
