,Jefferson,Orleans,Caddo,St. Charles,St. Tammany,Terrebonne,Bossier,Lafourche,St. John the Baptist,St. Bernard,Ascension,East Baton Rouge,Washington,Unknown,Assumption,Calcasieu,Iberia,Iberville,Lafayette,Livingston,Plaquemines,St. James,St. Landry,Webster,West Baton Rouge,Catahoula,De Soto,Rapides,Tangipahoa,Avoyelles,Beauregard,Bienville,Claiborne,Evangeline,Ouachita,St. Mary,Acadia,Allen,Grant,Lincoln,Natchitoches,Richland,St. Martin,Vernon,Jackson,Jefferson Davis,Morehouse,Union,Winn,East Feliciana,LaSalle,Madison,Pointe Coupee,Vermilion,West Feliciana,East Carroll,Franklin,Red River,Sabine,Concordia,St. Helena,Caldwell,West Carroll,Cameron,Tensas
2020-06-21,8681,7518,2905,689,2017,848,665,1010,924,601,997,4374,581,120,327,888,469,665,1396,683,239,334,465,321,234,152,316,1320,1120,204,158,200,106,123,1960,384,654,226,76,274,192,148,514,76,189,208,186,375,226,268,86,317,222,130,226,332,416,54,61,101,86,95,107,27,24
2020-06-22,8741,7536,2920,691,2043,857,668,1027,926,601,1008,4398,585,121,330,921,482,666,1440,690,239,334,484,323,234,153,318,1323,1123,206,159,200,106,125,1980,393,669,228,76,274,192,150,526,77,191,240,188,378,226,271,86,320,224,139,226,339,421,54,61,102,86,97,108,28,24
2020-06-23,8888,7571,2953,697,2096,866,697,1034,928,599,1044,4514,596,121,334,971,531,674,1574,751,244,338,517,352,232,154,320,1358,1163,238,165,209,108,139,2022,405,705,256,78,281,193,152,581,89,194,247,213,391,230,273,87,320,225,172,241,357,443,53,66,105,88,99,107,35,24
2020-06-24,9003,7610,2995,699,2131,874,720,1056,930,601,1070,4637,607,121,334,1010,535,677,1654,768,245,338,530,361,239,154,324,1408,1184,254,168,210,109,140,2066,410,726,257,81,290,197,155,586,91,202,250,216,395,230,276,88,322,226,175,241,381,447,54,66,105,88,102,111,36,24
2020-06-25,9074,7638,3096,713,2166,884,751,1064,936,602,1094,4724,615,123,334,1061,570,689,1723,794,248,340,540,368,243,157,327,1423,1218,277,173,210,110,146,2125,415,745,257,81,294,213,160,606,96,203,283,218,398,231,285,88,324,229,185,241,385,448,54,67,105,88,102,111,36,24
2020-06-26,9169,7681,3161,726,2211,931,780,1071,939,605,1115,4833,625,124,338,1138,610,692,1862,814,252,345,578,391,243,160,329,1453,1248,294,184,211,114,168,2199,426,783,274,82,300,231,168,638,107,206,316,227,405,238,288,90,331,231,220,241,425,455,56,76,106,89,103,114,38,24
2020-06-27,9169,7681,3161,726,2211,931,780,1071,939,605,1115,4833,625,124,338,1138,610,692,1862,814,252,345,578,391,243,160,329,1453,1248,294,184,211,114,168,2199,426,783,274,82,300,231,168,638,107,206,316,227,405,238,288,90,331,231,220,241,425,455,56,76,106,89,103,114,38,24
2020-06-28,9342,7760,3211,736,2288,988,825,1097,952,607,1146,4963,647,124,343,1205,636,699,1972,846,257,349,605,402,248,188,336,1498,1273,308,191,220,114,173,2267,443,812,284,82,312,280,175,661,111,209,328,236,412,241,298,91,347,234,229,242,427,464,60,77,107,89,103,115,40,24
2020-06-29,9403,7796,3260,741,2327,1011,836,1119,960,611,1157,5034,663,119,351,1257,673,702,2058,860,260,351,619,409,252,190,341,1499,1295,309,193,220,116,177,2331,457,850,287,83,314,280,183,685,116,212,339,237,417,242,299,96,352,237,238,242,432,468,60,77,110,90,104,118,40,24
2020-06-30,9489,7851,3309,759,2308,1030,875,1149,970,617,1171,5123,678,110,352,1300,697,711,2158,903,261,367,626,418,258,190,348,1536,1304,319,201,227,120,192,2392,469,878,304,84,323,280,188,712,138,211,349,235,422,242,297,97,356,245,251,246,440,467,60,82,111,97,104,124,46,26
2020-07-01,9637,7919,3418,778,2371,1068,906,1177,976,621,1213,5350,691,111,357,1729,748,719,2359,983,270,375,653,423,264,190,349,1578,1353,341,214,227,120,201,2474,489,919,310,86,329,295,195,727,153,213,370,239,433,244,300,97,362,256,265,246,445,471,62,89,111,99,105,134,53,26
2020-07-02,9712,7960,3520,780,2440,1094,947,1201,982,629,1246,5531,700,113,364,1852,792,732,2472,1025,272,377,672,426,278,192,357,1597,1394,375,228,230,122,202,2537,514,945,316,90,338,297,202,750,159,216,399,242,437,247,302,99,371,264,273,246,445,475,62,90,113,103,105,138,54,26
2020-07-03,9874,8031,3598,789,2509,1147,971,1248,1000,641,1278,5684,705,115,373,2000,844,740,2645,1102,273,390,716,431,290,194,361,1653,1462,378,231,233,125,216,2591,550,968,321,93,344,319,204,779,164,219,419,248,441,248,308,101,383,274,297,247,444,483,62,94,117,103,106,141,56,26
2020-07-04,9874,8031,3598,789,2509,1147,971,1248,1000,641,1278,5684,705,115,373,2000,844,740,2645,1102,273,390,716,431,290,194,361,1653,1462,378,231,233,125,216,2591,550,968,321,93,344,319,204,779,164,219,419,248,441,248,308,101,383,274,297,247,444,483,62,94,117,103,106,141,56,26
2020-07-05,10024,8107,3706,796,2615,1228,1007,1284,1011,646,1331,5874,720,116,381,2153,902,752,2800,1156,278,404,763,434,309,195,369,1678,1513,386,247,233,128,228,2667,576,1016,344,94,350,327,211,824,179,221,461,250,443,254,310,104,393,289,326,247,445,501,64,98,118,103,112,149,58,26
2020-07-06,10097,8143,3740,802,2657,1277,1030,1304,1015,650,1358,5978,726,116,383,2289,978,754,2917,1181,280,410,797,437,310,198,371,1689,1541,390,259,234,128,234,2694,600,1042,354,94,353,330,215,846,187,221,482,251,445,258,310,104,393,296,359,247,447,501,64,99,118,104,112,152,57,27
2020-07-07,10272,8206,3835,816,2738,1309,1099,1339,1024,659,1412,6231,754,141,390,2408,995,759,3000,1267,288,413,850,448,326,204,390,1759,1624,402,269,244,133,247,2730,616,1068,368,103,354,334,217,897,217,220,507,254,447,263,329,109,393,308,381,252,446,502,65,120,126,113,113,155,85,28
2020-07-08,10452,8287,3946,828,2844,1372,1142,1386,1037,668,1441,6336,765,108,399,2701,1050,779,3127,1305,291,418,887,459,336,206,394,1823,1689,418,274,248,135,261,2794,632,1094,387,104,366,340,242,915,223,221,521,256,452,270,338,111,401,314,425,252,449,508,66,130,128,114,117,158,89,30
2020-07-09,10544,8344,4055,834,2908,1415,1177,1422,1049,678,1480,6468,778,108,404,2797,1157,786,3293,1344,294,432,944,490,342,210,408,1870,1742,447,291,254,140,282,2849,664,1166,410,115,383,362,249,939,237,221,549,265,463,273,343,115,406,329,467,254,451,527,69,157,134,116,118,161,93,30
2020-07-10,10812,8476,4213,854,3004,1535,1219,1479,1063,689,1532,6747,812,110,410,2975,1181,816,3493,1424,298,439,1023,513,356,211,422,1909,1802,460,319,258,144,306,2988,704,1232,432,122,401,376,257,963,247,230,574,273,471,283,351,116,411,342,493,257,453,538,72,181,140,117,121,166,97,32
2020-07-11,10995,8598,4276,866,3101,1588,1254,1531,1076,702,1564,6989,824,112,415,3061,1228,820,3707,1484,306,441,1080,528,371,214,423,1978,1874,475,350,261,147,322,3079,741,1297,444,124,432,401,272,999,263,234,597,282,474,287,354,120,415,371,532,261,454,554,78,194,147,120,126,169,97,32
2020-07-12,11100,8665,4323,871,3169,1661,1274,1567,1081,706,1597,7100,839,112,424,3127,1272,831,3834,1528,310,444,1128,535,378,215,431,2001,1894,482,361,265,149,332,3120,762,1339,467,128,438,403,283,1021,277,235,606,283,476,290,355,121,428,377,542,261,456,558,80,210,151,121,128,176,100,32
2020-07-13,11256,8745,4413,882,3257,1734,1315,1612,1097,721,1622,7300,852,115,430,3236,1337,844,3988,1565,315,454,1159,542,392,215,434,2019,1914,489,367,266,150,334,3175,801,1383,480,133,442,406,290,1050,288,236,624,291,478,292,362,125,436,393,568,261,456,568,91,220,154,122,128,176,100,35
2020-07-14,11450,8846,4522,903,3342,1750,1370,1677,1098,738,1655,7421,871,108,432,3435,1408,857,4216,1645,322,465,1198,554,415,217,449,2059,2020,512,375,272,154,359,3214,843,1453,497,136,460,433,294,1110,301,243,640,294,483,295,361,125,441,413,609,275,463,575,96,236,153,145,124,173,115,35
2020-07-15,11614,8946,4606,913,3395,1824,1403,1721,1106,754,1710,7606,883,112,435,3705,1472,871,4352,1685,327,474,1243,564,427,218,461,2104,2081,549,385,275,156,372,3296,901,1510,514,142,468,443,302,1129,319,247,680,300,488,299,374,130,448,430,655,276,463,580,98,242,159,145,127,173,117,37
2020-07-16,11836,9052,4681,929,3474,1901,1432,1795,1115,774,1755,7830,904,113,439,3864,1524,887,4520,1721,332,483,1308,576,439,220,468,2159,2142,565,414,278,159,403,3388,959,1574,554,145,473,454,332,1149,322,252,705,308,491,308,383,135,454,450,689,278,476,595,112,261,167,147,129,182,119,38
