,Bergen,Camden,Passaic,Hudson,Monmouth,Union,Burlington,Middlesex,Essex,Morris,Unknown,Ocean,Mercer,Hunterdon,Somerset,Gloucester,Warren,Atlantic,Cape May,Sussex,Cumberland,Salem
2020-04-08,314,22,71,122,86,125,17,139,276,102,4,101,28,2,46,7,9,4,3,21,2,3
2020-04-09,345,23,82,132,98,145,21,152,312,117,12,119,36,4,59,8,7,4,3,21,3,3
2020-04-10,390,29,101,163,107,161,22,168,352,135,2,121,39,7,69,8,15,6,5,26,3,3
2020-04-11,435,29,119,183,115,195,22,177,412,152,2,132,49,11,78,9,18,7,5,27,3,3
2020-04-12,453,32,131,226,123,209,23,193,428,162,2,138,50,11,79,9,22,8,9,35,3,4
2020-04-13,482,35,136,236,127,217,24,204,433,162,2,141,53,11,85,9,24,8,9,38,3,4
2020-04-14,550,41,156,277,145,238,28,216,535,192,2,149,71,11,91,11,25,11,10,39,3,4
2020-04-15,608,49,182,312,167,269,45,248,590,212,2,166,76,14,101,14,30,13,10,41,3,4
2020-04-16,668,60,211,365,190,301,52,278,642,216,3,185,87,15,121,18,33,13,10,43,3,4
2020-04-17,714,64,221,420,206,330,54,309,684,232,3,201,101,16,135,22,36,17,14,54,3,4
2020-04-18,741,73,243,434,221,356,57,313,732,255,2,212,110,17,146,23,39,19,14,55,4,4
2020-04-19,767,74,250,452,226,372,58,329,740,257,0,217,113,18,158,24,44,19,14,62,4,4
2020-04-20,787,81,263,492,230,387,61,345,751,269,1,222,122,18,170,25,47,19,15,64,4,4
2020-04-21,835,89,294,525,244,427,66,360,849,291,0,253,133,19,176,27,48,22,16,69,5,5
2020-04-22,876,94,327,568,251,481,68,369,888,309,2,270,145,21,183,29,55,24,16,76,5,6
2020-04-23,907,104,350,606,260,515,76,396,932,324,2,286,163,22,196,30,60,30,16,82,5,6
2020-04-24,934,106,383,640,273,542,81,413,975,340,0,301,178,22,198,30,61,29,16,84,5,6
2020-04-25,954,118,416,655,287,563,88,431,1019,347,0,317,183,23,219,30,63,29,18,91,6,6
2020-04-26,955,121,426,661,291,571,94,442,1023,351,0,322,188,23,223,31,65,29,18,92,6,6
2020-04-27,960,122,438,673,302,583,98,455,1028,355,0,330,194,23,227,33,67,30,18,93,8,7
2020-04-28,1002,124,475,722,305,627,106,515,1090,377,0,342,212,24,242,38,71,35,20,97,10,8
2020-04-29,1057,136,516,758,317,653,117,531,1139,387,0,367,220,23,252,40,81,37,21,99,10,9
2020-04-30,1136,147,573,798,341,690,130,571,1186,413,0,397,231,29,270,46,82,41,22,103,12,10
2020-05-01,1187,155,599,819,355,714,144,591,1240,430,0,420,239,31,282,48,83,45,22,110,13,11
2020-05-02,1202,161,624,834,372,731,146,618,1265,440,0,426,252,35,289,50,84,48,23,114,16,12
