,Ada,Blaine,Teton,Madison,Twin Falls,Bingham,Canyon,Kootenai,Valley,Bannock,Cassia,Fremont,Idaho,Jefferson,Nez Perce,Payette,Custer,Unknown,Gem,Bonneville,Lincoln,Owyhee,Bonner,Elmore,Jerome,Minidoka,Adams,Camas,Gooding,Latah,Washington,Caribou,Power,Lemhi,Benewah,Franklin,Boise,Boundary,Clearwater,Bear Lake,Oneida,Shoshone,Lewis,Clark,Butte
2020-04-04,385,410,4,4,37,2,99,40,2,5,4,1,2,3,13,5,2,,7,5,9,2,2,11,13,3,1,1,1,1,1,1,,,,,,,,,,,,,
2020-04-05,402,410,4,4,37,2,101,42,2,5,4,1,2,4,13,6,2,,7,6,9,2,2,11,13,3,1,1,1,1,1,1,,,,,,,,,,,,,
2020-04-06,419,423,5,4,53,2,104,43,2,5,5,2,3,4,15,6,2,,8,6,12,2,3,12,18,3,1,1,3,2,1,1,,,,,,,,,,,,,
2020-04-07,438,428,5,4,53,2,114,42,2,5,5,2,3,4,17,6,2,,8,7,12,2,3,14,18,3,1,1,3,2,1,1,2,,,,,,,,,,,,
2020-04-08,447,428,6,4,55,2,121,42,2,5,5,2,3,4,18,6,2,,8,7,12,2,3,14,19,3,1,1,4,2,1,1,2,,,,,,,,,,,,
2020-04-09,496,446,6,7,73,2,139,42,2,5,6,2,3,5,21,8,2,,8,11,14,4,3,16,24,7,1,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-10,516,453,6,9,76,2,145,44,2,6,7,2,3,5,21,8,2,,9,17,14,4,4,16,32,8,1,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-11,521,455,6,8,80,2,146,44,2,6,7,2,3,5,21,8,2,,9,18,14,4,4,16,33,8,1,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-12,521,455,6,8,85,2,155,45,2,6,8,2,3,5,21,8,2,,9,19,15,4,4,16,33,9,1,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-13,539,463,6,8,86,2,161,45,2,6,9,2,3,5,23,9,2,,10,22,15,4,4,16,34,9,1,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-14,557,463,7,8,89,2,169,45,2,8,9,2,3,5,26,9,2,,10,24,15,4,4,18,34,9,1,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-15,567,469,7,8,99,2,181,48,2,8,9,2,3,5,27,10,2,,10,24,15,4,4,18,38,9,1,1,7,3,1,1,2,,,,,,,,,,,,
2020-04-16,576,473,7,8,100,3,181,49,2,8,10,2,3,5,29,10,2,,10,24,15,4,4,18,41,9,1,1,7,3,1,1,2,,,,,,,,,,,,
2020-04-17,593,475,8,8,110,3,187,50,2,8,10,2,3,5,30,10,2,,10,24,16,4,4,21,44,10,1,1,7,3,1,1,2,,,,,,,,,,,,
2020-04-18,598,475,8,8,115,3,187,50,2,8,10,2,3,5,30,10,2,,10,24,17,4,4,22,44,10,1,1,8,3,1,1,2,,,,,,,,,,,,
2020-04-19,598,476,8,8,117,3,187,51,2,8,10,2,3,5,30,10,2,,10,24,17,4,4,22,44,10,1,1,8,3,1,1,2,,,,,,,,,,,,
2020-04-20,616,478,8,8,123,3,207,52,2,8,11,2,3,5,40,11,2,,10,24,17,4,4,24,44,10,3,1,8,4,1,1,2,,,,,,,,,,,,
2020-04-21,622,480,8,8,132,3,212,53,2,8,11,2,3,5,44,11,2,,10,24,18,5,4,25,44,10,3,1,8,4,1,1,2,,,,,,,,,,,,
2020-04-22,630,484,8,8,138,3,215,56,2,8,12,2,3,5,45,11,2,,10,28,20,6,4,28,44,10,3,1,8,4,1,1,2,,,,,,,,,,,,
2020-04-23,635,485,8,8,139,3,222,59,2,8,12,2,3,5,55,11,2,,11,28,21,6,4,32,44,10,3,1,9,4,1,1,2,,,,,,,,,,,,
2020-04-24,642,489,8,8,149,3,226,59,2,8,12,2,3,5,58,13,2,,11,28,21,8,4,32,45,10,3,1,9,4,2,1,2,,,,,,,,,,,,
2020-04-25,650,490,8,8,152,3,231,59,2,8,12,2,3,5,58,13,2,,12,28,22,8,4,29,46,10,3,1,9,4,1,1,2,1,,,,,,,,,,,
2020-04-26,650,492,8,8,156,3,233,61,2,8,12,2,3,5,58,13,2,,12,28,22,8,4,29,46,10,3,1,9,4,1,1,2,1,,,,,,,,,,,
2020-04-27,661,493,8,9,157,3,238,61,2,8,12,2,3,5,59,14,2,,12,26,23,8,4,29,46,10,3,1,9,4,1,1,2,1,,,,,,,,,,,
2020-04-28,662,497,9,9,165,3,250,61,2,10,12,2,3,5,59,14,2,,12,27,24,8,4,30,48,11,3,1,9,5,1,1,2,1,,,,,,,,,,,
2020-04-29,671,498,9,10,170,4,252,61,2,11,12,2,3,5,60,16,2,,12,28,27,8,4,30,51,11,3,1,11,5,1,1,2,1,,,,,,,,,,,
2020-04-30,681,498,9,11,181,4,255,62,2,11,13,2,3,5,60,16,2,,13,28,27,8,4,30,54,11,3,1,12,5,1,1,2,1,,,,,,,,,,,
2020-05-01,689,497,9,11,191,4,259,62,2,11,13,2,3,5,60,16,2,,13,28,27,8,4,30,54,10,3,1,11,5,1,1,2,1,,,,,,,,,,,
2020-05-02,705,497,9,12,196,4,258,62,2,11,13,2,3,5,60,16,2,,13,28,29,8,4,30,55,11,3,1,12,5,1,1,2,1,,,,,,,,,,,
2020-05-03,705,497,9,12,196,4,258,62,2,11,13,2,3,5,60,16,2,,13,28,29,8,4,30,55,10,3,1,11,5,1,1,2,1,,,,,,,,,,,
2020-05-04,710,498,9,12,208,4,266,62,2,11,13,2,3,5,74,17,2,,14,28,29,8,4,30,57,11,3,1,13,5,1,1,2,1,,,,,,,,,,,
2020-05-05,713,499,10,13,218,4,266,62,2,11,13,3,3,5,74,17,2,,14,28,29,8,4,30,61,11,3,1,13,5,1,1,2,1,,,,,,,,,,,
2020-05-06,717,499,10,13,231,4,270,62,2,12,13,3,3,5,78,17,2,,14,28,29,8,4,31,64,11,3,1,14,5,1,1,2,1,,,,,,,,,,,
2020-05-07,721,499,10,16,239,4,272,62,2,12,13,3,3,5,78,17,2,,14,28,29,8,4,31,65,11,3,1,16,5,1,1,2,1,,,,,,,,,,,
2020-05-08,731,499,10,16,248,4,272,63,2,12,14,3,3,5,78,17,2,,16,30,29,8,4,31,67,11,3,1,16,5,1,1,2,1,,,,,,,,,,,
2020-05-09,733,503,11,17,259,4,272,63,2,12,15,3,3,5,78,17,2,,16,30,29,8,4,31,71,11,3,1,17,5,1,1,2,1,,,,,,,,,,,
2020-05-10,733,503,11,19,259,4,272,63,2,12,15,3,3,5,78,17,2,,16,30,29,8,4,31,71,11,3,1,17,5,1,1,2,1,,,,,,,,,,,
2020-05-11,739,506,11,19,269,4,274,64,2,13,15,3,3,5,78,17,2,,16,30,29,8,4,31,75,11,3,1,18,5,2,1,2,1,,,,,,,,,,,
2020-05-12,744,506,11,19,280,4,274,64,2,13,15,3,3,5,79,17,2,,16,30,29,8,4,31,81,12,3,1,20,5,8,1,3,1,,,,,,,,,,,
2020-05-13,754,507,11,19,288,6,275,64,2,13,16,3,3,5,79,17,2,,16,30,29,8,4,31,84,13,3,1,21,6,10,1,3,1,,,,,,,,,,,
2020-05-14,759,507,11,19,298,6,276,64,2,13,16,3,3,5,79,19,2,,16,30,29,8,4,31,87,15,3,1,22,6,13,1,3,1,,,,,,,,,,,
2020-05-15,770,508,11,18,310,6,277,64,2,14,16,3,3,6,79,20,2,,16,30,29,8,4,31,88,15,3,1,24,6,20,1,3,1,,,,,,,,,,,
2020-05-16,773,508,11,19,318,6,277,65,2,14,18,3,3,7,79,20,2,,16,33,29,8,4,31,95,15,3,1,25,6,23,1,3,1,,,,,,,,,,,
2020-05-17,773,508,11,20,318,6,277,66,2,14,18,3,3,7,79,20,2,,16,33,29,8,4,31,95,15,3,1,25,6,23,1,3,1,,,,,,,,,,,
2020-05-18,780,508,11,20,326,6,276,66,2,16,19,3,3,7,79,22,2,,16,33,29,8,4,31,102,15,3,1,26,6,30,1,3,1,,,,,,,,,,,
2020-05-19,783,509,11,20,332,6,280,66,2,16,19,3,3,7,79,22,2,,16,32,29,8,4,31,105,18,3,1,27,6,31,1,3,1,,,,,,,,,,,
2020-05-20,792,509,11,20,340,6,280,66,2,16,20,3,3,7,81,22,2,,16,32,29,8,4,31,110,20,3,1,29,6,32,1,3,1,,,,,,,,,,,
2020-05-21,791,510,11,20,348,6,283,66,2,16,21,3,3,7,81,23,2,,17,32,29,9,4,31,114,25,3,1,32,6,33,1,3,1,,,,,,,,,,,
2020-05-22,794,510,11,20,374,6,284,66,2,17,22,3,3,7,81,23,2,,17,32,30,8,4,31,137,26,3,1,35,7,34,1,3,1,,,,,,,,,,,
2020-05-23,796,510,11,20,381,6,284,66,2,18,28,3,3,7,81,23,2,,17,32,30,8,4,31,145,29,3,1,39,7,34,1,3,1,,,,,,,,,,,
2020-05-24,796,510,11,20,383,6,284,66,2,20,39,3,3,7,81,23,2,,17,33,30,9,4,31,145,36,3,1,39,7,34,1,3,1,,,,,,,,,,,
2020-05-25,798,510,11,21,393,6,284,66,2,20,39,3,3,7,81,23,2,,17,33,30,9,4,31,145,36,3,1,39,7,34,1,3,1,1,,,,,,,,,,
2020-05-26,798,510,11,21,396,6,287,66,2,20,49,3,3,7,82,23,2,,17,33,32,9,4,31,154,40,3,1,40,7,34,1,3,1,3,,,,,,,,,,
2020-05-27,800,512,11,21,404,6,291,67,2,20,50,3,3,7,82,23,2,,17,33,33,9,4,31,156,43,3,1,44,7,34,1,3,1,7,,,,,,,,,,
2020-05-28,803,512,11,21,410,6,294,67,2,24,56,3,3,7,82,23,2,,17,37,33,9,4,31,161,45,3,1,46,7,36,1,3,1,9,,,,,,,,,,
2020-05-29,805,512,11,21,416,6,300,67,2,27,62,3,3,7,82,23,2,,17,37,33,9,6,31,165,46,3,1,47,7,38,1,4,1,8,1,,,,,,,,,
2020-05-30,812,512,11,21,419,6,303,68,2,28,63,3,3,7,82,23,2,,17,47,33,9,6,31,169,50,3,1,47,7,38,1,5,1,8,2,,,,,,,,,
