,Unknown
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,2
2020-04-01,3
2020-04-02,3
2020-04-03,4
2020-04-04,4
2020-04-05,4
2020-04-06,4
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,4
2020-04-11,5
2020-04-12,5
2020-04-13,6
2020-04-14,6
2020-04-15,6
2020-04-16,6
2020-04-17,6
2020-04-18,6
2020-04-19,6
2020-04-20,6
2020-04-21,6
2020-04-22,6
2020-04-23,6
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,6
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,6
2020-05-02,6
2020-05-03,6
2020-05-04,6
2020-05-05,6
2020-05-06,6
2020-05-07,6
2020-05-08,6
2020-05-09,6
2020-05-10,6
2020-05-11,6
2020-05-12,6
2020-05-13,6
2020-05-14,6
2020-05-15,6
2020-05-16,6
2020-05-17,6
2020-05-18,6
2020-05-19,6
2020-05-20,6
2020-05-21,6
2020-05-22,6
2020-05-23,6
2020-05-24,6
2020-05-25,6
2020-05-26,6
2020-05-27,6
2020-05-28,6
2020-05-29,6
2020-05-30,6
2020-05-31,6
2020-06-01,6
2020-06-02,6
2020-06-03,6
2020-06-04,6
2020-06-05,6
2020-06-06,6
2020-06-07,6
2020-06-08,6
2020-06-09,6
2020-06-10,6
2020-06-11,6
2020-06-12,6
2020-06-13,6
2020-06-14,6
2020-06-15,6
2020-06-16,6
2020-06-17,6
2020-06-18,6
2020-06-19,6
2020-06-20,6
2020-06-21,6
2020-06-22,6
2020-06-23,6
2020-06-24,6
2020-06-25,6
2020-06-26,6
2020-06-27,6
2020-06-28,6
2020-06-29,6
2020-06-30,6
2020-07-01,6
2020-07-02,6
2020-07-03,6
2020-07-04,6
2020-07-05,6
2020-07-06,6
2020-07-07,6
2020-07-08,6
2020-07-09,6
2020-07-10,6
2020-07-11,6
2020-07-12,6
2020-07-13,6
2020-07-14,6
2020-07-15,6
2020-07-16,6
2020-07-17,6
2020-07-18,6
2020-07-19,6
2020-07-20,6
2020-07-21,6
2020-07-22,6
2020-07-23,6
2020-07-24,6
2020-07-25,6
2020-07-26,6
2020-07-27,6
2020-07-28,6
2020-07-29,6
2020-07-30,6
2020-07-31,6
2020-08-01,6
2020-08-02,6
2020-08-03,6
2020-08-04,6
2020-08-05,6
2020-08-06,6
2020-08-07,6
2020-08-08,6
2020-08-09,6
2020-08-10,6
2020-08-11,6
2020-08-12,6
2020-08-13,6
2020-08-14,6
2020-08-15,6
2020-08-16,6
2020-08-17,6
2020-08-18,6
2020-08-19,6
2020-08-20,7
2020-08-21,7
2020-08-22,7
2020-08-23,7
2020-08-24,8
2020-08-25,8
2020-08-26,10
2020-08-27,10
2020-08-28,11
2020-08-29,11
2020-08-30,11
2020-08-31,11
2020-09-01,14
2020-09-02,14
2020-09-03,14
2020-09-04,15
2020-09-05,16
2020-09-06,17
2020-09-07,19
2020-09-08,20
2020-09-09,21
2020-09-10,22
2020-09-11,24
2020-09-12,24
2020-09-13,24
2020-09-14,27
2020-09-15,29
2020-09-16,29
2020-09-17,31
2020-09-18,34
2020-09-19,35
2020-09-20,35
2020-09-21,36
2020-09-22,38
2020-09-23,38
2020-09-24,39
2020-09-25,40
2020-09-26,40
2020-09-27,40
2020-09-28,40
2020-09-29,48
2020-09-30,50
2020-10-01,50
2020-10-02,50
