,Montgomery,Harford,Prince George's,Baltimore,Anne Arundel,Charles,Carroll,Baltimore city,Howard,Frederick,Talbot,Calvert,Wicomico,Worcester,Caroline,Somerset,Washington,Cecil,St. Mary's,Garrett,Queen Anne's,Kent,Dorchester,Unknown,Allegany
2020-04-24,154,9,158,74,63,34,10,71,15,41,1,6,3,0,0,0,3,5,6,0,3,2,2,135,3
2020-04-25,171,11,173,79,70,35,47,78,16,45,1,7,4,0,0,0,3,5,6,0,3,3,2,113,3
2020-04-26,180,11,174,81,71,35,47,79,16,45,1,7,4,0,0,0,3,5,6,0,3,3,2,134,3
2020-04-27,210,11,198,98,74,37,37,88,17,48,1,7,5,0,0,0,3,5,6,0,3,4,2,87,4
2020-04-28,221,13,206,107,78,39,44,90,18,48,1,8,5,1,0,0,3,6,7,0,4,4,2,106,5
2020-04-29,242,13,224,118,83,42,53,101,19,51,1,8,7,2,0,0,3,8,8,0,4,4,2,79,6
2020-04-30,255,13,240,123,91,44,54,112,19,56,1,8,7,2,0,0,4,8,8,0,6,5,2,74,7
2020-05-01,262,15,243,129,90,46,58,115,19,56,1,9,7,3,0,0,4,8,7,0,7,4,2,100,7
2020-05-02,282,16,269,139,94,47,59,126,20,59,1,11,10,3,0,0,6,8,7,0,8,4,2,72,8
2020-05-03,295,16,277,147,96,50,59,129,20,61,1,11,10,3,0,0,6,9,7,0,8,6,2,56,12
2020-05-04,301,16,284,151,101,50,59,129,22,62,1,11,10,3,0,0,6,10,7,0,8,7,2,65,12
2020-05-05,320,19,295,157,107,50,61,133,23,66,1,11,11,3,0,0,6,13,7,0,8,7,2,78,12
2020-05-06,333,21,311,163,108,52,61,140,25,68,1,11,11,3,0,0,7,13,7,0,8,8,2,78,12
2020-05-07,345,22,324,169,111,51,54,149,27,70,1,11,13,3,0,0,7,13,8,0,8,8,2,95,12
2020-05-08,355,24,339,177,115,54,56,155,27,70,1,11,15,3,0,0,7,13,8,0,9,8,2,99,12
2020-05-09,369,25,349,185,117,53,58,163,29,72,1,11,15,4,0,0,8,13,8,0,9,10,2,101,12
2020-05-10,382,25,353,191,121,54,58,169,29,74,1,11,15,4,0,0,9,13,8,0,9,13,2,91,12
2020-05-11,388,25,359,194,124,54,58,171,31,74,1,11,16,4,0,0,9,13,9,0,9,13,2,106,12
2020-05-12,407,27,373,204,127,55,60,178,35,77,1,13,16,4,0,0,9,15,9,0,9,13,2,109,13
2020-05-13,422,28,389,218,133,57,61,186,38,80,1,13,17,4,0,0,9,15,9,0,9,13,2,92,13
2020-05-14,437,32,398,223,135,59,62,192,40,84,1,13,17,5,0,0,9,17,9,0,9,14,2,95,13
2020-05-15,449,32,413,234,136,61,64,192,40,88,1,13,19,5,0,0,9,17,9,0,9,14,2,91,13
2020-05-16,461,33,420,240,141,62,66,200,43,89,1,13,20,5,0,0,9,17,10,0,9,14,2,89,13
2020-05-17,475,34,429,250,142,62,67,203,43,90,1,13,21,6,0,0,8,17,11,0,10,14,2,81,13
2020-05-18,480,34,436,255,142,62,68,208,45,90,1,13,21,6,0,0,8,17,11,0,10,14,2,86,14
2020-05-19,503,35,445,263,145,63,69,210,49,90,1,13,21,6,0,1,8,18,12,0,11,14,2,88,14
2020-05-20,515,39,453,277,145,64,71,215,50,93,1,14,21,8,0,1,9,20,12,0,11,14,2,74,14
2020-05-21,528,40,466,286,147,65,70,218,49,94,1,15,22,8,0,1,10,20,13,0,11,14,2,65,14
2020-05-22,540,46,477,292,149,67,73,220,50,95,1,15,22,8,0,1,10,20,13,0,12,15,2,65,14
2020-05-23,550,46,484,299,150,69,76,229,52,96,1,15,22,8,0,1,10,20,14,0,12,15,2,58,14
2020-05-24,558,48,490,300,153,69,76,231,52,98,1,15,22,10,0,1,11,21,14,0,12,14,2,65,14
2020-05-25,562,48,497,307,157,69,79,234,52,99,1,16,22,11,0,2,11,21,15,0,12,14,2,57,14
2020-05-26,567,48,506,312,159,70,80,236,53,101,1,16,22,11,0,2,12,21,15,0,12,15,2,58,14
2020-05-27,572,49,520,320,163,71,86,236,54,103,1,18,25,11,0,2,12,21,16,0,12,15,3,67,15
2020-05-28,581,49,530,323,163,72,85,240,56,104,1,17,27,11,0,2,12,22,19,0,12,15,3,69,15
2020-05-29,595,49,530,336,167,72,85,248,58,105,1,17,30,13,0,2,13,22,20,0,12,17,3,55,16
2020-05-30,605,49,539,340,172,72,90,254,58,105,2,18,30,13,0,2,13,22,20,0,12,19,3,55,16
2020-05-31,612,51,541,344,174,72,90,258,58,105,2,18,30,13,1,2,14,23,22,0,13,19,3,50,17
2020-06-01,616,51,545,349,175,73,92,261,61,106,2,18,30,13,1,2,14,23,23,0,12,19,3,46,17
2020-06-02,624,51,552,358,178,73,93,263,61,107,3,18,30,13,1,3,15,24,24,0,12,19,3,55,17
2020-06-03,633,51,565,366,178,75,96,266,61,109,3,20,30,13,1,3,16,24,27,0,12,19,3,53,17
2020-06-04,636,51,580,371,179,79,98,269,65,109,3,20,32,14,1,3,16,24,28,0,12,19,3,40,16
2020-06-05,645,51,587,376,182,79,98,272,65,110,4,20,32,14,1,4,16,24,30,0,12,19,4,41,16
2020-06-06,652,52,595,384,185,81,101,276,65,111,4,21,32,16,1,4,16,24,33,0,12,19,4,36,16
2020-06-07,656,53,598,386,185,80,101,281,67,111,4,21,32,16,1,4,16,24,34,0,12,19,4,28,16
2020-06-08,659,53,602,388,185,80,101,282,68,111,4,21,32,16,1,4,16,24,34,0,12,19,4,44,16
2020-06-09,667,55,607,398,186,82,102,287,71,111,4,21,33,15,1,3,17,25,34,0,12,19,4,40,17
2020-06-10,672,57,613,402,190,83,103,289,73,112,4,21,33,15,2,3,17,25,35,0,12,19,4,43,17
2020-06-11,674,57,620,406,191,83,103,292,73,112,4,21,33,16,2,3,20,27,36,0,12,21,4,48,17
2020-06-12,679,58,631,410,192,82,103,294,73,114,4,21,34,16,2,3,21,28,40,0,12,22,4,40,17
2020-06-13,686,58,634,416,192,83,105,297,73,114,4,21,35,16,2,3,22,30,40,0,12,23,4,39,17
2020-06-14,690,58,637,422,194,83,105,301,74,114,4,21,35,17,2,3,22,30,39,0,12,23,4,32,17
2020-06-15,694,58,640,424,194,83,105,301,75,114,4,21,35,17,2,3,22,30,40,0,12,24,4,28,17
2020-06-16,698,59,644,427,194,83,105,304,76,115,4,21,35,17,2,3,22,30,40,0,13,24,4,45,17
2020-06-17,704,61,648,432,195,85,105,307,77,115,4,22,36,17,2,3,22,30,41,0,14,24,4,31,17
2020-06-18,707,62,649,437,196,86,108,309,79,115,4,23,37,17,2,3,24,29,44,0,14,24,4,26,17
2020-06-19,710,61,653,442,198,86,108,310,79,116,4,23,37,17,2,3,25,29,44,0,14,23,4,25,17
2020-06-20,714,61,658,448,200,86,109,313,80,116,4,23,37,17,2,3,25,29,44,0,14,23,4,25,17
2020-06-21,720,61,659,451,200,86,109,313,80,116,4,23,37,17,2,3,25,29,45,0,14,23,4,28,17
2020-06-22,723,61,661,455,200,86,109,316,80,116,4,23,37,17,2,3,25,29,46,0,15,23,4,22,17
2020-06-23,725,61,661,458,201,86,109,319,80,116,4,24,38,17,3,3,25,29,48,0,15,23,5,25,17
2020-06-24,728,61,662,460,202,86,109,325,81,116,4,25,39,16,3,3,26,29,48,1,15,23,5,24,17
2020-06-25,731,61,669,460,201,86,109,327,83,116,4,26,40,16,3,3,26,29,48,1,16,23,5,29,17
2020-06-26,730,61,676,461,203,86,110,330,84,116,4,26,40,16,3,3,26,29,50,0,17,23,5,26,17
2020-06-27,734,61,677,465,206,86,110,333,85,117,4,26,40,16,3,3,26,29,51,0,17,23,5,23,17
2020-06-28,735,61,678,467,207,86,111,335,85,117,4,26,40,16,3,3,26,29,51,0,17,23,5,26,17
2020-06-29,736,62,680,470,207,86,112,335,85,117,4,26,41,16,3,3,26,29,51,0,17,23,5,24,17
2020-06-30,738,62,682,473,207,86,112,337,84,117,4,27,41,16,3,3,27,29,51,0,17,23,5,29,17
2020-07-01,739,62,686,474,209,86,112,338,89,118,4,27,41,17,3,3,28,29,51,0,19,23,5,25,17
2020-07-02,743,63,685,474,210,86,112,340,89,118,4,27,40,17,3,3,28,29,51,0,19,23,5,26,17
2020-07-03,747,63,687,478,209,86,112,342,91,119,4,27,40,17,3,3,28,29,51,0,19,23,5,23,17
2020-07-04,748,63,688,480,209,87,114,344,91,120,4,27,41,17,3,3,29,29,51,0,20,23,5,23,17
2020-07-05,749,63,689,481,209,87,114,344,91,120,4,27,41,17,3,3,29,29,51,0,20,23,5,26,18
2020-07-06,753,63,690,482,209,87,114,349,91,120,4,27,41,17,3,3,29,29,51,0,20,23,5,18,18
2020-07-07,752,63,692,486,210,87,114,352,93,120,4,27,41,17,3,3,29,29,51,0,20,23,5,27,18
2020-07-08,752,64,699,490,210,88,114,355,93,120,4,27,41,17,3,3,29,29,51,0,21,23,5,19,18
2020-07-09,754,64,700,493,210,89,114,358,92,120,4,27,41,17,3,3,29,29,51,0,23,23,5,21,18
2020-07-10,755,65,703,495,210,89,115,363,95,120,4,27,41,17,3,3,29,29,51,0,23,23,5,20,18
2020-07-11,757,65,706,497,210,89,115,364,95,120,4,27,41,18,3,3,29,29,51,0,23,23,5,18,18
2020-07-12,759,65,712,496,210,90,116,365,95,120,4,27,42,18,3,3,29,29,51,0,23,23,5,16,18
2020-07-13,760,66,714,496,210,90,116,366,96,120,4,27,42,18,3,3,29,29,51,0,23,23,5,16,18
2020-07-14,762,66,715,498,210,90,116,367,96,120,4,27,42,18,3,3,29,29,51,0,23,23,5,19,18
2020-07-15,763,67,717,502,211,90,116,370,97,120,4,27,42,18,3,3,29,29,51,0,23,23,5,13,18
2020-07-16,763,66,719,504,211,90,116,373,97,120,4,27,42,18,3,3,29,29,51,0,23,23,5,13,18
