,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2020-09-05,8765,57,352,493,,
2020-09-06,8911,58,354,506,,
2020-09-07,9000,58,358,517,,
2020-09-08,9114,58,428,530,,
2020-09-09,9202,58,428,540,,
2020-09-10,9360,58,431,548,,
2020-09-11,9503,58,437,569,,
2020-09-12,9616,58,443,579,,
2020-09-13,9711,58,445,594,,
2020-09-14,9780,58,448,601,,
2020-09-15,9839,58,448,606,,
2020-09-16,9936,58,448,610,,
2020-09-17,10072,58,451,630,,
2020-09-18,10177,57,474,640,,
2020-09-19,10276,57,477,647,,
2020-09-20,10347,57,478,652,,
2020-09-21,10396,57,478,659,,
2020-09-22,10451,57,478,667,,
2020-09-23,10604,57,479,680,,
2020-09-24,10685,57,481,685,,
2020-09-25,10791,58,490,700,,
2020-09-26,10915,59,490,702,,
2020-09-27,11006,59,490,709,,
2020-09-28,11093,59,490,709,,
2020-09-29,11173,59,492,712,,
2020-09-30,11264,59,493,739,,
2020-10-01,11363,59,493,745,,
2020-10-02,11435,59,497,763,,
2020-10-03,11522,59,500,806,,
2020-10-04,11575,59,502,821,,
2020-10-05,11616,59,501,831,,
2020-10-06,11683,59,503,845,,
2020-10-07,11772,59,502,863,,
2020-10-08,11858,59,503,877,,
2020-10-09,11968,59,512,922,,
2020-10-10,12026,59,512,935,,
2020-10-11,12103,59,512,959,,
2020-10-12,12140,59,512,964,,
2020-10-13,12169,59,523,985,,
2020-10-14,12248,59,524,1003,,
2020-10-15,12321,59,526,1016,,
2020-10-16,12392,59,519,1037,,
2020-10-17,12473,60,519,1049,,
2020-10-18,12540,61,519,1063,,
2020-10-19,12569,60,519,1070,,
2020-10-20,12627,60,521,1094,,
2020-10-21,12692,60,525,1102,,
2020-10-22,12744,60,543,1131,,
2020-10-23,12809,60,582,1166,,
2020-10-24,12866,60,598,1182,,
2020-10-25,12914,61,615,1233,,
2020-10-26,12939,62,615,1242,,
2020-10-27,12988,62,625,1245,,
2020-10-28,13028,63,634,1250,,
2020-10-29,13088,64,636,1258,,
2020-10-30,13167,64,644,1270,,
2020-10-31,13213,64,645,1285,,
2020-11-01,13266,65,645,1311,,
2020-11-02,13330,66,648,1315,,
2020-11-03,13401,67,651,1322,,
2020-11-04,13525,67,656,1343,,
2020-11-05,13590,68,658,1367,,
2020-11-06,13682,70,678,1386,,
2020-11-07,13790,72,680,1397,,
2020-11-08,13896,72,682,1416,,
2020-11-09,13948,74,682,1420,,
2020-11-10,14010,72,687,1424,,
2020-11-11,14094,75,693,1447,,
2020-11-12,14166,76,699,1462,,
2020-11-13,14264,78,703,1469,,
2020-11-14,14353,81,704,1481,,
2020-11-15,14353,81,704,1481,,
2020-11-16,14429,83,710,1489,,
2020-11-17,14465,83,712,1495,,
2020-11-18,14523,83,714,1497,,
2020-11-19,14598,87,723,1509,,
2020-11-20,14676,88,742,1523,,
2020-11-21,14798,92,754,1538,,
2020-11-22,14894,98,758,1552,,
2020-11-23,14973,101,769,1562,,
2020-11-24,15018,102,773,1568,,
2020-11-25,15111,103,778,1569,,
2020-11-26,15201,106,791,1580,,
2020-11-27,15280,111,818,1587,,
2020-11-28,15328,112,827,1604,,
2020-11-29,15374,113,830,1608,,
2020-11-30,15440,114,840,1612,,
2020-12-01,15472,114,845,1618,,
2020-12-02,15534,115,849,1619,,
2020-12-03,15650,117,863,1626,,
2020-12-04,15724,120,888,1641,,
2020-12-05,15806,120,904,1654,,
2020-12-06,15893,120,910,1658,,
2020-12-07,15951,121,922,1665,,
2020-12-08,15990,121,931,1670,,
2020-12-09,16035,122,946,1682,,
2020-12-10,16114,124,956,1706,,1
2020-12-11,16183,126,1011,1708,,1
2020-12-12,16335,131,1033,1725,,1
2020-12-13,16390,135,1041,1735,,1
2020-12-14,16547,135,1056,1750,,1
2020-12-15,16582,135,1063,1760,,1
2020-12-16,16667,135,1077,1765,,1
2020-12-17,16780,136,1084,1780,,1
2020-12-18,16884,137,1126,1789,,1
2020-12-19,17000,138,1140,1810,,1
2020-12-20,17178,138,1151,1823,,1
2020-12-21,17282,139,1165,1836,,1
2020-12-22,17333,139,1172,1842,,1
2020-12-23,17401,139,1186,1855,,1
2020-12-24,17480,140,1218,1868,,1
2020-12-25,17576,140,1267,1877,,1
2020-12-26,17659,143,1287,1880,,1
2020-12-27,17731,144,1305,1883,,1
2020-12-28,17760,145,1318,1885,,1
2020-12-29,17815,145,1327,1892,,1
2020-12-30,17899,146,1344,1894,,1
2020-12-31,18034,146,1370,1908,,1
2021-01-01,18235,147,1431,1922,,1
2021-01-02,18327,149,1476,1942,,1
2021-01-03,18415,151,1506,1944,,1
2021-01-04,18477,151,1515,1948,,1
2021-01-05,18551,151,1536,1960,,1
2021-01-06,18636,154,1566,1968,,1
2021-01-07,18848,155,1621,1986,,1
2021-01-08,19060,158,1678,1997,,1
2021-01-09,19218,158,1728,2017,,1
2021-01-10,19345,167,1758,2029,,1
2021-01-11,19453,168,1791,2049,,1
2021-01-12,19536,168,1812,2053,,1
2021-01-13,19609,170,1823,2060,,1
2021-01-14,19727,171,1855,2073,,1
2021-01-15,19855,172,1924,2080,,1
2021-01-16,19969,173,1954,2091,,1
2021-01-17,20055,174,1981,2098,,1
2021-01-18,20138,176,2002,2107,,1
2021-01-19,20182,176,2011,2113,,1
2021-01-20,20231,177,2025,2117,,1
2021-01-21,20297,177,2055,2133,,1
2021-01-22,20401,178,2103,2140,,1
2021-01-23,20505,178,2124,2142,,1
2021-01-24,20607,178,2158,2149,,1
2021-01-25,20695,179,2179,2155,,1
2021-01-26,20749,179,2187,2156,,1
2021-01-27,20813,179,2214,2159,,1
2021-01-28,20878,179,2236,2166,,1
2021-01-29,20957,180,2288,2173,,1
2021-01-30,21039,180,2308,2180,,1
2021-01-31,21098,180,2316,2191,,1
2021-02-01,21155,181,2335,2198,,1
2021-02-02,21196,181,2352,2202,,1
2021-02-03,21237,181,2375,2206,,1
2021-02-04,21316,180,2391,2213,,1
2021-02-05,21390,180,2435,2215,,1
2021-02-06,21475,181,2452,2216,,1
2021-02-07,21527,181,2466,2223,,1
2021-02-08,21547,181,2473,2226,,1
2021-02-09,21569,181,2476,2229,,1
2021-02-10,21609,181,2485,2231,,1
2021-02-11,21670,181,2505,2234,,1
