,Snohomish,Spokane,King,Walla Walla,Chelan,Clark,Jefferson,Pierce,Kittitas,Kitsap,Skagit,Whatcom,Island,Thurston,Columbia,Grays Harbor,Yakima,Grant,Klickitat,Lewis,Lincoln,Franklin,Mason,Benton,Clallam,Cowlitz,San Juan,Stevens,Whitman,Adams,Douglas,Unknown,Ferry,Okanogan,Skamania,Pend Oreille,Asotin,Wahkiakum,Pacific,Garfield
2020-03-01,2,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,3,4,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,5,4,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,8,4,33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,17,4,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,18,4,59,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,26,4,72,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,36,4,91,1,1,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,45,4,117,1,1,1,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,61,4,191,1,1,1,1,14,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,69,4,235,1,1,1,1,17,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,107,4,271,1,1,1,1,17,3,2,2,1,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,132,4,329,1,1,3,1,19,3,3,3,1,3,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,
